Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"97,284,000","89,539,000","139,989,000","142,797,000","87,728,000","64,060,000",Upgrade,Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),-18.265%,-36.039%,-1.966%,62.772%,36.947%,-4.070%,Upgrade,Financials in GBP,Fiscal year is January - December
Cost of Revenue,"61,541,000","49,812,000","70,808,000","60,157,000","41,655,000","35,723,000",Upgrade,Financials in GBP,Fiscal year is January - December
Gross Profit,"35,743,000","39,727,000","69,181,000","82,640,000","46,073,000","28,337,000",Upgrade,Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","25,148,000","25,413,000","23,123,000","13,952,000","11,262,000","11,881,000",Upgrade,Financials in GBP,Fiscal year is January - December
Research & Development,"80,727,000","103,099,000","94,823,000","47,422,000","40,469,000","29,924,000",Upgrade,Financials in GBP,Fiscal year is January - December
Other Operating Expenses,"-4,642,000","-2,803,000","-2,307,000","-867,000","-795,000","-884,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"101,233,000","125,709,000","115,639,000","60,507,000","50,936,000","40,921,000",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"-65,490,000","-85,982,000","-46,458,000","22,133,000","-4,863,000","-12,584,000",Upgrade,Financials in GBP,Fiscal year is January - December
Interest Expense,"-9,991,000","-10,671,000","-8,688,000","-861,000","-874,000","-5,500,000",Upgrade,Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"4,452,000","4,910,000","973,000",-,"34,000","104,000",Upgrade,Financials in GBP,Fiscal year is January - December
Currency Exchange Gain (Loss),"-94,000","1,936,000","-7,975,000",-,-,"-969,000",Upgrade,Financials in GBP,Fiscal year is January - December
Other Non Operating Income (Expenses),"-622,000","-528,000","-66,000","-27,000","-38,000","-57,000",Upgrade,Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"-71,745,000","-90,335,000","-62,214,000","21,245,000","-5,741,000","-19,006,000",Upgrade,Financials in GBP,Fiscal year is January - December
Merger & Restructuring Charges,"-1,500,000",-,"-5,100,000","-1,200,000",-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"546,000","1,018,000","21,389,000",-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Asset Writedown,"-99,220,000","-99,210,000","-51,000","-165,000","-831,000","-1,883,000",Upgrade,Financials in GBP,Fiscal year is January - December
Pretax Income,"-171,919,000","-188,527,000","-45,976,000","19,880,000","-6,572,000","-20,889,000",Upgrade,Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-4,019,000","-4,365,000","-817,000","869,000","-327,000","-4,823,000",Upgrade,Financials in GBP,Fiscal year is January - December
Earnings From Continuing Operations,"-167,900,000","-184,162,000","-45,159,000","19,011,000","-6,245,000","-16,066,000",Upgrade,Financials in GBP,Fiscal year is January - December
Minority Interest in Earnings,"25,881,000","26,672,000","6,002,000",-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Net Income,"-142,019,000","-157,490,000","-39,157,000","19,011,000","-6,245,000","-16,066,000",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income to Common,"-142,019,000","-157,490,000","-39,157,000","19,011,000","-6,245,000","-16,066,000",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"100,891,807","96,555,347","94,829,892","83,484,173","79,944,911","72,709,944",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"100,891,807","96,555,347","94,829,892","85,618,667","79,944,911","72,709,944",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Change (YoY),4.654%,1.820%,10.758%,7.097%,9.950%,5.007%,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Basic),-1.408,-1.631,-0.413,0.228,-0.078,-0.221,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Diluted),-1.408,-1.631,-0.413,0.222,-0.078,-0.221,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-72,093,000","-38,349,000","-28,911,000","15,994,000","-10,242,000","-29,282,000",Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-0.715,-0.397,-0.305,0.187,-0.128,-0.403,Upgrade,Financials in GBP,Fiscal year is January - December
Gross Margin,36.741%,44.368%,49.419%,57.872%,52.518%,44.235%,Upgrade,Financials in GBP,Fiscal year is January - December
Operating Margin,-67.318%,-96.027%,-33.187%,15.500%,-5.543%,-19.644%,Upgrade,Financials in GBP,Fiscal year is January - December
Profit Margin,-145.984%,-175.890%,-27.971%,13.313%,-7.119%,-25.080%,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow Margin,-74.106%,-42.829%,-20.652%,11.201%,-11.675%,-45.710%,Upgrade,Financials in GBP,Fiscal year is January - December
EBITDA,"-55,942,000","-70,086,000","-31,103,000","32,664,000","3,595,000","-7,448,000",Upgrade,Financials in GBP,Fiscal year is January - December
EBITDA Margin,-57.504%,-78.274%,-22.218%,22.874%,4.098%,-11.627%,Upgrade,Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"9,548,000","15,896,000","15,355,000","10,531,000","8,458,000","5,136,000",Upgrade,Financials in GBP,Fiscal year is January - December
EBIT,"-65,490,000","-85,982,000","-46,458,000","22,133,000","-4,863,000","-12,584,000",Upgrade,Financials in GBP,Fiscal year is January - December
EBIT Margin,-67.318%,-96.027%,-33.187%,15.500%,-5.543%,-19.644%,Upgrade,Financials in GBP,Fiscal year is January - December
Effective Tax Rate,-,-,-,4.371%,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
