Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"354,023","367,877","607,681","528,309",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-24.301%,-39.462%,15.024%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"722,041","1,627,389","3,924,253","7,124,077","10,400,570",Financials in USD,Fiscal year is January - December
Gross Profit,"-368,018","-1,259,512","-3,316,572","-6,595,768","-10,400,570",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,404,736","8,292,072","8,531,276","2,469,762","2,938,111",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,404,736","8,292,072","8,531,276","2,469,762","2,938,111",Financials in USD,Fiscal year is January - December
Operating Income,"-6,772,754","-9,551,584","-11,847,848","-9,065,530","-13,338,681",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,440,269","-2,728,101","-47,958","-11,471","-2,504",Financials in USD,Fiscal year is January - December
Interest & Investment Income,20,43,"2,114",160,17,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,378,733","2,983,214","384,848",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,834,270","-9,296,428","-11,508,844","-9,076,841","-13,341,168",Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-3,513,999",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,206,845","-15,490","-1,653,873","866,332",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,627,425","-12,825,917","-13,162,717","-8,210,509","-13,341,168",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-74,000","82,067","5,965",Financials in USD,Fiscal year is January - December
Net Income,"-4,627,425","-12,825,917","-13,088,717","-8,292,576","-13,347,133",Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,627,425","-12,825,917","-13,088,717","-8,292,576","-13,347,133",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"22,714,562","21,175,668","17,711,842","17,162,742",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"22,714,562","21,175,668","17,711,842","17,162,742",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),18.702%,19.557%,3.199%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.204,-0.606,-0.739,-0.483,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.204,-0.606,-0.739,-0.483,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,407,582","-4,758,020","-7,627,874","-8,874,104","-11,985,884",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.194,-0.225,-0.431,-0.517,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1913.083%,-2596.407%,-1949.682%,-1715.952%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-1307.097%,-3486.469%,-2153.880%,-1569.645%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1244.999%,-1293.373%,-1255.243%,-1679.718%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-6,652,362","-9,407,539","-11,695,975","-8,888,881","-13,181,465",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"120,392","144,045","151,873","176,649","157,216",Financials in USD,Fiscal year is January - December
EBIT,"-6,772,754","-9,551,584","-11,847,848","-9,065,530","-13,338,681",Financials in USD,Fiscal year is January - December
Revenue as Reported,"354,023","367,877","607,681","528,309",-,Financials in USD,Fiscal year is January - December
