Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
Operating Revenue,"370,951","364,773","234,577","197,015","232,241","118,169","61,100","74,000","38,250",-,-,-,-,-,-,-,"57,883","44,165","39,229","812,062",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"370,951","364,773","234,577","197,015","232,241","118,169","61,100","74,000","38,250",-,-,-,-,-,-,-,"57,883","44,165","39,229","812,062",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),59.727%,208.688%,283.923%,166.236%,507.166%,-,-,-,-,-,-,-,-,-,-,-,-77.761%,-68.068%,-75.473%,311.158%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"100,504","65,335","50,591","41,368","53,818","20,487","10,419","12,719","6,495",-,-,-,-,-,-,-,"34,709","33,630","28,699","30,910",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"270,447","299,438","183,986","155,647","178,423","97,682","50,681","61,281","31,755",-,-,-,-,-,-,-,"23,174","10,535","10,530","781,152",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","847,820","841,420","893,232","807,752","967,976","969,105","905,874","1,024,466","943,620","923,726","521,818","71,652","6,751","6,546","5,721","6,254","59,166","318,843","528,015","541,067",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,700","84,137","94,348","82,604",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"847,820","841,420","893,232","807,752","967,976","969,105","905,874","1,024,466","943,620","923,726","521,818","71,652","6,751","6,546","5,721","6,254","61,866","402,980","622,363","623,671",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-577,373","-541,982","-709,246","-652,105","-789,553","-871,423","-855,193","-963,185","-911,865","-923,726","-521,818","-71,652","-6,751","-6,546","-5,721","-6,254","-38,692","-392,445","-611,833","157,481",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-794,-,-,"-1,050","-1,087",-463,-562,-855,-924,-324,-,-,-,-,-,"-9,225","-32,242","-29,999","-33,076","-20,266",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,541,465,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"1,350",-,-,-,-,-,"4,523",-,-,-,-,-,-,-,-,"1,314","9,156",-,420,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-578,167","-540,091","-708,781","-653,155","-790,640","-871,886","-855,755","-959,517","-912,789","-924,050","-521,818","-71,652","-6,751","-6,546","-5,721","-15,479","-69,620","-413,288","-644,909","137,635",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,Upgrade,Financials in USD,Fiscal year is January - December
