Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Operating Revenue,"10,078,000,000","9,949,000,000","9,276,000,000","9,619,000,000","9,626,000,000",Financials in USD,Fiscal year is January - December
Other Revenue,"33,000,000","30,000,000","30,000,000","59,000,000","32,000,000",Financials in USD,Fiscal year is January - December
Revenue,"10,111,000,000","9,979,000,000","9,306,000,000","9,678,000,000","9,658,000,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),5.753%,7.232%,-3.844%,0.207%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,541,000,000","5,415,000,000","4,928,000,000","5,079,000,000","5,199,000,000",Financials in USD,Fiscal year is January - December
Gross Profit,"4,570,000,000","4,564,000,000","4,378,000,000","4,599,000,000","4,459,000,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,476,000,000","2,389,000,000","2,127,000,000","2,127,000,000","2,132,000,000",Financials in USD,Fiscal year is January - December
Research & Development,"968,000,000","926,000,000","833,000,000","911,000,000","873,000,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"881,000,000","874,000,000","179,000,000","167,000,000","652,000,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"4,325,000,000","4,189,000,000","3,139,000,000","3,205,000,000","3,657,000,000",Financials in USD,Fiscal year is January - December
Operating Income,"245,000,000","375,000,000","1,239,000,000","1,394,000,000","802,000,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-269,000,000","-202,000,000","-89,000,000","-65,000,000","-72,000,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"31,000,000","31,000,000","8,000,000","5,000,000","3,000,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-61,000,000","-61,000,000","-32,000,000","-16,000,000","-22,000,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"36,000,000","-3,000,000","-6,000,000","-5,000,000","-5,000,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-18,000,000","140,000,000","1,120,000,000","1,313,000,000","706,000,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-10,000,000","-10,000,000","-18,000,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-28,000,000","130,000,000","1,102,000,000","1,313,000,000","706,000,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-23,000,000","50,000,000","252,000,000","403,000,000","242,000,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-5,000,000","80,000,000","850,000,000","910,000,000","464,000,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-3,000,000","-3,000,000","-2,000,000","-2,000,000","-2,000,000",Financials in USD,Fiscal year is January - December
Net Income,"-8,000,000","77,000,000","848,000,000","908,000,000","462,000,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,000,000","77,000,000","848,000,000","908,000,000","462,000,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-90.920%,-6.608%,96.537%,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"430,050,000","429,900,000","429,900,000",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"430,050,000","431,200,000","429,900,000",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.035%,0.302%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.019,0.179,1.973,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.019,0.179,1.970,-,-,Financials in USD,Fiscal year is January - December
EPS Growth,-,-90.908%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"132,000,000","-2,000,000","945,000,000","1,041,000,000","872,000,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.307,-0.005,2.198,-,-,Financials in USD,Fiscal year is January - December
Dividend Per Share,0.534,0.534,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,45.198%,45.736%,47.045%,47.520%,46.169%,Financials in USD,Fiscal year is January - December
Operating Margin,2.423%,3.758%,13.314%,14.404%,8.304%,Financials in USD,Fiscal year is January - December
Profit Margin,-0.079%,0.772%,9.112%,9.382%,4.784%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,1.306%,-0.020%,10.155%,10.756%,9.029%,Financials in USD,Fiscal year is January - December
EBITDA,"642,000,000","794,000,000","1,660,000,000","1,840,000,000","1,450,000,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,6.349%,7.957%,17.838%,19.012%,15.013%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"397,000,000","419,000,000","421,000,000","446,000,000","648,000,000",Financials in USD,Fiscal year is January - December
EBIT,"245,000,000","375,000,000","1,239,000,000","1,394,000,000","802,000,000",Financials in USD,Fiscal year is January - December
EBIT Margin,2.423%,3.758%,13.314%,14.404%,8.304%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,38.462%,22.867%,30.693%,34.278%,Financials in USD,Fiscal year is January - December
