Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",,
Operating Revenue,"363,103","300,274","349,489","389,463","282,011","326,183","272,584","379,859","236,623","214,376","786,659",-,"1,195,965","1,153,462","1,597,248","970,682","262,785","244,211","288,322",Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,"-4,793","1,008",-,-,"-12,432","6,559","13,405","2,432",-,"89,781","1,590","4,116","-50,187","12,129","13,628","13,825",Financials in USD,Fiscal year is January - December
Revenue,"363,103","300,274","349,489","384,670","283,019","326,183","272,584","367,427","243,182","227,781","789,091",-,"1,285,746","1,155,052","1,601,364","920,495","274,914","257,839","302,147",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),28.296%,-7.943%,28.213%,4.693%,16.382%,43.200%,-65.456%,-,-81.086%,-80.280%,-50.724%,-,367.690%,347.974%,429.995%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"89,913","118,672","47,605","182,098","109,162","51,422","82,062","608,525","103,850","165,213","-158,970",-,"1,508,521","1,167,960","1,172,048","467,217","169,538","38,904","83,146",Financials in USD,Fiscal year is January - December
Gross Profit,"273,190","181,602","301,884","202,572","173,857","274,761","190,522","-241,098","139,332","62,568","948,061",-,"-222,775","-12,908","429,316","453,278","105,376","218,935","219,001",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","666,333","740,140","620,439","1,354,876","700,181","699,018","528,770","590,320","606,731","1,063,211","739,948",-,"2,470,424","1,493,474","861,268","1,004,168","591,031","358,020","282,535",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"-40,000","30,000",-,-,-,-,-,-,-,-,-,-,"10,784",-,-,-,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"1,269","2,771","7,691",-,"1,664","1,240","-4,923",773,431,294,-,-,676,"5,604",-,"3,850",50,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,046,899","1,121,975","1,003,776","1,766,892","705,484","760,146","587,031","1,375,885","694,773","1,166,715","815,520",-,"3,598,112","1,494,150","817,377","1,102,601","667,837","431,027","386,316",Financials in USD,Fiscal year is January - December
Operating Income,"-773,709","-940,373","-701,892","-1,564,320","-531,627","-485,385","-396,509","-1,616,983","-555,441","-1,104,147","132,541",-,"-3,820,887","-1,507,058","-388,061","-649,323","-562,461","-212,092","-167,315",Financials in USD,Fiscal year is January - December
Interest Expense,"-47,107","-2,704","-2,878","-3,113",-,-,"-17,498",-,"-41,590","-9,230","-20,599",-,"-20,457","-36,117","-16,699","-4,167","-12,500","-12,500","-12,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"3,436",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,"-4,033",-,"-2,170","-16,928",-,-,"-17,100",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"33,814","-25,341","-1,483","-25,808","19,231","5,622",689,"-21,875",-,"9,105","-13,791",-,"-24,324","-12,197",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-8,004",-,-,"16,054",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-787,002","-968,418","-706,253","-1,601,245","-512,396","-479,763","-397,264","-1,635,422","-597,031","-1,104,272","98,151",-,"-3,869,701","-1,555,372","-406,930","-670,418","-574,961","-224,592","-196,915",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-,-,-,"-4,781,452",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-114,275","-130,071","-37,309","-330,567","-249,949","-256,482","447,599","10,296","-123,653","313,034","-425,169",-,"-151,144","-249,244","535,839","-225,767","284,554","-35,679",-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"15,229",-,-,-,-,-,-,"56,535",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-15,020",-,-,-,"-73,463",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"8,004","73,832",-,-,"734,724","-1,675,384",-,-,-,"8,253",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-901,277","-1,098,489","-743,562","-1,923,599","-688,513","-736,245","50,335","-963,865","-2,396,068","-791,238","-270,483",-,"-8,794,044","-1,804,616","128,909","-896,185","-290,407","-260,271","-196,915",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-901,277","-1,098,489","-743,562","-1,923,599","-688,513","-736,245","50,335","-963,865","-2,396,068","-791,238","-270,483",-,"-8,794,044","-1,804,616","128,909","-896,185","-290,407","-260,271","-196,915",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,"123,932",-587,"-120,029",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-901,277","-1,098,489","-743,562","-1,923,599","-688,513","-736,245","50,335","-963,865","-2,272,136","-791,825","-390,512",-,"-8,794,044","-1,804,616","128,909","-896,185","-290,407","-260,271","-196,915",Financials in USD,Fiscal year is January - December
Net Income to Common,"-901,277","-1,098,489","-743,562","-1,923,599","-688,513","-736,245","50,335","-963,865","-2,272,136","-791,825","-390,512",-,"-8,794,044","-1,804,616","128,909","-896,185","-290,407","-260,271","-196,915",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"217,934,958","234,811,715","234,644,187","219,087,558","200,487,818","200,487,818","161,701,087","157,914,694","147,077,136","130,580,364","121,944,811",-,"105,860,232","121,944,811","89,058,087","219,784,055","27,408,662","111,646","111,364",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"217,934,958","234,811,715","234,644,187","219,087,558","200,487,818","200,487,818","161,701,087","157,914,694","147,077,136","130,580,364","121,944,811",-,"105,860,232","121,944,811","89,058,087","219,784,055","27,408,662","111,646","111,364",Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.702%,17.120%,45.110%,38.738%,36.315%,53.536%,32.602%,-,38.935%,7.082%,36.927%,-,286.229%,109124.523%,79870.266%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.004,-0.005,-0.003,-0.009,-0.003,-0.004,0.000,-0.006,-0.015,-0.006,-0.003,-,-0.083,-0.015,0.001,-0.004,-0.011,-2.331,-1.768,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.004,-0.005,-0.003,-0.009,-0.003,-0.004,0.000,-0.006,-0.015,-0.006,-0.003,-,-0.083,-0.015,0.001,-0.004,-0.011,-2.331,-1.768,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-266,374","-514,788","-437,115","-795,665","-270,468","-725,990","-366,487","-583,622","-392,387","-436,628","-874,085",-,"-3,003,753","-448,065","-434,568","-1,977,224","-739,268","-438,117","-725,838",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.002,-0.002,-0.004,-0.001,-0.004,-0.002,-0.004,-0.003,-0.003,-0.007,-,-0.028,-0.004,-0.005,-0.009,-0.027,-3.924,-6.518,Financials in USD,Fiscal year is January - December
Gross Margin,75.238%,60.479%,86.379%,52.661%,61.429%,84.235%,69.895%,-65.618%,57.295%,27.468%,120.146%,-,-17.326%,-1.117%,26.809%,49.243%,38.331%,84.912%,72.482%,Financials in USD,Fiscal year is January - December
Operating Margin,-213.083%,-313.172%,-200.834%,-406.665%,-187.841%,-148.808%,-145.463%,-440.083%,-228.405%,-484.741%,16.797%,-,-297.173%,-130.475%,-24.233%,-70.541%,-204.595%,-82.258%,-55.375%,Financials in USD,Fiscal year is January - December
Profit Margin,-248.215%,-365.829%,-212.757%,-500.065%,-243.274%,-225.715%,18.466%,-262.328%,-934.336%,-347.626%,-49.489%,-,-683.964%,-156.237%,8.050%,-97.359%,-105.636%,-100.943%,-65.172%,Financials in USD,Fiscal year is January - December
