Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+19 Quarters,,
Revenue,"2,729","2,989","3,093","51,173","5,152","228,094","173,331","25,874",-,"55,020",-,"6,591","59,827","4,831","3,323","1,645","35,452","14,176","45,265","24,657",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-47.030%,-98.690%,-98.216%,97.778%,-,314.566%,-,292.566%,-,1038.895%,-,300.669%,68.755%,-65.921%,-92.659%,-93.328%,56.992%,64.991%,68.698%,-49.493%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"1,033",673,"1,076","143,067","7,275","234,372","175,985","162,154",-,"53,780",-,"15,767","56,838","6,856",977,"1,619","33,245","13,792","44,946","24,543",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"1,696","2,316","2,017","-91,894","-2,123","-6,278","-2,654","-136,280",-,"1,240",-,"-9,176","2,989","-2,025","2,346",26,"2,207",384,319,114,Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","95,312","141,098","114,263","127,648","95,704","209,655","213,898","259,582","313,550","353,448","441,089","517,774","674,753","358,227","387,653","384,911","298,187","429,817","541,470","591,849",Upgrade,Financials in CAD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,"35,868","-35,868",-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"95,312","141,098","114,349","128,378","95,704","209,655","213,898","259,582","313,550","353,448","441,089","553,506","638,737","358,527","387,582","384,162","295,413","432,589","540,346","688,364",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-93,616","-138,782","-112,332","-220,272","-97,827","-215,933","-216,552","-395,862","-313,550","-352,208","-441,089","-562,682","-635,748","-360,552","-385,236","-384,136","-293,206","-432,205","-540,027","-688,250",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-1,260",-973,-,-,-,-,-,-,-,"-1,000",-,-,-,-,"-1,382","-1,184",-,-,-,-500,Upgrade,Financials in CAD,Fiscal year is January - December
