Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"481,712,000","493,248,000","534,239,000","455,201,000","513,582,000","557,123,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Revenue,"1,000","1,000","1,000","1,000","2,000","2,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue,"481,713,000","493,249,000","534,240,000","455,202,000","513,584,000","557,125,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-6.891%,-7.673%,17.363%,-11.368%,-7.815%,-7.794%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"130,847,000","135,165,000","154,513,000","127,579,000","118,841,000","127,224,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"350,866,000","358,084,000","379,727,000","327,623,000","394,743,000","429,901,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","307,224,000","306,609,000","310,463,000","276,966,000","312,350,000","344,474,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"5,870,000","5,765,000","6,093,000","2,988,000","3,516,000","3,133,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-8,458,000","30,000","-1,374,000","-1,287,000","-2,987,000","-1,498,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"304,636,000","312,404,000","315,182,000","278,667,000","312,879,000","346,109,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"46,230,000","45,680,000","64,545,000","48,956,000","81,864,000","83,792,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-1,114,000","-1,191,000","-607,000","-359,000","-348,000","-420,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"4,945,000","7,462,000","1,817,000","590,000","459,000","793,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-24,000","-233,000","-239,000","1,526,000","-2,032,000","-464,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-11,329,000","-10,088,000","-11,723,000","-12,313,000","-11,305,000","-11,298,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"38,708,000","41,630,000","53,793,000","38,400,000","68,638,000","72,403,000",Upgrade,Financials in EUR,Fiscal year is January - December
Merger & Restructuring Charges,"-35,000","-1,380,000","515,000","-1,290,000","-32,719,000","-898,000",Upgrade,Financials in EUR,Fiscal year is January - December
Impairment of Goodwill,"-8,594,000","-4,297,000","-4,027,000",-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"1,623,000","1,623,000","-1,507,000","-167,000","-134,000","-65,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-50,000","593,000","6,013,000","8,342,000","1,432,000","-4,986,000",Upgrade,Financials in EUR,Fiscal year is January - December
Asset Writedown,"-985,000","-985,000",-,-,-,"-2,069,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,-,"9,667,000","4,412,000","828,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"30,667,000","46,851,000","59,199,000","46,113,000","37,217,000","64,385,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"8,273,000","12,911,000","14,919,000","17,554,000","11,008,000","23,801,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"22,394,000","33,940,000","44,280,000","28,559,000","26,209,000","40,584,000",Upgrade,Financials in EUR,Fiscal year is January - December
Minority Interest in Earnings,"1,297,000","1,887,000","393,000","-3,000",-,"46,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"23,691,000","35,827,000","44,673,000","28,556,000","26,209,000","40,630,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"23,691,000","35,827,000","44,673,000","28,556,000","26,209,000","40,630,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income Growth,-50.247%,-19.802%,56.440%,8.955%,-35.493%,-29.289%,Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"17,362,276","17,362,222","17,389,171","17,516,468","17,508,151","17,512,257",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"17,362,276","17,362,222","17,389,171","17,516,468","17,508,151","17,512,257",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),-0.036%,-0.155%,-0.727%,0.048%,-0.023%,-1.560%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),1.365,2.064,2.569,1.630,1.497,2.320,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),1.365,2.064,2.569,1.630,1.497,2.320,Upgrade,Financials in EUR,Fiscal year is January - December
EPS Growth,-50.229%,-19.677%,57.585%,8.903%,-35.478%,-28.168%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"32,995,000","35,633,000","48,453,000","22,329,000","57,528,000","24,321,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,1.900,2.052,2.786,1.275,3.286,1.389,Upgrade,Financials in EUR,Fiscal year is January - December
Dividend Per Share,1.350,1.350,1.100,0.950,0.950,1.050,Upgrade,Financials in EUR,Fiscal year is January - December
Dividend Growth,22.727%,22.727%,15.789%,0%,-9.524%,-27.586%,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,72.837%,72.597%,71.078%,71.973%,76.860%,77.164%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,9.597%,9.261%,12.082%,10.755%,15.940%,15.040%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,4.918%,7.263%,8.362%,6.273%,5.103%,7.293%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,6.850%,7.224%,9.070%,4.905%,11.201%,4.365%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"64,524,000","65,442,000","91,164,000","78,233,000","111,568,000","116,737,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,13.395%,13.267%,17.064%,17.186%,21.723%,20.953%,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"18,294,000","19,762,000","26,619,000","29,277,000","29,704,000","32,945,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"46,230,000","45,680,000","64,545,000","48,956,000","81,864,000","83,792,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,9.597%,9.261%,12.082%,10.755%,15.940%,15.040%,Upgrade,Financials in EUR,Fiscal year is January - December
Effective Tax Rate,26.977%,27.558%,25.201%,38.067%,29.578%,36.967%,Upgrade,Financials in EUR,Fiscal year is January - December
Advertising Expenses,-,"151,067,000","151,279,000","127,862,000","132,985,000","153,462,000",Upgrade,Financials in EUR,Fiscal year is January - December
