Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"17,417,000","17,417,000","16,410,000","15,374,000","12,117,000","7,834,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),6.137%,6.137%,6.739%,26.880%,54.672%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,861,000","10,861,000","9,193,000","8,565,000","4,704,000","4,732,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"6,556,000","6,556,000","7,217,000","6,809,000","7,413,000","3,102,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","20,029,000","20,029,000","25,727,000","42,194,000","31,396,000","38,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,140,000","1,140,000","1,719,000","1,546,000","1,009,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"22,150,000","22,150,000","28,687,000","45,508,000","34,259,000","39,642,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-15,594,000","-15,594,000","-21,470,000","-38,699,000","-26,846,000","-36,540,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-46,000","-46,000","-2,672,000","-6,818,000","-4,455,000","-2,684,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,"-64,000","-95,000","-4,000","-96,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-433,000","-433,000","-963,000","-1,276,000","-491,000","-1,575,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"82,000","82,000","1,872,000","17,358,000","10,407,000","-955,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,991,000","-15,991,000","-23,297,000","-29,530,000","-21,389,000","-41,850,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-6,449,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-18,508,000","-1,682,000",-,Upgrade,Financials in USD,Fiscal year is January - December
