Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,"6,772,000","4,814,000","3,455,000","3,839,000","3,216,000","4,548,000","4,790,000","7,160,000","7,850,000",-,Financials in AUD,Fiscal year is January - December
Revenue Growth (YoY),96.006%,25.397%,7.432%,-15.589%,-32.860%,-36.480%,-38.981%,-,-54.163%,-,Financials in AUD,Fiscal year is January - December
Cost of Revenue,"4,356,000","3,100,000","1,903,000","2,339,000","1,731,000","4,940,000","2,280,000","3,437,000","4,907,000",-,Financials in AUD,Fiscal year is January - December
Gross Profit,"2,416,000","1,714,000","1,552,000","1,500,000","1,485,000","-392,000","2,510,000","3,723,000","2,943,000",-,Financials in AUD,Fiscal year is January - December
"Selling, General & Admin","4,142,000","4,122,000","4,459,000","5,278,000","7,000,000","8,852,000","9,969,000","11,428,000","17,645,000",-,Financials in AUD,Fiscal year is January - December
Other Operating Expenses,"136,000","-225,000","-318,000","-238,000","-267,000","-211,000","-290,000","-163,000","-61,000",-,Financials in AUD,Fiscal year is January - December
Operating Expenses,"5,054,000","4,539,000","4,771,000","5,432,000","7,303,000","9,168,000","10,836,000","12,703,000","19,066,000",-,Financials in AUD,Fiscal year is January - December
Operating Income,"-2,638,000","-2,825,000","-3,219,000","-3,932,000","-5,818,000","-9,560,000","-8,326,000","-8,980,000","-16,123,000",-,Financials in AUD,Fiscal year is January - December
Interest Expense,"-66,000","-73,000","-28,000","-34,000","-37,000","-49,000","-43,000","-49,000",-,-,Financials in AUD,Fiscal year is January - December
Interest & Investment Income,"23,000","73,000","140,000","11,000","11,000","22,000","25,000","29,000","71,000",-,Financials in AUD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,"-477,000","-599,000",-,Financials in AUD,Fiscal year is January - December
Currency Exchange Gain (Loss),"3,000","-7,000","1,000","86,000","-127,000","37,000","47,000","46,000","-113,000",-,Financials in AUD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"-333,000",-,"-4,701,000",-,-,Financials in AUD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,678,000","-2,832,000","-3,106,000","-3,869,000","-5,971,000","-9,883,000","-8,297,000","-14,132,000","-16,764,000",-,Financials in AUD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,"-28,712,000",-,-,Financials in AUD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-1,326,000",-,-,-,-,-,"-4,734,000",-,-,Financials in AUD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"6,000","-8,000","61,000","-31,000","-77,000","1,000","-262,000",-,-,Financials in AUD,Fiscal year is January - December
Asset Writedown,"-77,000","42,000","-280,000","359,000","-1,126,000","1,885,000","-2,639,000","32,926,000","-68,965,000",-,Financials in AUD,Fiscal year is January - December
Other Unusual Items,-,-,-,"8,000",-,"1,868,000","52,000","265,000","100,000",-,Financials in AUD,Fiscal year is January - December
Pretax Income,"-2,755,000","-4,110,000","-3,394,000","-3,441,000","-7,128,000","-6,207,000","-10,883,000","-14,649,000","-85,629,000",-,Financials in AUD,Fiscal year is January - December
Income Tax Expense,"1,000","1,000","2,000",-,"2,000","-10,000","-55,000","-442,000","4,642,000",-,Financials in AUD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,756,000","-4,111,000","-3,396,000","-3,441,000","-7,130,000","-6,197,000","-10,828,000","-14,207,000","-90,271,000",-,Financials in AUD,Fiscal year is January - December
Net Income to Company,"-2,756,000","-4,111,000","-3,396,000","-3,441,000","-7,130,000","-6,197,000","-10,828,000","-14,207,000","-90,271,000",-,Financials in AUD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,"3,000","-31,000",-,Financials in AUD,Fiscal year is January - December
Net Income,"-2,756,000","-4,111,000","-3,396,000","-3,441,000","-7,130,000","-6,197,000","-10,828,000","-14,204,000","-90,302,000",-,Financials in AUD,Fiscal year is January - December
