Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
"Selling, General & Admin","1,116,046","1,287,947","1,528,726","1,734,818","1,581,187","3,314,273",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"293,574","248,102","247,919","256,052","230,956","179,987",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"1,409,620","1,536,049","1,776,645","1,990,870","1,812,143","3,494,260",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-1,409,620","-1,536,049","-1,776,645","-1,990,870","-1,812,143","-3,494,260",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-573,837","-665,841","-532,821","-568,798","-449,457","-1,748,381",Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,44,60,36,"5,613",1,946,Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),"46,451","22,080","5,885","-42,395","30,497","-143,808",Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-25,078","175,525","-530,330","-99,111","-8,186","442,929",Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-1,962,040","-2,004,225","-2,833,875","-2,695,561","-2,239,288","-4,942,574",Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,"8,936","54,565","43,468","-17,503","99,926","67,123",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-1,953,104","-1,949,660","-2,790,407","-2,713,064","-2,139,362","-4,875,451",Upgrade,Financials in USD,Fiscal year is July - June
Income Tax Expense,"-129,132","-129,132","-129,841","-54,977","-113,415","-134,728",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-1,823,972","-1,820,528","-2,660,566","-2,658,087","-2,025,947","-4,740,723",Upgrade,Financials in USD,Fiscal year is July - June
Preferred Dividends & Other Adjustments,"50,385","192,960","466,273","700,340","391,749",-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-1,874,357","-2,013,488","-3,126,839","-3,358,427","-2,417,696","-4,740,723",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"230,032,293","85,045,339","1,738,802","68,219",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"230,032,293","85,045,339","1,738,802","68,219",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),5166.518%,4791.031%,2448.853%,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.008,-0.024,-1.798,-49.230,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.008,-0.024,-1.798,-49.230,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-837,176","-935,118","-1,105,251","-1,436,304","-1,145,264","-1,849,589",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.004,-0.011,-0.636,-21.054,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-1,409,383","-1,535,752","-1,774,980","-1,988,877","-1,810,150","-3,491,787",Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,237,297,"1,665","1,993","1,993","2,473",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-1,409,620","-1,536,049","-1,776,645","-1,990,870","-1,812,143","-3,494,260",Upgrade,Financials in USD,Fiscal year is July - June
