Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",,
Revenue,"4,638,000","3,820,000","4,981,000","3,978,000","4,402,000","2,867,000","4,100,000","5,041,000","4,194,000","4,031,000","3,672,000","3,477,000","3,347,000","3,917,000","1,939,000","2,914,000","2,623,000","3,057,000","2,154,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),5.361%,33.240%,21.488%,-21.087%,4.959%,-28.876%,11.656%,44.981%,25.306%,2.910%,89.376%,19.321%,27.602%,28.132%,-9.981%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,984,000","1,878,000","2,255,000","1,744,000","3,558,000","1,568,000","1,619,000","2,448,000","3,224,000","2,100,000","1,904,000","1,337,000","1,075,000","1,844,000","1,032,000","753,000","1,132,000","2,100,000","1,500,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-346,000","1,942,000","2,726,000","2,234,000","844,000","1,299,000","2,481,000","2,593,000","970,000","1,931,000","1,768,000","2,140,000","2,272,000","2,073,000","907,000","2,161,000","1,491,000","957,000","654,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,102,000","4,737,000","5,274,000","5,916,000","4,787,000","6,057,000","7,152,000","7,730,000","11,777,000","10,824,000","10,542,000","9,051,000","7,978,000","6,250,000","7,867,000","9,301,000","18,044,000","9,643,000","5,651,000","4,209,000",Financials in USD,Fiscal year is January - December
Research & Development,"233,000","292,000","403,000","212,000","605,000","343,000","359,000","412,000","509,000","454,000","305,000","278,000","1,009,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,566,000","5,319,000","5,901,000","6,364,000","5,683,000","6,705,000","7,829,000","8,469,000","12,614,000","11,615,000","11,371,000","9,908,000","9,590,000","6,784,000","8,232,000","9,653,000","18,818,000","9,879,000","5,908,000","4,422,000",Financials in USD,Fiscal year is January - December
Operating Income,"-4,912,000","-3,377,000","-3,175,000","-4,130,000","-4,839,000","-5,406,000","-5,348,000","-5,876,000","-11,644,000","-9,684,000","-9,603,000","-7,768,000","-7,318,000","-4,711,000","-7,325,000","-7,492,000","-17,327,000","-8,922,000","-5,254,000","-4,422,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-23,000","-5,000","-35,000",-,-,-,"-645,000","-2,109,000","-4,435,000","-485,000","-920,000","-978,000","-1,462,000","-1,204,000","-953,000","-836,000","-796,000","-864,000","-737,000","-287,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"17,000","24,000","58,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,"-64,000","-56,000","-14,000","-14,000","-11,000","-18,000","-2,000","-5,000","-11,000","-96,000",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-136,000","-275,000","-67,000","45,000","181,000","-669,000","-264,000","-211,000","-139,000","-298,000","-80,000","-759,000","-36,000","-96,000","-311,000","-48,000","1,340,000","-2,304,000","-826,000","215,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"58,000","91,000","16,000","-83,000","-26,000","94,000","1,262,000","541,000","11,845,000","8,101,000","1,661,000","-4,249,000","10,492,000","-37,000","-92,000","44,000","-826,000","-526,000","-464,000","861,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,013,000","-3,566,000","-3,261,000","-4,151,000","-4,660,000","-5,923,000","-4,995,000","-7,719,000","-4,429,000","-2,380,000","-8,956,000","-13,765,000","1,658,000","-6,050,000","-8,686,000","-8,343,000","-17,705,000","-12,616,000","-7,281,000","-3,633,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-2,688,000","82,000",-,"-3,843,000",-,-,-,-,-,-,-,-,-,-,"-615,000",-,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"19,000,000","-19,000,000",-,-,"-18,508,000",-,-,-,-,-,-,"-1,682,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-33,000","-3,705,000",-,-,-,-,"6,851,000",-,-,-,-,-,"-146,000","-58,000","-67,000","-161,000","-694,000","29,000","-434,000","343,000",Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-19,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"-2,263,000","-113,000","3,375,000",-,-,"-2,360,000",-,-,-,-,-,-,"-3,374,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-5,046,000","-7,271,000","-3,261,000","-4,151,000","-7,348,000","-24,841,000","1,856,000","-13,825,000","-23,050,000","995,000","-8,956,000","-13,765,000","-848,000","-6,108,000","-8,753,000","-10,186,000","-18,399,000","-12,587,000","-8,330,000","-6,664,000",Financials in USD,Fiscal year is January - December
