Fiscal Quarter,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q1 2001,Currency,Fiscal_Year_period
Period Ending,"Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009","Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008","Dec '00 Dec 31, 2000",,
Revenue,-,36,"20,987","6,378","1,630",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Gross Profit,-,36,"20,987","6,378","1,630",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","161,510","219,091","158,376","216,146","136,452","153,693","149,347","139,304","111,207","85,427","95,425","189,988","72,150","74,756","86,256","627,817",Financials in USD,Fiscal year is July - June
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"70,098",Financials in USD,Fiscal year is July - June
Operating Expenses,"169,510","227,091","158,376","216,146","136,452","153,693","149,347","139,304","111,207","85,427","95,425","189,988","72,150","74,756","86,256","697,915",Financials in USD,Fiscal year is July - June
Operating Income,"-169,510","-227,055","-137,389","-209,768","-134,822","-153,693","-149,347","-139,304","-111,207","-85,427","-95,425","-189,988","-72,150","-74,756","-86,256","-697,915",Financials in USD,Fiscal year is July - June
Interest Expense,"-16,708","-28,811","-65,424","-11,858","-13,456",-,"-72,011","-38,589","-20,977","-20,127","-27,256",-,"-8,250","-8,250","-8,250","-7,924",Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-3,847",-,"-7,456","-4,958",-,"-4,060",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-190,065","-255,866","-210,269","-226,584","-148,278","-157,753","-221,358","-177,893","-132,184","-105,554","-122,681","-189,988","-80,400","-83,006","-94,506","-705,839",Financials in USD,Fiscal year is July - June
Merger & Restructuring Charges,-,-,-,-,"-435,805",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,"-6,771",-,-,Financials in USD,Fiscal year is July - June
Pretax Income,"-190,065","-255,866","-210,269","-226,584","-584,083","-157,753","-221,358","-177,893","-132,184","-105,554","-122,681","-189,988","-80,400","-89,777","-94,506","-705,839",Financials in USD,Fiscal year is July - June
Net Income,"-190,065","-255,866","-210,269","-226,584","-584,083","-157,753","-221,358","-177,893","-132,184","-105,554","-122,681","-189,988","-80,400","-89,777","-94,506","-705,839",Financials in USD,Fiscal year is July - June
Net Income to Common,"-190,065","-255,866","-210,269","-226,584","-584,083","-157,753","-221,358","-177,893","-132,184","-105,554","-122,681","-189,988","-80,400","-89,777","-94,506","-705,839",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"1,286,829","1,160,574","998,998","970,998","945,684","889,684","733,257","703,047","115,205","91,205","80,605","37,005","26,405","26,405","21,355",-,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,286,829","1,160,574","998,998","970,998","945,684","889,684","733,257","703,047","115,205","91,205","80,605","37,005","26,405","26,405","21,355",-,Financials in USD,Fiscal year is July - June
Shares Change (YoY),36.074%,30.448%,36.241%,38.113%,720.871%,875.477%,809.692%,1799.870%,336.300%,245.408%,277.453%,-,-,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.148,-0.220,-0.210,-0.233,-0.618,-0.177,-0.302,-0.253,-1.147,-1.157,-1.522,-5.134,-3.045,-3.400,-4.425,-,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.148,-0.220,-0.210,-0.233,-0.618,-0.177,-0.302,-0.253,-1.147,-1.157,-1.522,-5.134,-3.045,-3.400,-4.425,-,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-2,122","2,122","-3,747","4,247","-474,624","35,000","12,358","9,428",-48,-817,"-287,587","-94,678",-,"-25,525","-100,000","-319,486",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.002,0.002,-0.004,0.004,-0.502,0.039,0.017,0.013,-0.000,-0.009,-3.568,-2.559,-,-0.967,-4.683,-,Financials in USD,Fiscal year is July - June
Gross Margin,-,100.000%,100.000%,100.000%,100.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Operating Margin,-,-630708.333%,-654.639%,-3288.931%,-8271.288%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Profit Margin,-,-710738.889%,-1001.901%,-3552.587%,-35833.313%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-,5894.444%,-17.854%,66.588%,-29118.037%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
EBITDA,"-161,510","-219,055",-,-,-,-,-,-,-,-,-,-,-,-,-,"-690,492",Financials in USD,Fiscal year is July - June
D&A For EBITDA,"8,000","8,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"7,423",Financials in USD,Fiscal year is July - June
EBIT,"-169,510","-227,055","-137,389","-209,768","-134,822","-153,693","-149,347","-139,304","-111,207","-85,427","-95,425","-189,988","-72,150","-74,756","-86,256","-697,915",Financials in USD,Fiscal year is July - June
