Fiscal Quarter,Q4 2017,Q3 2017,Q4 2016,Q3 2016,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009","Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008",+1 Quarters,,
Revenue,"17,889","7,002","42,408","83,500","5,817,356","3,818,908","3,787,948","4,375,633","5,806,130","5,037,928","7,123,966","6,824,543","7,611,445","5,267,893","8,146,097","7,442,839","5,667,632","4,005,994","5,586,840","6,959,832",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-99.692%,-99.817%,-98.880%,-98.092%,0.193%,-24.197%,-46.828%,-35.884%,-23.718%,-4.365%,-12.547%,-8.307%,34.297%,31.500%,45.809%,6.940%,-1.072%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,516","1,400","2,439","5,984","3,875,913","2,737,254","2,917,658","3,125,362","3,797,506","3,505,777","4,838,205","4,219,836","4,442,311","3,181,044","4,787,189","4,280,341","3,048,275","2,166,255","3,324,654","4,378,179",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"16,373","5,602","39,969","77,516","1,941,443","1,081,654","870,290","1,250,271","2,008,624","1,532,151","2,285,761","2,604,707","3,169,134","2,086,849","3,358,908","3,162,498","2,619,357","1,839,739","2,262,186","2,581,653",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","120,872","114,625","-59,781","58,515","420,557","354,032","61,577","565,878","452,026","543,291","623,069","607,498","589,296","560,951","1,281,333","923,247","1,892,101","490,086","384,307","357,390",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"121,113","137,666","-59,540","58,756","420,557","354,032","61,577","565,878","452,026","543,291","623,069","607,498","589,296","560,951","1,281,333","923,247","1,892,101","490,086","384,307","357,390",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-104,740","-132,064","99,509","18,760","1,520,886","727,622","808,713","684,393","1,556,598","988,860","1,662,692","1,997,209","2,579,838","1,525,898","2,077,575","2,239,251","727,256","1,349,653","1,877,879","2,224,263",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-213,830","-68,194","-41,601","-27,898","-183,823","-187,400","-179,089","-124,985","-116,258","-82,027","-280,967","-327,948","-330,417","-327,370","-199,861","-42,956","-47,256","-42,066","-58,074","-82,174",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"2,298","1,024",494,"10,864",792,314,402,664,734,671,-,384,"3,531",388,433,540,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-393,157","19,585","21,579","-21,658",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-422,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-711,727","-180,673","79,487","-30,796","1,339,361","541,246","630,118","570,272","1,441,132","907,147","1,382,127","1,669,925","2,250,155","1,199,199","1,877,714","2,196,679","683,531","1,307,975","1,820,238","2,142,207",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,"-1,543",-,-,-,"-1,425",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"16,025",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-711,727","-180,673","95,512","-30,796","1,339,361","541,246","628,575","570,272","1,441,132","907,147","1,380,702","1,669,925","2,250,155","1,199,199","1,877,714","2,196,679","683,531","1,307,975","1,820,238","2,142,207",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"384,535","139,891","94,578","147,991","375,108","256,664","382,145","547,428","670,864","392,817","520,539","669,142","454,601","326,994","449,725","521,751",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-711,727","-180,673","95,512","-30,796","954,826","401,355","533,997","422,281","1,066,024","650,483","998,557","1,122,497","1,579,291","806,382","1,357,175","1,527,537","228,930","980,981","1,370,513","1,620,456",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-711,727","-180,673","95,512","-30,796","954,826","401,355","533,997","422,281","1,066,024","650,483","998,557","1,122,497","1,579,291","806,382","1,357,175","1,527,537","228,930","980,981","1,370,513","1,620,456",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-82.114%,-,-10.431%,-38.299%,-46.523%,-62.380%,-32.500%,-19.333%,-26.424%,-26.516%,589.858%,-17.798%,-0.973%,-5.734%,-85.152%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"442,221,243","398,368,449","219,800,977","178,679,922","137,322","137,322","137,322","137,322","137,322","137,322","137,322","137,322","137,322","137,322","140,209","133,333","133,333","133,333","133,333","133,333",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"442,221,243","398,368,449","219,800,977","178,679,922","137,322","137,322","137,322","137,322","158,289","137,322","137,322","158,289","158,289","158,289","153,493","133,333","133,333","133,333","133,333","133,333",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),321932.335%,289998.053%,159962.464%,130017.477%,-13.246%,-,-,-13.246%,-,-13.246%,-10.535%,18.717%,18.717%,18.717%,15.120%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.002,-0.000,0.000,-0.000,6.953,2.923,3.889,3.075,7.763,4.737,7.272,8.174,11.501,5.872,9.680,11.457,1.717,7.357,10.279,12.153,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.002,-0.000,0.000,-0.000,6.953,2.923,3.889,3.000,6.500,4.500,7.272,7.000,10.000,5.500,8.787,11.457,1.500,7.357,10.279,12.153,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-99.989%,-,6.972%,-35.050%,-46.523%,-57.143%,-35.000%,-18.182%,-17.241%,-38.900%,566.665%,-25.245%,-14.518%,-5.734%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-37,788",-,"-13,292",-,"36,883","1,464,628","1,098,992","-5,061,450","-268,998","853,574","66,234","216,933","-1,674,134","2,041,525","-1,513,969","-1,132,335","519,757","-87,800","261,421",-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-,-0.000,-,0.269,10.666,8.003,-36.858,-1.699,6.216,0.482,1.370,-10.576,12.897,-9.863,-8.493,3.898,-0.659,1.961,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,91.525%,80.006%,94.249%,92.834%,33.373%,28.324%,22.975%,28.573%,34.595%,30.412%,32.086%,38.167%,41.636%,39.614%,41.233%,42.490%,46.216%,45.925%,40.491%,37.094%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-585.499%,-1886.090%,234.647%,22.467%,26.144%,19.053%,21.350%,15.641%,26.810%,19.628%,23.339%,29.265%,33.894%,28.966%,25.504%,30.086%,12.832%,33.691%,33.613%,31.959%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-3978.573%,-2580.306%,225.222%,-36.881%,16.413%,10.510%,14.097%,9.651%,18.360%,12.912%,14.017%,16.448%,20.749%,15.307%,16.660%,20.524%,4.039%,24.488%,24.531%,23.283%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-211.236%,-,-31.343%,-,0.634%,38.352%,29.013%,-115.674%,-4.633%,16.943%,0.930%,3.179%,-21.995%,38.754%,-18.585%,-15.214%,9.171%,-2.192%,4.679%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-104,499","-131,823","99,750","19,001","2,342,886","1,555,024","1,563,719","1,379,309","2,232,817","1,670,226","2,115,877","2,478,489","2,911,170","1,820,059","2,268,024","2,393,347","883,616","1,501,315","1,999,052","2,324,695",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,235.215%,22.756%,40.274%,40.719%,41.281%,31.523%,38.456%,33.153%,29.701%,36.317%,38.247%,34.550%,27.842%,32.156%,15.591%,37.477%,35.781%,33.401%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,241,241,241,241,"822,000","827,402","755,006","694,916","676,219","681,366","453,185","481,280","331,332","294,161","190,449","154,096","156,360","151,662","121,173","100,432",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-104,740","-132,064","99,509","18,760","1,520,886","727,622","808,713","684,393","1,556,598","988,860","1,662,692","1,997,209","2,579,838","1,525,898","2,077,575","2,239,251","727,256","1,349,653","1,877,879","2,224,263",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,234.647%,22.467%,26.144%,19.053%,21.350%,15.641%,26.809%,19.628%,23.339%,29.265%,33.894%,28.966%,25.504%,30.086%,12.832%,33.691%,33.612%,31.959%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,28.710%,25.846%,15.046%,25.951%,26.029%,28.293%,27.677%,32.782%,29.814%,32.757%,27.722%,30.462%,66.508%,25.000%,24.707%,24.356%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"17,889","7,002","42,408","83,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"1,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
