Fiscal Quarter,Q3 2016,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Currency,Fiscal_Year_period
Period Ending,"Feb '16 Feb 29, 2016","Nov '15 Nov 30, 2015","Aug '15 Aug 31, 2015","Feb '15 Feb 28, 2015","Nov '14 Nov 30, 2014","Aug '14 Aug 31, 2014","May '14 May 31, 2014","Feb '14 Feb 28, 2014","Nov '13 Nov 30, 2013","Aug '13 Aug 31, 2013","May '13 May 31, 2013","Feb '13 Feb 28, 2013","Nov '12 Nov 30, 2012","Aug '12 Aug 31, 2012",,
"Selling, General & Admin","3,200","2,000","13,750","2,750","3,491","8,430","5,580","4,750","5,064","7,875","2,900","4,200","2,100","7,801",Financials in USD,Fiscal year is June - May
Operating Expenses,"3,200","2,000","13,750","2,750","3,491","8,430","5,580","4,750","5,064","7,875","2,900","4,200","2,100","7,801",Financials in USD,Fiscal year is June - May
Operating Income,"-3,200","-2,000","-13,750","-2,750","-3,491","-8,430","-5,580","-4,750","-5,064","-7,875","-2,900","-4,200","-2,100","-7,801",Financials in USD,Fiscal year is June - May
Pretax Income,"-3,200","-2,000","-13,750","-2,750","-3,491","-8,430","-5,580","-4,750","-5,064","-7,875","-2,900","-4,200","-2,100","-7,801",Financials in USD,Fiscal year is June - May
Net Income,"-3,200","-2,000","-13,750","-2,750","-3,491","-8,430","-5,580","-4,750","-5,064","-7,875","-2,900","-4,200","-2,100","-7,801",Financials in USD,Fiscal year is June - May
Net Income to Common,"-3,200","-2,000","-13,750","-2,750","-3,491","-8,430","-5,580","-4,750","-5,064","-7,875","-2,900","-4,200","-2,100","-7,801",Financials in USD,Fiscal year is June - May
Shares Outstanding (Basic),"110,022,572","110,022,572","110,022,572","110,022,572","110,022,572","110,022,572","250,552,661","110,022,572","110,022,572","76,203,305","60,000,072","60,000,072","1,122,000,000","1,122,000,000",Financials in USD,Fiscal year is June - May
Shares Outstanding (Diluted),"110,022,572","110,022,572","110,022,572","110,022,572","110,022,572","110,022,572","250,552,661","110,022,572","110,022,572","76,203,305","60,000,072","60,000,072","1,122,000,000","1,122,000,000",Financials in USD,Fiscal year is June - May
Shares Change (YoY),-,-,-56.088%,-,-,44.380%,317.587%,83.371%,-90.194%,-93.208%,-,-,-,-,Financials in USD,Fiscal year is June - May
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
Free Cash Flow,"-1,200",-,-,"-19,921","-1,200",-,"-1,130","-5,050","-5,264","-9,375",-,"-5,200",-500,"-9,146",Financials in USD,Fiscal year is June - May
Free Cash Flow Per Share,-0.000,-,-,-0.000,-0.000,-,-0.000,-0.000,-0.000,-0.000,-,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
EBIT,"-3,200","-2,000","-13,750","-2,750","-3,491","-8,430","-5,580","-4,750","-5,064","-7,875","-2,900","-4,200","-2,100","-7,801",Financials in USD,Fiscal year is June - May
