Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017",+20 Quarters,,
Revenue,"109,204","90,378","22,198","25,987","19,266","30,459","22,023","15,169","13,372","6,240","17,116","10,894","41,962","10,215","41,322","26,273","43,966","29,381","32,476","32,772",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),466.822%,196.720%,0.795%,71.317%,44.077%,388.125%,28.669%,39.242%,-68.133%,-38.913%,-58.579%,-58.535%,-4.558%,-65.233%,27.239%,-19.831%,15.551%,-11.447%,91.272%,9.973%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"41,051","60,797","14,406","64,984","9,644","9,006","5,634","24,911","3,106","3,685","5,279","43,784","6,495","3,774","15,625","58,196","37,409","16,570","5,859","3,781",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"68,153","29,581","7,792","-38,997","9,622","21,453","16,389","-9,742","10,266","2,555","11,837","-32,890","35,467","6,441","25,697","-31,923","6,557","12,811","26,617","28,991",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","326,473","348,868","316,216","426,893","556,932","440,165","504,592","377,476","253,019","232,427","238,441","323,248","270,649","334,287","274,635","-186,087","860,808","348,660","364,073","303,930",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"304,674","370,667","316,216","457,223","521,932","460,165","557,592","345,476","194,019","201,427","198,941","385,037","270,649","334,287","274,635","319,383","860,808","348,660","364,073","303,930",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-236,521","-341,086","-308,424","-496,220","-512,310","-438,712","-541,203","-355,218","-183,753","-198,872","-187,104","-417,927","-235,182","-327,846","-248,938","-351,306","-854,251","-335,849","-337,456","-274,939",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-199,696","-199,698","-193,421","-135,006","-135,986","-108,402","-116,285","-104,974","-74,454","-83,152","-73,594","-61,067","-57,417","-64,200","-79,341",-,"-266,889","-165,194","-275,289","-92,736",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"117,266",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
