Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q1 2012,+12 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Mar '12 Mar 31, 2012",+12 Quarters,,
Revenue,"687,797","929,519","1,274,897","1,143,961","1,130,546","1,173,398","995,131","679,737","545,375","790,809","462,408","168,415","312,709","227,044","202,057","92,324","477,139","753,618","271,840","259,028",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-39.162%,-20.784%,28.113%,68.295%,107.297%,48.379%,115.206%,303.608%,74.403%,248.306%,128.850%,82.417%,-34.462%,-69.873%,-25.671%,-64.358%,149.931%,204.027%,100.473%,306.006%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"501,056","742,687","986,859","842,451","873,319","885,517","849,876","699,632","442,766","686,706","313,920","130,403","222,111","155,694","145,967","138,296","390,956","574,957","204,164","16,433",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"186,741","186,832","288,038","301,510","257,227","287,881","145,255","-19,895","102,609","104,103","148,488","38,012","90,598","71,350","56,090","-45,972","86,183","178,661","67,676","242,595",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","656,607","927,718","1,252,370","1,078,493","1,075,044","1,031,515","915,592","1,398,403","756,110","644,052","559,073","807,145","491,033","682,000","639,546","371,502","1,040,463","246,029","418,455","135,919",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,738",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"656,607","927,718","1,273,961","1,102,442","1,075,044","1,031,515","939,336","1,415,038","756,110","644,052","568,980","774,820","500,233","692,556","647,219","1,870,226","1,045,389","254,538","418,455","169,681",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-469,866","-740,886","-985,923","-800,932","-817,817","-743,634","-794,081","-1,434,933","-653,501","-539,949","-420,492","-736,808","-409,635","-621,206","-591,129","-1,916,198","-959,206","-75,877","-350,779","72,914",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-176,434","-309,371","-293,591","-173,442","-253,855","-156,459","-430,895",-,"-817,471","-64,956","-37,339","-74,148","-30,628","-310,377","-3,807","-14,986",-,-,"-3,727",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,"1,030,959",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,770","-120,963","-162,869","-31,804","148,425","-162,202","-1,789,776","83,768","-759,743","231,691","-1,361,712","-136,347","-69,178","-142,337",-,"1,498,352",-,-,-,"-1,092",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-649,070","-1,171,220","-1,442,383","-1,006,178","-923,247","-1,062,295","-3,014,752","-320,206","-2,230,715","-373,214","-1,819,543","-947,303","-509,441","-1,073,920","-594,936","-432,832","-959,206","-75,877","-354,506","71,822",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,"-1,337,287",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"345,619",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-214,641","-363,346","-150,174","-164,713","-268,810","-326,230","-546,810","-939,245",-,-,-,"-7,000",-,"7,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-518,092","-1,534,566","-1,592,557","-1,170,891","-1,192,057","-1,388,525","-3,561,562","-2,596,738","-2,230,715","-373,214","-1,819,543","-954,303","-509,441","-1,066,920","-594,936","-432,832","-959,206","-75,877","-354,506","71,822",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-518,092","-1,534,566","-1,592,557","-1,170,891","-1,192,057","-1,388,525","-3,561,562","-2,596,738","-2,230,715","-373,214","-1,819,543","-954,303","-509,441","-1,066,920","-594,936","-432,832","-959,206","-75,877","-354,506","71,822",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-518,092","-1,534,566","-1,592,557","-1,170,891","-1,192,057","-1,388,525","-3,561,562","-2,596,738","-2,230,715","-373,214","-1,819,543","-954,303","-509,441","-1,066,920","-594,936","-432,832","-959,206","-75,877","-354,506","71,822",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,848.396%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,340,337,120","2,231,011,986","2,083,977,870","1,650,061,490","1,760,650,640","1,560,391,543","1,162,096,383","909,509,703","829,027,793","805,263,473","814,735,237","788,071,916","771,268,436","767,772,186","710,868,609","764,403,861","693,023,525","583,084,199","526,590,449","1,638,599",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,340,337,120","2,231,011,986","2,083,977,870","1,650,061,490","1,760,650,640","1,560,391,543","1,162,096,383","909,509,703","829,027,793","805,263,473","814,735,237","788,071,916","771,268,436","767,772,186","710,868,609","764,403,861","693,023,525","583,084,199","526,590,449","1,638,599",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),32.925%,42.978%,79.329%,81.423%,112.375%,93.774%,42.635%,15.409%,7.489%,4.883%,14.611%,3.096%,11.290%,31.674%,34.995%,46549.843%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.003,-0.003,-0.003,-0.000,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,-0.001,0.044,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.003,-0.003,-0.003,-0.000,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,-0.001,0.044,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"556,536","-369,716","-215,544","-352,430","-547,983","-952,888","-690,635","-1,192,799","-830,787","-457,148","-444,654","-496,930","-283,599","-372,278","-276,858","-625,100","-381,466","-59,092","-292,376","116,990",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,-0.000,-0.000,-0.001,-0.001,-0.000,-0.001,0.071,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,27.151%,20.100%,22.593%,26.357%,22.752%,24.534%,14.597%,-2.927%,18.814%,13.164%,32.112%,22.570%,28.972%,31.426%,27.759%,-49.794%,18.062%,23.707%,24.895%,93.656%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-68.315%,-79.706%,-77.334%,-70.014%,-72.338%,-63.374%,-79.797%,-211.101%,-119.826%,-68.278%,-90.935%,-437.495%,-130.996%,-273.606%,-292.556%,-2075.514%,-201.033%,-10.068%,-129.039%,28.149%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-75.326%,-165.092%,-124.917%,-102.354%,-105.441%,-118.334%,-357.899%,-382.021%,-409.024%,-47.194%,-393.493%,-566.638%,-162.912%,-469.918%,-294.440%,-468.819%,-201.033%,-10.068%,-130.410%,27.728%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,80.916%,-39.775%,-16.907%,-30.808%,-48.471%,-81.208%,-69.401%,-175.479%,-152.333%,-57.808%,-96.161%,-295.063%,-90.691%,-163.967%,-137.020%,-677.072%,-79.949%,-7.841%,-107.554%,45.165%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-439,622","-714,088","-961,893","-774,545","-792,610","-720,690","-767,898","-1,408,975","-641,249","-529,353","-410,585","-721,380","-400,387","-610,657","-586,148","-1,876,869","-954,549","-60,840","-348,778","95,938",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-63.917%,-76.823%,-75.449%,-67.707%,-70.109%,-61.419%,-77.165%,-207.282%,-117.579%,-66.938%,-88.793%,-,-128.038%,-268.960%,-290.090%,-,-200.057%,-8.073%,-128.303%,37.038%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"30,244","26,798","24,030","26,387","25,207","22,944","26,183","25,958","12,252","10,596","9,907","15,428","9,248","10,549","4,981","39,329","4,657","15,037","2,001","23,024",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-469,866","-740,886","-985,923","-800,932","-817,817","-743,634","-794,081","-1,434,933","-653,501","-539,949","-420,492","-736,808","-409,635","-621,206","-591,129","-1,916,198","-959,206","-75,877","-350,779","72,914",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-68.315%,-79.706%,-77.334%,-70.014%,-72.338%,-63.374%,-79.797%,-211.101%,-119.826%,-68.278%,-90.935%,-,-130.995%,-273.606%,-292.555%,-,-201.033%,-10.068%,-129.039%,28.149%,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,"18,966",-,-,-,"52,519",-,-,-,"10,300",-,"5,500","3,100","12,300",-,"54,366","24,400",-,-,Upgrade,Financials in USD,Fiscal year is January - December
