Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","47,099","51,053","44,084","61,177","47,910","72,033","73,656","61,761","64,812","96,626","111,940","109,596","61,743","235,982","73,733","82,864","85,523","111,050","94,019","135,504",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"21,000","21,000","36,625","36,488","21,295","31,981","22,679","21,905","160,994","102,924","163,049","185,453","100,888","108,218","41,313","88,747","142,221","76,811","219,512","90,431",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"84,573","85,076","92,026","112,472","80,392","115,577","107,038","583,657","370,042","442,153","517,592","394,154","1,402,019","403,735","133,074","581,814","1,687,484","2,205,927","3,169,265","2,454,375",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-84,573","-85,076","-92,026","-112,472","-80,392","-115,577","-107,038","-583,657","-370,042","-442,153","-517,592","-394,154","-1,402,019","-403,735","-133,074","-581,814","-1,687,484","-2,205,927","-3,169,265","-2,454,375",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-1,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-84,573","-85,076","-92,026","-112,472","-80,392","-115,577","-107,038","-583,657","-370,042","-442,153","-517,592","-394,154","-1,402,018","-403,735","-133,074","-581,814","-1,687,484","-2,205,927","-3,169,265","-2,454,270",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-84,573","-85,076","-92,026","-112,472","-80,392","-115,577","-107,038","-583,657","-370,042","-442,153","-517,592","-394,154","-1,402,018","-403,735","-133,074","-581,814","-1,687,484","-2,205,927","-3,169,265","-2,454,270",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-84,573","-85,076","-92,026","-112,472","-80,392","-115,577","-107,038","-583,657","-370,042","-442,153","-517,592","-394,154","-1,402,018","-403,735","-133,074","-581,814","-1,687,484","-2,205,927","-3,169,265","-2,454,270",Upgrade,Financials in USD,Fiscal year is January - December
