Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Currency,Fiscal_Year_period
Period Ending,"Aug '22 Aug 31, 2022","May '22 May 31, 2022","Feb '22 Feb 28, 2022","Nov '21 Nov 30, 2021","Aug '21 Aug 31, 2021","May '21 May 31, 2021","Feb '21 Feb 28, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","May '20 May 31, 2020","Feb '20 Feb 29, 2020","Nov '19 Nov 30, 2019","Aug '19 Aug 31, 2019","May '19 May 31, 2019","Feb '19 Feb 28, 2019","Nov '18 Nov 30, 2018","Aug '18 Aug 31, 2018","May '18 May 31, 2018","Feb '18 Feb 28, 2018",,
Revenue,"684,149","920,837","585,353","1,698,232","975,129","734,204","591,436","896,861","1,741,413","3,510,354","859,159","240,460",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Revenue Growth (YoY),-29.840%,25.420%,-1.029%,89.353%,-44.004%,-79.085%,-31.161%,272.977%,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Cost of Revenue,"933,928","669,944","471,182","3,314,732","803,472","444,907","431,544","233,337","2,234,017","4,003,781","109,389","152,572",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Gross Profit,"-249,779","250,893","114,171","-1,616,500","171,657","289,297","159,892","663,524","-492,604","-493,427","749,770","87,888",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
"Selling, General & Admin","614,367","1,118,015","1,250,330","3,663,469","158,001","1,027,929","3,411,632","1,980,778","2,728,105","2,290,844","3,249,884","5,342,769","2,606,273","3,306,832","1,368,932","581,453","395,711","274,227","110,847",Financials in CAD,Fiscal year is December - November
Research & Development,-,-,-,-,-,-,-,-,-,-,-,"-9,891",-,-,"9,891","605,057",-,"577,859",-,Financials in CAD,Fiscal year is December - November
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,"56,007",-,"-2,084","2,084",-,-,Financials in CAD,Fiscal year is December - November
Operating Expenses,"1,246,154","1,706,141","1,777,130","4,578,194","227,563","1,082,923","3,576,570","2,103,787","2,853,512","2,421,164","3,420,900","5,450,100","2,606,273","3,365,513","1,381,498","1,187,572","400,942","852,086","110,847",Financials in CAD,Fiscal year is December - November
Operating Income,"-1,495,933","-1,455,248","-1,662,959","-6,194,694","-55,906","-793,626","-3,416,678","-1,440,263","-3,346,116","-2,914,591","-2,671,130","-5,362,212","-2,606,273","-3,365,513","-1,381,498","-1,187,572","-400,942","-852,086","-110,847",Financials in CAD,Fiscal year is December - November
Interest Expense,"-257,531","-300,751","-371,713","-134,795","-1,488,660","-247,917","-569,235","-503,260","-356,717","-490,335","-199,502","-40,092",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is December - November
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,125,794,521,1,524,"2,448",-,Financials in CAD,Fiscal year is December - November
Currency Exchange Gain (Loss),"-1,422,214","-338,553","-214,894","1,203,551","1,732,673","-1,971,827","-1,268,950","-908,736","-541,537","551,156","140,611","276,905","-668,730","333,052","-8,458","-3,871","-1,104","-4,222",-839,Financials in CAD,Fiscal year is December - November
