Fiscal Year,TTM,FY 2017,FY 2016,FY 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '18 Sep 30, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Dec '15 Dec 31, 2015",,
Revenue,"1,009,551","1,481,073","1,476,235","1,868,693",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-45.377%,0.328%,-21.002%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"401,011","1,057,748","784,652","1,964,871",Financials in USD,Fiscal year is January - December
Gross Profit,"608,540","423,325","691,583","-96,178",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,735,183","1,656,363","1,602,245","1,717,314",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,735,183","1,656,363","1,602,245","1,717,314",Financials in USD,Fiscal year is January - December
Operating Income,"-1,126,643","-1,233,038","-910,662","-1,813,492",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,609","-3,143","-1,370",-270,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"14,049","15,910","3,433","4,567",Financials in USD,Fiscal year is January - December
Pretax Income,"-1,115,203","-1,220,271","-908,599","-1,809,195",Financials in USD,Fiscal year is January - December
Income Tax Expense,417,417,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,115,620","-1,220,688","-908,599","-1,809,195",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"566,151","416,693","333,078",-,Financials in USD,Fiscal year is January - December
Net Income,"-549,469","-803,995","-575,521","-1,809,195",Financials in USD,Fiscal year is January - December
Net Income to Common,"-549,469","-803,995","-575,521","-1,809,195",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"163,329,385","163,329,385","3,329,385","10,000,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"163,329,385","163,329,385","3,329,385","10,000,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1533.294%,4805.692%,-66.706%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.003,-0.005,-0.173,-0.181,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.003,-0.005,-0.173,-0.181,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-291,238","-523,718","-893,096","-3,387,593",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.002,-0.003,-0.268,-0.339,Financials in USD,Fiscal year is January - December
Gross Margin,60.278%,28.582%,46.848%,-5.147%,Financials in USD,Fiscal year is January - December
Operating Margin,-111.598%,-83.253%,-61.688%,-97.046%,Financials in USD,Fiscal year is January - December
Profit Margin,-54.427%,-54.285%,-38.986%,-96.816%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-28.848%,-35.361%,-60.498%,-181.281%,Financials in USD,Fiscal year is January - December
EBITDA,"-1,022,250","-1,115,826","-694,565","-1,615,340",Financials in USD,Fiscal year is January - December
EBITDA Margin,-101.258%,-75.339%,-47.050%,-86.442%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"104,393","117,212","216,097","198,152",Financials in USD,Fiscal year is January - December
EBIT,"-1,126,643","-1,233,038","-910,662","-1,813,492",Financials in USD,Fiscal year is January - December
EBIT Margin,-111.598%,-83.253%,-61.688%,-97.046%,Financials in USD,Fiscal year is January - December
