Fiscal Quarter,Q3 2022,Q3 2014,Q4 2013,Q3 2013,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Sep '14 Sep 30, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009","Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008","Jun '08 Jun 30, 2008","Mar '08 Mar 31, 2008",,
Revenue,"185,471","145,552","207,451","250,929","301,533","244,212","90,359","70,837","69,934","74,224","42,049","53,476","65,154","68,519","44,115","47,467","28,813","34,205","25,646","23,549",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-38.491%,-40.399%,129.585%,254.234%,331.168%,229.020%,114.890%,32.465%,7.336%,8.326%,-4.683%,12.659%,126.127%,100.319%,72.015%,101.567%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"73,347","85,172","-45,612","110,152","241,201","125,781","49,454","40,908","71,721","42,175","42,050","37,592","57,892","48,581","42,545","28,867","21,777","36,601","26,609","29,130",Financials in USD,Fiscal year is January - December
Gross Profit,"112,124","60,380","253,063","140,777","60,332","118,431","40,905","29,929","-1,787","32,049",-1,"15,884","7,262","19,938","1,570","18,600","7,036","-2,396",-963,"-5,581",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","636,905","136,104","273,010","62,044",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Research & Development,"7,986",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"649,891","136,104","273,010","62,044",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Income,"-537,767","-75,724","-19,947","78,733","60,332","118,431","40,905","29,929","-1,787","32,049",-1,"15,884","7,262","19,938","1,570","18,600","7,036","-2,396",-963,"-5,581",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-406,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,250",431,422,437,"1,407","1,394",590,454,466,955,350,376,936,-,172,234,411,482,496,553,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,798",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-538,315","-75,293","-19,525","79,170","61,739","119,825","41,495","30,383","-1,321","33,004",349,"16,260","8,198","19,532","1,742","18,834","7,447","-1,914",-467,"-5,028",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"26,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-538,315","-75,293","-19,525","53,170","61,739","119,825","41,495","30,383","-1,321","33,004",349,"16,260","8,198","19,532","1,742","18,834","7,447","-1,914",-467,"-5,028",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,645,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-537,670","-75,293","-19,525","53,170","61,739","119,825","41,495","30,383","-1,321","33,004",349,"16,260","8,198","19,532","1,742","18,834","7,447","-1,914",-467,"-5,028",Financials in USD,Fiscal year is January - December
Net Income to Common,"-537,670","-75,293","-19,525","53,170","61,739","119,825","41,495","30,383","-1,321","33,004",349,"16,260","8,198","19,532","1,742","18,834","7,447","-1,914",-467,"-5,028",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,74.999%,-,263.062%,11789.685%,86.857%,-,68.974%,-79.966%,-13.667%,10.085%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"190,851,111","39,800,000","24,800,000","24,800,000","23,000,000","23,000,000","23,962,496","22,037,504","22,787,504","21,787,504","21,788,297","21,786,711","21,788,409","21,786,145","21,786,145","21,786,145","21,786,145","64,906,149","226,143","226,143",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"221,851,211","39,800,000","24,800,000","24,800,000","23,000,000","23,000,000","23,962,496","22,037,504","22,787,504","21,787,504","21,788,297","21,786,711","21,788,409","21,786,145","21,786,145","21,786,145","21,786,145","64,906,149","226,143","226,143",Financials in USD,Fiscal year is January - December
