Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021",,
"Selling, General & Admin","460,267","663,687","256,757","1,106,067","123,157","585,200","68,135","540,621","448,067","794,217","3,238,908","2,738,858","138,044","14,269",Financials in USD,Fiscal year is April - March
Research & Development,"16,964","19,135","25,890","2,880",-,-,"140,719",-,"22,614","18,472","18,962","61,999","124,034","136,291",Financials in USD,Fiscal year is April - March
Operating Expenses,"477,231","682,822","282,647","1,108,947","123,157","585,200","208,854","540,621","470,681","812,689","3,257,870","2,800,857","262,078","150,560",Financials in USD,Fiscal year is April - March
Operating Income,"-477,231","-682,822","-282,647","-1,108,947","-123,157","-585,200","-208,854","-540,621","-470,681","-812,689","-3,257,870","-2,800,857","-262,078","-150,560",Financials in USD,Fiscal year is April - March
Interest Expense,"-337,297",-,-,-,-,-,-,-,-38,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"15,235","28,075","27,647",-,-,-,"-17,856",-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),100,-,"-39,567",-,-,-,"-20,484",-,-2,-,51,180,-,-,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-799,193","-654,747","-294,567","-1,108,947","-123,157","-585,200","-247,194","-540,621","-470,721","-812,689","-3,257,819","-2,800,677","-262,078","-150,560",Financials in USD,Fiscal year is April - March
Asset Writedown,-,-,"-92,278","-300,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Other Unusual Items,-,-,"682,875","-406,575",-,"138,163",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Pretax Income,"-799,193","-654,747","296,030","-1,815,522","-123,157","-447,037","-247,194","-540,621","-470,721","-812,689","-3,257,819","-2,800,677","-262,078","-150,560",Financials in USD,Fiscal year is April - March
Income Tax Expense,-,-,"-194,800","194,800",-,-,"101,301","-5,832","-95,469",-,-,-,-,-,Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"-799,193","-654,747","490,830","-2,010,322","-123,157","-447,037","-348,495","-534,789","-375,252","-812,689","-3,257,819","-2,800,677","-262,078","-150,560",Financials in USD,Fiscal year is April - March
Minority Interest in Earnings,"107,362",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Net Income,"-691,831","-654,747","490,830","-2,010,322","-123,157","-447,037","-348,495","-534,789","-375,252","-812,689","-3,257,819","-2,800,677","-262,078","-150,560",Financials in USD,Fiscal year is April - March
Net Income to Common,"-691,831","-654,747","490,830","-2,010,322","-123,157","-447,037","-348,495","-534,789","-375,252","-812,689","-3,257,819","-2,800,677","-262,078","-150,560",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"1,467,475,253","1,429,742,622","1,362,186,664","1,265,220,104","800,109,341","807,047,948","807,891,281","807,047,948","807,047,948","802,633,333","795,420,982","771,132,239","754,280,000","754,280,000",Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"1,467,475,253","1,429,742,622","1,362,186,664","1,265,220,104","800,109,341","807,047,948","807,891,281","807,047,948","807,047,948","802,633,333","795,420,982","771,132,239","754,280,000","754,280,000",Financials in USD,Fiscal year is April - March
Shares Change (YoY),83.409%,77.157%,68.610%,56.771%,-0.860%,0.550%,1.568%,4.658%,6.996%,6.411%,-,-,-,-,Financials in USD,Fiscal year is April - March
EPS (Basic),-0.000,-0.000,0.000,-0.002,-0.000,-0.001,-0.000,-0.001,-0.000,-0.001,-0.004,-0.004,-0.000,-0.000,Financials in USD,Fiscal year is April - March
EPS (Diluted),-0.000,-0.000,0.000,-0.002,-0.000,-0.001,-0.000,-0.001,-0.000,-0.001,-0.004,-0.004,-0.000,-0.000,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-860,566","-207,163","-73,592","-1,175,871","-341,594","143,969","-150,766","-793,285","-147,092","-216,121","2,640,425","-2,487,207","-108,156",-718,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.001,-0.000,-0.000,-0.001,-0.000,0.000,-0.000,-0.001,-0.000,-0.000,0.003,-0.003,-0.000,-0.000,Financials in USD,Fiscal year is April - March
EBIT,"-477,231","-682,822","-282,647","-1,108,947","-123,157","-585,200","-208,854","-540,621","-470,681","-812,689","-3,257,870","-2,800,857","-262,078","-150,560",Financials in USD,Fiscal year is April - March
