Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Currency,Fiscal_Year_period
Period Ending,"Nov '21 Nov 30, 2021","Aug '21 Aug 31, 2021","May '21 May 31, 2021","Feb '21 Feb 28, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","May '20 May 31, 2020","Feb '20 Feb 29, 2020","Nov '19 Nov 30, 2019","Aug '19 Aug 31, 2019","May '19 May 31, 2019","Feb '19 Feb 28, 2019","Nov '18 Nov 30, 2018","Aug '18 Aug 31, 2018","May '18 May 31, 2018","Feb '18 Feb 28, 2018","Nov '17 Nov 30, 2017","Aug '17 Aug 31, 2017","May '17 May 31, 2017",,
Revenue,"94,638","109,573","233,265","71,532","35,520","195,647","-10,818","152,215","640,925","133,832",-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Revenue Growth (YoY),166.436%,-43.995%,-,-53.006%,-94.458%,46.189%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Cost of Revenue,"121,213","38,340","222,781","369,087","65,499","158,836","14,688","2,535,055","-372,911","128,620","-1,018,644","-177,982","44,025",-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Gross Profit,"-26,575","71,233","10,484","-297,555","-29,979","36,811","-25,506","-2,382,840","1,013,836","5,212","1,018,644","177,982","-44,025",-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
"Selling, General & Admin","569,047","476,464","494,745","360,364","437,049","395,136","561,629","1,201,494","1,296,688","1,768,813","2,266,995","2,598,036","1,565,142","1,049,834","1,289,241","463,062","317,562","242,844","121,766",Financials in CAD,Fiscal year is March - February
Operating Expenses,"604,213","520,286","519,151","-292,302","584,472","888,913","909,833","1,632,358","1,773,651","2,308,812","2,890,115","3,341,908","2,268,140","1,464,384","1,457,062","524,677","406,259","332,516","186,485",Financials in CAD,Fiscal year is March - February
Operating Income,"-630,788","-449,053","-508,667","-5,253","-614,451","-852,102","-935,339","-4,015,198","-759,815","-2,303,600","-1,871,471","-3,163,926","-2,312,165","-1,464,384","-1,457,062","-524,677","-406,259","-332,516","-186,485",Financials in CAD,Fiscal year is March - February
Interest Expense,"-374,428","-401,218","-534,973","-652,449","-716,030","-781,876","-861,505","-813,191","-758,014","-867,315","-886,141","-859,367","-449,436","-79,274","-255,581","-12,522",-,-,-,Financials in CAD,Fiscal year is March - February
Currency Exchange Gain (Loss),"9,506","29,607","-29,051","-38,824","-3,254","-31,488","15,131","1,522","-4,055",-6,"-1,289","2,243",-990,-31,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Other Non Operating Income (Expenses),"25,190","90,963","-19,529","-2,525","-17,647","40,332","-20,591","-61,178","8,866","-73,524","15,423","-20,682","-57,246","-4,328,099","-245,127","-52,334","-67,146",-657,-288,Financials in CAD,Fiscal year is March - February
EBT Excluding Unusual Items,"-970,520","-729,701","-1,092,220","-699,051","-1,351,382","-1,625,134","-1,802,304","-4,888,045","-1,513,018","-3,244,445","-2,743,478","-4,041,732","-2,819,837","-5,871,788","-1,957,770","-589,533","-473,405","-333,173","-186,773",Financials in CAD,Fiscal year is March - February
Impairment of Goodwill,-,-,-,-,-,-,-,"-1,322,544",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Gain (Loss) on Sale of Assets,-,"12,938",-,-,-,"20,892",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Asset Writedown,-,-,-,"-11,743,875",-,-,-,"-49,028,456",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Other Unusual Items,"-160,154","406,608","606,352","553,972","569,051","-174,590","-188,961","-62,224",-,"356,234","-302,163","-23,274","-76,322","766,928","485,055","-908,733",-,-,-,Financials in CAD,Fiscal year is March - February
Pretax Income,"-1,130,674","-310,155","-485,868","-11,888,954","-782,331","-1,778,832","-1,991,265","-55,301,269","-1,513,018","-2,888,211","-3,045,641","-4,065,006","-2,896,159","-5,104,860","-1,472,715","-1,498,267","-473,405","-333,173","-186,773",Financials in CAD,Fiscal year is March - February
Income Tax Expense,-,-,-,"-416,756",-,-,-,"-1,137,144",-,-,-,-,"-1,048,079","137,505",-,"-26,444",-,-,-,Financials in CAD,Fiscal year is March - February
Net Income,"-1,130,674","-310,155","-485,868","-11,472,198","-782,331","-1,778,832","-1,991,265","-54,164,125","-1,513,018","-2,888,211","-3,045,641","-4,065,006","-1,848,080","-5,242,365","-1,472,715","-1,471,822","-473,405","-333,173","-186,773",Financials in CAD,Fiscal year is March - February
Net Income to Common,"-1,130,674","-310,155","-485,868","-11,472,198","-782,331","-1,778,832","-1,991,265","-54,164,125","-1,513,018","-2,888,211","-3,045,641","-4,065,006","-1,848,080","-5,242,365","-1,472,715","-1,471,822","-473,405","-333,173","-186,773",Financials in CAD,Fiscal year is March - February
Shares Outstanding (Basic),"362,744,415","359,919,618","344,911,913","312,108,941","279,176,471","257,960,507","235,336,444","227,617,159","220,157,235","190,472,370","182,519,072","174,647,686","161,792,272","123,815,908","33,925,645","30,748,372","20,293,741","19,772,030","9,566,418",Financials in CAD,Fiscal year is March - February
Shares Outstanding (Diluted),"362,744,415","359,919,618","344,911,913","312,108,941","279,176,471","257,960,507","235,336,444","227,617,159","220,157,235","190,472,370","182,519,072","174,647,686","161,792,272","123,815,908","33,925,645","30,748,372","20,293,741","19,772,030","9,566,418",Financials in CAD,Fiscal year is March - February
Shares Change (YoY),29.934%,39.525%,46.561%,37.120%,26.808%,35.432%,28.938%,30.329%,36.074%,53.835%,437.997%,467.990%,697.252%,526.217%,254.633%,-,-,-,-,Financials in CAD,Fiscal year is March - February
EPS (Basic),-0.003,-0.001,-0.001,-0.037,-0.003,-0.007,-0.008,-0.238,-0.007,-0.015,-0.017,-0.023,-0.011,-0.042,-0.043,-0.048,-0.023,-0.017,-0.020,Financials in CAD,Fiscal year is March - February
EPS (Diluted),-0.003,-0.001,-0.001,-0.037,-0.003,-0.007,-0.008,-0.238,-0.007,-0.015,-0.017,-0.023,-0.011,-0.042,-0.043,-0.048,-0.023,-0.017,-0.020,Financials in CAD,Fiscal year is March - February
Free Cash Flow,"-121,168","-568,693","-709,093","-154,444","-421,732","-461,457","-133,099","-1,405,114","-635,816","-2,697,938","-2,380,720","-1,846,250","-2,945,553","-2,062,096","-1,668,087","-235,310","-242,939","-208,081","-105,213",Financials in CAD,Fiscal year is March - February
Free Cash Flow Per Share,-0.000,-0.002,-0.002,-0.000,-0.002,-0.002,-0.001,-0.006,-0.003,-0.014,-0.013,-0.011,-0.018,-0.017,-0.049,-0.008,-0.012,-0.011,-0.011,Financials in CAD,Fiscal year is March - February
Gross Margin,-28.081%,65.010%,4.494%,-,-84.400%,18.815%,-,-,158.183%,3.894%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Operating Margin,-666.527%,-409.821%,-218.064%,-7.344%,-1729.873%,-435.530%,-,-2637.846%,-118.550%,-1721.262%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Profit Margin,-1194.736%,-283.058%,-208.290%,-16037.854%,-2202.508%,-909.205%,-,-35583.960%,-236.068%,-2158.087%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Free Cash Flow Margin,-128.033%,-519.008%,-303.986%,-215.909%,-1187.309%,-235.862%,-,-923.111%,-99.203%,-2015.914%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
EBITDA,"-615,769","-434,103","-493,985","29,960","-592,611","-821,427","-906,404","-3,688,238","-622,624","-2,166,706","-1,739,501","-3,029,918","-2,213,166","-1,458,383","-1,455,598",-,-,-,-,Financials in CAD,Fiscal year is March - February
EBITDA Margin,-,-,-211.770%,41.883%,-,-,-,-,-97.144%,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
D&A For EBITDA,"15,019","14,950","14,682","35,213","21,840","30,675","28,935","326,960","137,191","136,894","131,970","134,008","98,999","6,001","1,464",-,-,-,-,Financials in CAD,Fiscal year is March - February
EBIT,"-630,788","-449,053","-508,667","-5,253","-614,451","-852,102","-935,339","-4,015,198","-759,815","-2,303,600","-1,871,471","-3,163,926","-2,312,165","-1,464,384","-1,457,062","-524,677","-406,259","-332,516","-186,485",Financials in CAD,Fiscal year is March - February
EBIT Margin,-,-,-218.064%,-7.343%,-,-,-,-,-118.550%,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Revenue as Reported,"94,638","109,573","233,265","71,532","35,520","195,647","-10,818","152,215","640,925","133,832",-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
