Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022",,
Operating Revenue,"5,047,000,000","5,031,000,000","4,918,000,000","4,614,000,000","4,662,000,000",Financials in USD,Fiscal year is January - December
Other Revenue,"15,000,000","18,000,000","12,000,000","17,000,000","13,000,000",Financials in USD,Fiscal year is January - December
Revenue,"5,062,000,000","5,049,000,000","4,930,000,000","4,631,000,000","4,675,000,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),2.677%,9.026%,5.455%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,682,000,000","2,859,000,000","2,556,000,000","2,475,000,000","2,453,000,000",Financials in USD,Fiscal year is January - December
Gross Profit,"2,380,000,000","2,190,000,000","2,374,000,000","2,156,000,000","2,222,000,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,246,000,000","1,230,000,000","1,159,000,000","1,082,000,000","1,045,000,000",Financials in USD,Fiscal year is January - December
Research & Development,"489,000,000","479,000,000","447,000,000","424,000,000","409,000,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"313,000,000","568,000,000","306,000,000","111,000,000","68,000,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,048,000,000","2,277,000,000","1,912,000,000","1,617,000,000","1,522,000,000",Financials in USD,Fiscal year is January - December
Operating Income,"332,000,000","-87,000,000","462,000,000","539,000,000","700,000,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-126,000,000","-143,000,000","-59,000,000","-47,000,000","-42,000,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"31,000,000",-,"8,000,000",-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-61,000,000",-,"-32,000,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,000,000","38,000,000","-41,000,000","19,000,000","-25,000,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"204,000,000","-222,000,000","362,000,000","487,000,000","633,000,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-10,000,000",-,"-18,000,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"204,000,000","-232,000,000","362,000,000","469,000,000","633,000,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"53,000,000","-76,000,000","126,000,000","90,000,000","162,000,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"151,000,000","-156,000,000","236,000,000","379,000,000","471,000,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-1,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000",Financials in USD,Fiscal year is January - December
Net Income,"150,000,000","-158,000,000","235,000,000","378,000,000","470,000,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"150,000,000","-158,000,000","235,000,000","378,000,000","470,000,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-36.170%,-,-50.000%,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"430,200,000",-,"429,900,000",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"432,200,000",-,"429,900,000",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.535%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.349,-,0.547,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.349,-,0.547,-,-,Financials in USD,Fiscal year is January - December
EPS Growth,-36.215%,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"64,000,000","68,000,000","-70,000,000","728,000,000","217,000,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.148,-,-0.163,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,6.559%,-1.723%,9.371%,11.639%,14.973%,Financials in USD,Fiscal year is January - December
Profit Margin,2.963%,-3.129%,4.767%,8.162%,10.053%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,1.264%,1.347%,-1.420%,15.720%,4.642%,Financials in USD,Fiscal year is January - December
EBITDA,"541,000,000","101,000,000","693,000,000","740,000,000","920,000,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"209,000,000","188,000,000","231,000,000","201,000,000","220,000,000",Financials in USD,Fiscal year is January - December
EBIT,"332,000,000","-87,000,000","462,000,000","539,000,000","700,000,000",Financials in USD,Fiscal year is January - December
