Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
"Selling, General & Admin","822,250","699,784","799,601","3,381,886","822,688","1,018,166","1,077,039","4,536,712","3,000","1,144,037","1,290,607","1,982,743","1,529,613","1,178,211","1,276,848","1,414,115","2,207,874","1,371,426","1,220,305","2,623,373",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,463","593,784","30,296","264,864","14,625",-,-,-,-,-,-,-,-,-,-,"-20,373","592,768",-,-,"401,576",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"150,524",-,-,-,-,-473,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"827,713","1,294,568","831,897","882,109","840,313","1,021,166","1,080,039","950,716","1,167,527","1,148,037","1,294,607","1,986,721","1,532,613","1,181,211","1,279,848","1,422,779","2,800,642","1,379,426","1,226,305","3,045,608",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-827,713","-1,294,568","-831,897","-882,109","-840,313","-1,021,166","-1,080,039","-950,716","-1,167,527","-1,148,037","-1,294,607","-1,986,721","-1,532,613","-1,181,211","-1,279,848","-1,422,779","-2,800,642","-1,379,426","-1,226,305","-3,045,608",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,173","11,581","18,632","24,029","24,307","2,831","4,267","9,046",789,"1,002",852,"3,457","4,383","4,146","4,836","7,258","21,302","35,893","54,821","68,160",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,"-12,940","-7,400","3,500","-13,070","26,700","13,300","-5,400","-5,395","5,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"1,000,000",44,17,"4,167,301","1,274",-213,59,-306,"-2,156","11,343","5,177","-2,231","8,779","-22,151","-8,518","7,443","4,093","20,403",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-824,540","-1,282,987","186,735","-858,036","-815,989","3,148,966","-1,074,498","-941,883","-1,166,679","-1,147,341","-1,295,911","-1,984,861","-1,530,453","-1,175,796","-1,279,303","-1,410,972","-2,774,558","-1,341,490","-1,172,786","-2,952,045",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"-2,324",-,"353,565",-,"-7,041,450","-164,800",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-824,540","-1,282,987","186,735","-858,036","-815,989","3,148,966","-1,074,498","-944,207","-1,166,679","-793,776","-1,295,911","-9,026,311","-1,695,253","-1,175,796","-1,279,303","-1,410,972","-2,774,558","-1,341,490","-1,172,786","-2,952,045",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800,-,-,-,800,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-824,540","-1,282,987","186,735","-858,036","-815,989","3,148,966","-1,074,498","-944,207","-1,166,679","-793,776","-1,295,911","-9,026,311","-1,695,253","-1,175,796","-1,279,303","-1,411,772","-2,774,558","-1,341,490","-1,172,786","-2,952,845",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-37,822",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-824,540","-1,282,987","186,735","-858,036","-815,989","3,148,966","-1,074,498","-944,207","-1,166,679","-793,776","-1,295,911","-9,026,311","-1,695,253","-1,175,796","-1,279,303","-1,411,772","-2,774,558","-1,341,490","-1,172,786","-2,990,667",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,"68,809","68,809","84,005","202,567","206,000","171,668",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
