Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"1,000,400","633,102","319,832","442,919",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),81.786%,97.948%,-27.790%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"264,880","210,390","161,008","104,407",Financials in USD,Fiscal year is January - December
Gross Profit,"735,520","422,712","158,824","338,512",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,115,059","9,320,268","4,097,957","1,204,285",Financials in USD,Fiscal year is January - December
Research & Development,"1,267,304","1,572,459","1,596,495","1,261,747",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,382,363","10,892,727","5,694,452","2,466,032",Financials in USD,Fiscal year is January - December
Operating Income,"-7,646,843","-10,470,015","-5,535,628","-2,127,520",Financials in USD,Fiscal year is January - December
Interest Expense,"-25,177","-20,391",-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"162,783","-5,587,692",-,"-133,967",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-7,509,237","-16,078,098","-5,535,628","-2,261,487",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,500,000","-2,090,000","83,850",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,009,237","-18,004,098","-5,451,778","-2,125,487",Financials in USD,Fiscal year is January - December
Net Income,"-9,009,237","-18,004,098","-5,451,778","-2,125,487",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"344,028","373,856",-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,353,265","-18,377,954","-5,451,778","-2,125,487",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"19,567,993","10,452,697","3,012,603","11,050,904",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"19,567,993","10,452,697","3,012,603","11,050,904",Financials in USD,Fiscal year is January - December
Shares Change (YoY),212.235%,246.966%,-72.739%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.478,-1.758,-1.810,-0.192,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.478,-1.758,-1.810,-0.192,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,755,074","-9,800,377","-3,899,962","-1,816,470",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.345,-0.938,-1.295,-0.164,Financials in USD,Fiscal year is January - December
Gross Margin,73.522%,66.768%,49.658%,76.427%,Financials in USD,Fiscal year is January - December
Operating Margin,-764.379%,-1653.764%,-1730.792%,-480.341%,Financials in USD,Fiscal year is January - December
Profit Margin,-934.953%,-2902.843%,-1704.576%,-479.882%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-675.237%,-1547.993%,-1219.378%,-410.113%,Financials in USD,Fiscal year is January - December
EBITDA,"-7,546,982","-10,376,068","-5,449,492","-2,037,771",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"99,861","93,947","86,136","89,749",Financials in USD,Fiscal year is January - December
EBIT,"-7,646,843","-10,470,015","-5,535,628","-2,127,520",Financials in USD,Fiscal year is January - December
