Fiscal Year,TTM,FY 2021,FY 2020,FY 2019,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Period Ending,"Sep '22 Sep 30, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Apr '19 Apr 30, 2019","Dec '18 Dec 31, 2018",2017,,
Operating Revenue,"34,850","588,957","3,672,353","451,196","509,763","177,722",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,"3,780","3,780",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"34,850","588,957","3,672,353","451,196","513,543","181,502",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-97.924%,-83.962%,713.915%,-12.141%,182.941%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"489,523","1,119,125","3,391,888","708,567","502,360","183,459",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-454,673","-530,168","280,465","-257,371","11,183","-1,957",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,484,326","1,521,712","1,486,677","1,618,981","283,461","157,570",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"108,794",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,847,981","1,885,367","1,486,677","1,618,981","283,461","266,364",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-2,302,654","-2,415,535","-1,206,212","-1,876,352","-272,278","-268,321",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,569,488","-1,684,695","-2,097,085","-571,047","-46,912","-98,185",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"38,119","-8,751","-40,394,176","-1,626,634",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,834,023","-4,108,981","-43,697,473","-4,074,033","-319,190","-366,506",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"25,553","-195,385",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-195,385",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-533,264","-1,396,042","39,640,477","-355,700",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,367,287","-5,505,023","-4,056,996","-4,599,565","-514,575","-366,506",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-4,367,287","-5,505,023","-4,056,996","-4,599,565","-514,575","-366,506",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,83,353,-,"-9,468","-9,468",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,367,204","-5,504,670","-4,056,996","-4,609,033","-524,043","-366,506",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,367,204","-5,504,670","-4,056,996","-4,609,033","-524,043","-366,506",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"570,856,526","515,339,023","498,230,051","140,042,737","10,354,176","10,058,462",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"570,856,526","515,339,023","498,230,051","140,042,737","10,354,176","10,058,462",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.309%,3.434%,255.770%,1252.524%,2.940%,81.162%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.008,-0.011,-0.008,-0.033,-0.051,-0.036,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.008,-0.011,-0.008,-0.033,-0.051,-0.040,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-522,359","-1,203,388","-1,625,908","-1,307,990","-148,633","-78,600",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.002,-0.003,-0.009,-0.014,-0.008,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-90.018%,7.637%,-57.042%,2.178%,-1.078%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-6607.329%,-410.138%,-32.846%,-415.862%,-53.020%,-147.834%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-12531.432%,-934.647%,-110.474%,-1021.515%,-102.045%,-201.929%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1498.878%,-204.325%,-44.274%,-289.894%,-28.943%,-43.305%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,297,138","-1,399,409","452,768","-1,813,653","-233,085","-243,610",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-237.608%,12.329%,-,-45.388%,-134.219%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,005,516","1,016,126","1,658,980","62,699","39,193","24,711",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,302,654","-2,415,535","-1,206,212","-1,876,352","-272,278","-268,321",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-32.846%,-,-53.019%,-147.834%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"451,196","513,543","181,502",Upgrade,Financials in USD,Fiscal year is January - December
