Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2018,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Feb '23 Feb 28, 2023","Feb '22 Feb 28, 2022","Feb '21 Feb 28, 2021","Feb '20 Feb 29, 2020",2019 - 2018,,
Revenue,"1,341,376","1,020,424","718,298","1,751,916","755,201","101,498",Upgrade,Financials in CAD,Fiscal year is March - February
Revenue Growth (YoY),20.094%,42.061%,-58.999%,131.980%,644.055%,-,Upgrade,Financials in CAD,Fiscal year is March - February
Cost of Revenue,"554,817","457,015","361,510","407,119","125,351","64,161",Upgrade,Financials in CAD,Fiscal year is March - February
Gross Profit,"786,559","563,409","356,788","1,344,797","629,850","37,337",Upgrade,Financials in CAD,Fiscal year is March - February
"Selling, General & Admin","3,028,992","2,436,345","2,460,303","2,988,438","1,503,726","4,150,039",Upgrade,Financials in CAD,Fiscal year is March - February
Research & Development,"459,314","427,798","92,885","359,290","85,310","272,718",Upgrade,Financials in CAD,Fiscal year is March - February
Operating Expenses,"4,779,785","3,640,736","3,900,563","5,646,657","2,264,504","7,542,639",Upgrade,Financials in CAD,Fiscal year is March - February
Operating Income,"-3,993,226","-3,077,327","-3,543,775","-4,301,860","-1,634,654","-7,505,302",Upgrade,Financials in CAD,Fiscal year is March - February
Interest Expense,"-953,717","-661,454","-264,640","-133,481","-142,561","-108,519",Upgrade,Financials in CAD,Fiscal year is March - February
Interest & Investment Income,-,-,-,363,-,"17,170",Upgrade,Financials in CAD,Fiscal year is March - February
Currency Exchange Gain (Loss),"-8,905","-8,905","-1,610","23,915","-28,043","25,498",Upgrade,Financials in CAD,Fiscal year is March - February
Other Non Operating Income (Expenses),"147,782",-,-,"8,456",-,"90,725",Upgrade,Financials in CAD,Fiscal year is March - February
EBT Excluding Unusual Items,"-4,808,066","-3,747,686","-3,810,025","-4,402,607","-1,805,258","-7,480,428",Upgrade,Financials in CAD,Fiscal year is March - February
Impairment of Goodwill,-,-,-,"-4,084,842",-,-,Upgrade,Financials in CAD,Fiscal year is March - February
Gain (Loss) on Sale of Investments,-,-,-,-,-,"-569,996",Upgrade,Financials in CAD,Fiscal year is March - February
Gain (Loss) on Sale of Assets,-,-,-,-,-,"85,808",Upgrade,Financials in CAD,Fiscal year is March - February
Other Unusual Items,"-558,814","-558,814",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is March - February
Pretax Income,"-5,366,880","-4,306,500","-3,810,025","-8,487,449","-1,805,258","-7,964,616",Upgrade,Financials in CAD,Fiscal year is March - February
Net Income,"-5,366,880","-4,306,500","-3,810,025","-8,487,449","-1,805,258","-7,964,616",Upgrade,Financials in CAD,Fiscal year is March - February
Net Income to Common,"-5,366,880","-4,306,500","-3,810,025","-8,487,449","-1,805,258","-7,964,616",Upgrade,Financials in CAD,Fiscal year is March - February
Shares Outstanding (Basic),"104,963,799","104,963,799","103,416,180","100,216,232","77,787,309","76,091,906",Upgrade,Financials in CAD,Fiscal year is March - February
Shares Outstanding (Diluted),"104,963,799","104,963,799","103,416,180","100,216,232","77,787,309","76,091,906",Upgrade,Financials in CAD,Fiscal year is March - February
Shares Change (YoY),-7.404%,1.496%,3.193%,28.834%,2.228%,21.263%,Upgrade,Financials in CAD,Fiscal year is March - February
EPS (Basic),-0.051,-0.041,-0.037,-0.085,-0.023,-0.105,Upgrade,Financials in CAD,Fiscal year is March - February
EPS (Diluted),-0.051,-0.041,-0.037,-0.085,-0.023,-0.105,Upgrade,Financials in CAD,Fiscal year is March - February
Free Cash Flow,"-2,731,599","-2,294,991","-863,917","-3,039,885","-1,632,766","-4,256,124",Upgrade,Financials in CAD,Fiscal year is March - February
Free Cash Flow Per Share,-0.026,-0.022,-0.008,-0.030,-0.021,-0.056,Upgrade,Financials in CAD,Fiscal year is March - February
Gross Margin,58.638%,55.213%,49.671%,76.761%,83.402%,36.786%,Upgrade,Financials in CAD,Fiscal year is March - February
Operating Margin,-297.696%,-301.573%,-493.357%,-245.552%,-216.453%,-7394.532%,Upgrade,Financials in CAD,Fiscal year is March - February
Profit Margin,-400.103%,-422.030%,-530.424%,-484.467%,-239.043%,-7847.067%,Upgrade,Financials in CAD,Fiscal year is March - February
Free Cash Flow Margin,-203.642%,-224.906%,-120.273%,-173.518%,-216.203%,-4193.308%,Upgrade,Financials in CAD,Fiscal year is March - February
EBITDA,"-3,815,163","-2,745,513","-3,204,827","-3,824,549","-1,247,682","-7,310,102",Upgrade,Financials in CAD,Fiscal year is March - February
EBITDA Margin,-284.421%,-269.056%,-,-218.307%,-165.212%,-,Upgrade,Financials in CAD,Fiscal year is March - February
D&A For EBITDA,"178,063","331,814","338,948","477,311","386,972","195,200",Upgrade,Financials in CAD,Fiscal year is March - February
EBIT,"-3,993,226","-3,077,327","-3,543,775","-4,301,860","-1,634,654","-7,505,302",Upgrade,Financials in CAD,Fiscal year is March - February
EBIT Margin,-297.696%,-,-,-245.552%,-216.453%,-,Upgrade,Financials in CAD,Fiscal year is March - February
