Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"965,300,000","1,013,200,000","976,600,000","892,800,000","944,600,000","915,800,000",Financials in EUR,Fiscal year is January - December
Other Revenue,"6,000,000","5,700,000","4,300,000",-,-,-,Financials in EUR,Fiscal year is January - December
Revenue,"971,300,000","1,018,900,000","980,900,000","892,800,000","944,600,000","915,800,000",Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),-2.244%,3.874%,9.868%,-5.484%,3.145%,-,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"805,800,000","854,300,000","804,000,000","783,700,000","854,100,000","828,200,000",Financials in EUR,Fiscal year is January - December
Gross Profit,"165,500,000","164,600,000","176,900,000","109,100,000","90,500,000","87,600,000",Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","134,800,000","133,700,000","129,400,000","90,300,000","70,500,000","66,000,000",Financials in EUR,Fiscal year is January - December
Research & Development,"30,200,000","29,600,000","21,800,000","17,000,000","19,900,000","16,300,000",Financials in EUR,Fiscal year is January - December
Other Operating Expenses,"-400,000","-400,000",-,"2,500,000","800,000","8,800,000",Financials in EUR,Fiscal year is January - December
Operating Expenses,"164,600,000","162,900,000","151,200,000","109,800,000","91,200,000","91,100,000",Financials in EUR,Fiscal year is January - December
Operating Income,"900,000","1,700,000","25,700,000","-700,000","-700,000","-3,500,000",Financials in EUR,Fiscal year is January - December
Interest Expense,"-14,200,000","-8,000,000","-1,700,000","-1,000,000","-1,000,000","-1,100,000",Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"3,500,000","800,000","100,000","200,000","1,000,000","800,000",Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"400,000","1,500,000","-1,100,000","1,100,000","1,300,000","1,400,000",Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"500,000",-,"8,100,000","100,000","-200,000","-800,000",Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,900,000","-4,000,000","31,100,000","-300,000","400,000","-3,200,000",Financials in EUR,Fiscal year is January - December
Merger & Restructuring Charges,"-57,700,000","-12,300,000","-6,100,000","-4,500,000","-2,400,000","100,000",Financials in EUR,Fiscal year is January - December
Asset Writedown,"-230,300,000","-226,400,000","-21,800,000","-8,900,000","-9,800,000",-,Financials in EUR,Fiscal year is January - December
Legal Settlements,-,-,-,"-900,000",-,-,Financials in EUR,Fiscal year is January - December
Pretax Income,"-296,900,000","-242,700,000","3,200,000","-14,600,000","-11,800,000","-3,100,000",Financials in EUR,Fiscal year is January - December
Income Tax Expense,"-9,600,000","-53,000,000","18,200,000","-6,500,000","-5,500,000","-5,600,000",Financials in EUR,Fiscal year is January - December
Net Income,"-287,300,000","-189,700,000","-15,000,000","-8,100,000","-6,300,000","2,500,000",Financials in EUR,Fiscal year is January - December
Net Income to Common,"-287,300,000","-189,700,000","-15,000,000","-8,100,000","-6,300,000","2,500,000",Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"94,400,000","94,200,000","93,700,000","90,000,000","90,000,000","89,900,000",Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"94,400,000","94,200,000","93,700,000","90,000,000","90,000,000","89,900,000",Financials in EUR,Fiscal year is January - December
Shares Change (YoY),-0.474%,0.534%,4.111%,-,0.111%,-,Financials in EUR,Fiscal year is January - December
EPS (Basic),-3.043,-2.014,-0.160,-0.090,-0.070,0.028,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-3.059,-2.020,-0.160,-0.090,-0.070,0.028,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-25,500,000","-146,700,000","-61,600,000","-40,200,000","8,400,000","-46,900,000",Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.270,-1.557,-0.657,-0.447,0.093,-0.522,Financials in EUR,Fiscal year is January - December
Gross Margin,17.039%,16.155%,18.034%,12.220%,9.581%,9.565%,Financials in EUR,Fiscal year is January - December
Operating Margin,0.093%,0.167%,2.620%,-0.078%,-0.074%,-0.382%,Financials in EUR,Fiscal year is January - December
Profit Margin,-29.579%,-18.618%,-1.529%,-0.907%,-0.667%,0.273%,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-2.625%,-14.398%,-6.280%,-4.503%,0.889%,-5.121%,Financials in EUR,Fiscal year is January - December
EBITDA,"278,400,000","290,100,000","120,200,000","66,400,000","56,100,000","52,300,000",Financials in EUR,Fiscal year is January - December
EBITDA Margin,28.663%,28.472%,12.254%,7.437%,5.939%,5.711%,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"277,500,000","288,400,000","94,500,000","67,100,000","56,800,000","55,800,000",Financials in EUR,Fiscal year is January - December
EBIT,"900,000","1,700,000","25,700,000","-700,000","-700,000","-3,500,000",Financials in EUR,Fiscal year is January - December
EBIT Margin,0.093%,0.167%,2.620%,-0.078%,-0.074%,-0.382%,Financials in EUR,Fiscal year is January - December
Effective Tax Rate,-,-,568.750%,-,-,-,Financials in EUR,Fiscal year is January - December
