Fiscal Year,TTM,FY 2015,FY 2014,FY 2013,FY 2012,FY 2011,Currency,Fiscal_Year_period
Period Ending,"Sep '16 Sep 30, 2016","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011",,
"Selling, General & Admin","9,381,415","11,098,577","10,926,777","7,467,467","4,075,649","3,615,827",Financials in USD,Fiscal year is January - December
Research & Development,"11,911,098","27,401,669","20,286,826","9,523,427","12,096,278","15,253,522",Financials in USD,Fiscal year is January - December
Operating Expenses,"21,292,513","38,500,246","31,213,603","16,990,894","16,171,927","18,869,349",Financials in USD,Fiscal year is January - December
Operating Income,"-21,292,513","-38,500,246","-31,213,603","-16,990,894","-16,171,927","-18,869,349",Financials in USD,Fiscal year is January - December
Interest Expense,"-6,796,808","-6,384,285","-3,359,389","-2,767,422","-73,353","-6,753",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"47,922","99,605","112,667",629,"2,694","4,900",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"393,254","2,370,193","1,073,198","807,291","43,136","-48,454",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-27,648,145","-42,414,733","-33,387,127","-18,950,396","-16,199,450","-18,919,656",Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-16,902,466","-16,902,466",-,-,-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,148,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"10,337,686","9,593,145","-2,572,000","-1,000,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,035,457","-49,724,054","-35,958,979","-19,950,396","-16,199,450","-18,919,656",Financials in USD,Fiscal year is January - December
Net Income,"-40,718,457","-49,724,054","-35,958,979","-19,950,396","-16,199,450","-18,919,656",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"3,249,948","3,453,412","3,269,160",Financials in USD,Fiscal year is January - December
Net Income to Common,"-40,718,457","-49,724,054","-35,958,979","-23,200,344","-19,652,862","-22,188,816",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,772,041","23,692,327","22,290,069","2,295,636","969,998","818,905",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,772,041","23,730,375","22,351,689","2,295,636","969,998","818,905",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.345%,6.168%,873.660%,136.664%,18.451%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.644,-2.099,-1.613,-10.106,-20.261,-27.096,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.646,-2.103,-1.627,-10.110,-20.261,-27.096,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-23,881,942","-34,966,727","-32,881,029","-12,836,270","-15,956,489","-17,346,150",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.964,-1.474,-1.471,-5.592,-16.450,-21.182,Financials in USD,Fiscal year is January - December
EBITDA,"-21,140,181","-38,312,253","-31,087,647","-16,891,303","-16,017,904","-18,654,508",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"152,332","187,993","125,956","99,591","154,023","214,841",Financials in USD,Fiscal year is January - December
EBIT,"-21,292,513","-38,500,246","-31,213,603","-16,990,894","-16,171,927","-18,869,349",Financials in USD,Fiscal year is January - December
