Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"19,667","20,005","21,814","23,833","25,730","26,308","23,123","8,579","74,541","38,749","84,898","44,160","57,291","23,444","21,061","17,795","11,351","14,021","19,514","4,822",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-23.564%,-23.958%,-5.661%,177.806%,-65.482%,-32.107%,-72.764%,-80.573%,30.109%,65.283%,303.105%,148.160%,404.722%,67.206%,7.928%,269.038%,0.647%,56.992%,691.964%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,409","6,727","7,490","10,551","7,052","10,699","8,466","46,003","8,790","8,709","15,938","14,946","12,431","4,086","11,081","4,115","2,724","2,463","3,490",556,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"15,258","13,278","14,324","13,282","18,678","15,609","14,657","-37,424","65,751","30,040","68,960","29,214","44,860","19,358","9,980","13,680","8,627","11,558","16,024","4,266",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,958,726","399,746","628,953","419,545","327,134","349,575","391,797","645,647","509,899","507,530","291,500","336,051","715,048","310,700","251,209","479,982","365,113","353,984","138,400","-130,658",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"16,053","17,570","58,612","150,508","148,879","208,540","52,727","275,005","275,071","597,893","304,159","611,153","31,815","132,085","19,697","98,297","133,921","329,772",-,"-3,359",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,974,779","417,316","687,565","570,053","476,013","558,115","444,524","920,652","784,970","1,105,423","595,659","947,204","746,863","442,785","270,906","578,279","499,034","683,756","138,400","220,983",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,959,521","-404,038","-673,241","-556,771","-457,335","-542,506","-429,867","-958,076","-719,219","-1,075,383","-526,699","-917,990","-702,003","-423,427","-260,926","-564,599","-490,407","-672,198","-122,376","-216,717",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-106,346","-74,013","-89,190","-96,130","-83,062","-122,261","-121,812","-133,328","-167,371","-195,392","-149,998","-212,369","-121,414","-196,083","-81,928","-98,798","-47,561","-94,987","-61,135","-62,970",Upgrade,Financials in USD,Fiscal year is January - December
