Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters,,
"Selling, General & Admin","2,808,000","3,105,000","3,563,000","2,265,000","3,366,000","3,266,000","3,254,000","3,035,000","3,022,000","2,935,000","2,765,000","3,439,000","2,607,000","2,619,000","2,960,000","2,575,179","2,376,248","2,603,403","2,254,593","2,125,990",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"3,869,000","4,870,000","5,295,000","4,439,000","10,814,000","16,760,000","12,725,000","11,046,000","8,664,000","7,777,000","8,021,000","7,260,000","4,706,000","5,544,000","5,104,000","3,895,482","5,250,327","4,804,076","4,107,140","6,718,522",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,677,000","7,975,000","8,858,000","6,704,000","14,180,000","20,026,000","15,979,000","14,081,000","11,686,000","10,712,000","10,786,000","10,699,000","7,313,000","8,163,000","8,064,000","6,470,661","7,626,575","7,407,479","6,361,733","8,844,512",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,677,000","-7,975,000","-8,858,000","-6,704,000","-14,180,000","-20,026,000","-15,979,000","-14,081,000","-11,686,000","-10,712,000","-10,786,000","-10,699,000","-7,313,000","-8,163,000","-8,064,000","-6,470,661","-7,626,575","-7,407,479","-6,361,733","-8,844,512",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-1,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"109,000","114,000","87,000",-,"9,000","21,000","34,000","18,000","36,000","30,000","24,000","38,000","58,000","26,000","70,000","24,963","80,747","104,441","149,119","182,057",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,209,000","293,000","7,400,000","-3,153,000","4,823,000","1,916,000","-4,212,000","9,664,000","6,358,000","5,286,000","5,567,000","4,256,000","10,699,000","-9,480,000","416,000","-3,909,786","2,186,710","-1,363,868","17,799,629","14,598,151",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,359,000","-7,568,000","-1,371,000","-9,858,000","-9,348,000","-18,089,000","-20,157,000","-4,399,000","-5,292,000","-5,396,000","-5,195,000","-6,405,000","3,444,000","-17,617,000","-7,578,000","-10,355,484","-5,359,118","-8,666,906","11,587,015","5,935,696",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-7,719,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"18,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
