Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020",,
Revenue,"9,684",-,"7,048",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Cost of Revenue,"3,868",-,"4,500",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Gross Profit,"5,816",-,"2,548",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","868,325","1,510,346","2,102,791","2,387,997","182,043","828,559","888,532","1,102,940","763,523","714,484","1,147,482","1,147,482","296,361","86,059",Financials in USD,Fiscal year is July - June
Research & Development,-,-,-,-,-,-,-,-,-,-,"-82,913","-82,913",-,-,Financials in USD,Fiscal year is July - June
Operating Expenses,"868,325","1,510,346","2,102,791","2,387,997","182,043","828,559","888,532","1,102,940","763,523","714,484","1,064,570","1,064,570","296,361","86,059",Financials in USD,Fiscal year is July - June
Operating Income,"-862,509","-1,510,346","-2,100,243","-2,387,997","-182,043","-828,559","-888,532","-1,102,940","-763,523","-714,484","-1,064,570","-1,064,570","-296,361","-86,059",Financials in USD,Fiscal year is July - June
Interest Expense,"-128,471","-390,604","-402,017","-535,627","-485,278","-543,221","-424,798","-567,140","-598,339","-474,270","-999,350","-999,350","-317,343","-41,179",Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),"195,837",11,5,4,5,39,136,-,"-170,923","-151,303","-33,879","-33,879","10,188",-,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-795,143","-1,900,939","-2,502,255","-2,923,620","-667,316","-1,371,741","-1,313,194","-1,670,080","-1,532,785","-1,340,057","-2,097,799","-2,097,799","-603,516","-127,238",Financials in USD,Fiscal year is July - June
Asset Writedown,-,"-97,111","-78,850",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Other Unusual Items,"-508,599",-,"4,005","-1,182,188",-,-,-,-,-,-,"100,234","100,234",-,-,Financials in USD,Fiscal year is July - June
Pretax Income,"-1,303,742","-1,998,050","-2,577,100","-4,105,808","-667,316","-1,371,741","-1,313,194","-1,670,080","-1,532,785","-1,340,057","-1,997,565","-1,997,565","-603,516","-127,238",Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-1,303,742","-1,998,050","-2,577,100","-4,105,808","-667,316","-1,371,741","-1,313,194","-1,670,080","-1,532,785","-1,340,057","-1,997,565","-1,997,565","-603,516","-127,238",Financials in USD,Fiscal year is July - June
Earnings From Discontinued Operations,"-1,315,785",-,-,-,"-266,491",-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Net Income,"-2,619,527","-1,998,050","-2,577,100","-4,105,808","-933,807","-1,371,741","-1,313,194","-1,670,080","-1,532,785","-1,340,057","-1,997,565","-1,997,565","-603,516","-127,238",Financials in USD,Fiscal year is July - June
Net Income to Common,"-2,619,527","-1,998,050","-2,577,100","-4,105,808","-933,807","-1,371,741","-1,313,194","-1,670,080","-1,532,785","-1,340,057","-1,997,565","-1,997,565","-603,516","-127,238",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"1,764,630","1,758,131","1,632,945","1,363,441","1,044,356","1,044,356","1,043,689","1,024,531","1,013,981","647,675","603,951","603,951","476,031","461,847",Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,764,630","1,758,131","1,632,945","1,363,441","1,044,356","1,044,356","1,043,689","1,024,531","1,013,981","647,675","603,951","603,951","476,031","461,847",Financials in USD,Fiscal year is July - June
Shares Change (YoY),68.968%,68.346%,56.459%,33.080%,2.996%,61.247%,72.810%,69.638%,113.007%,40.236%,-,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-1.484,-1.136,-1.578,-3.011,-0.894,-1.313,-1.258,-1.630,-1.512,-2.069,-3.307,-3.307,-1.268,-0.275,Financials in USD,Fiscal year is July - June
EPS (Diluted),-1.484,-1.136,-1.578,-3.011,-0.894,-1.313,-1.258,-1.630,-1.512,-2.069,-3.307,-3.307,-1.268,-0.275,Financials in USD,Fiscal year is July - June
Free Cash Flow,-,"-1,288,453","-1,860,577","-2,034,809",-,"-246,529","-398,488","-391,097","-961,495","-667,342","-511,130","-511,130","-556,536","94,155",Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-,-0.733,-1.139,-1.492,-,-0.236,-0.382,-0.382,-0.948,-1.030,-0.846,-0.846,-1.169,0.204,Financials in USD,Fiscal year is July - June
Gross Margin,60.058%,-,36.152%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Operating Margin,-8906.537%,-,-29799.135%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Profit Margin,-27050.052%,-,-36564.983%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-,-,-26398.652%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
EBITDA,"-843,303","-1,490,997",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"19,206","19,349",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is July - June
EBIT,"-862,509","-1,510,346","-2,100,243","-2,387,997","-182,043","-828,559","-888,532","-1,102,940","-763,523","-714,484","-1,064,570","-1,064,570","-296,361","-86,059",Financials in USD,Fiscal year is July - June
