Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Apr '24 Apr 30, 2024","Jul '23 Jul 31, 2023","Jul '22 Jul 31, 2022","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020","Jul '19 Jul 31, 2019",2018 - 2014,,
"Selling, General & Admin","2,553,064","8,929,542","10,832,639","6,822,363","1,089,849","10,651,226",Upgrade,Financials in USD,Fiscal year is August - July
Other Operating Expenses,"766,423","982,598","1,686,361",-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Operating Expenses,"3,453,159","10,045,812","12,595,517","6,822,363","1,089,849","10,651,226",Upgrade,Financials in USD,Fiscal year is August - July
Operating Income,"-3,453,159","-10,045,812","-12,595,517","-6,822,363","-1,089,849","-10,651,226",Upgrade,Financials in USD,Fiscal year is August - July
Interest Expense,"-279,919","-193,894","-136,933","-67,647","-16,817",-668,Upgrade,Financials in USD,Fiscal year is August - July
Other Non Operating Income (Expenses),-,-,1,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-3,733,078","-10,239,706","-12,732,449","-6,890,010","-1,106,666","-10,651,894",Upgrade,Financials in USD,Fiscal year is August - July
Gain (Loss) on Sale of Assets,-,"-65,748",-,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Asset Writedown,-,-,"-2,734,839",-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Pretax Income,"-3,410,000","-10,305,454","-15,467,288","-6,890,010","-1,106,666","-10,651,894",Upgrade,Financials in USD,Fiscal year is August - July
Net Income,"-3,410,000","-10,305,454","-15,467,288","-6,890,010","-1,106,666","-10,651,894",Upgrade,Financials in USD,Fiscal year is August - July
Net Income to Common,"-3,410,000","-10,305,454","-15,467,288","-6,890,010","-1,106,666","-10,651,894",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Basic),"301,302,932","301,296,736","301,113,657","300,256,860","293,290,374","170,225,855",Upgrade,Financials in USD,Fiscal year is August - July
Shares Outstanding (Diluted),"301,302,932","301,296,736","301,113,657","300,256,860","293,290,374","170,225,855",Upgrade,Financials in USD,Fiscal year is August - July
Shares Change (YoY),0.008%,0.061%,0.285%,2.375%,72.295%,1739.501%,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Basic),-0.011,-0.034,-0.051,-0.023,-0.004,-0.063,Upgrade,Financials in USD,Fiscal year is August - July
EPS (Diluted),-0.011,-0.034,-0.051,-0.023,-0.004,-0.063,Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow,"-1,119,588","-431,666","-2,583,430","-1,794,330","-493,643","-159,018",Upgrade,Financials in USD,Fiscal year is August - July
Free Cash Flow Per Share,-0.004,-0.001,-0.009,-0.006,-0.002,-0.001,Upgrade,Financials in USD,Fiscal year is August - July
EBITDA,"-3,319,487","-9,912,140","-12,519,000",-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
D&A For EBITDA,"133,672","133,672","76,517",-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
EBIT,"-3,453,159","-10,045,812","-12,595,517","-6,822,363","-1,089,849","-10,651,226",Upgrade,Financials in USD,Fiscal year is August - July
