Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,"3,553,000","1,430,000","42,000,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,148.462%,-96.595%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"21,616,000","22,919,000","23,313,000","19,956,000","21,832,000","23,890,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-21,616,000","-22,919,000","-19,760,000","-18,526,000","20,168,000","-23,890,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,088,000","10,925,000","12,643,000","13,371,000","4,349,000","4,715,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"11,088,000","10,925,000","12,643,000","13,371,000","4,349,000","4,715,000",Financials in USD,Fiscal year is January - December
Operating Income,"-32,704,000","-33,844,000","-32,403,000","-31,897,000","15,819,000","-28,605,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,979,000","-2,919,000","-2,251,000","-1,764,000","-1,333,000","-1,381,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,069,000","972,000","439,000","6,000","67,000","239,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-23,000","-26,000","-574,000","1,035,000","9,000","8,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-34,637,000","-35,817,000","-34,789,000","-32,620,000","14,562,000","-29,739,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"6,000","6,000","12,124,000","48,418,000",-,"15,529,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-34,631,000","-35,811,000","-22,665,000","15,798,000","14,562,000","-14,210,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,"351,000",-,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-34,631,000","-35,811,000","-22,665,000","15,798,000","14,211,000","-14,210,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"-14,045,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-34,631,000","-35,811,000","-22,665,000","15,798,000","166,000","-14,210,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-34,631,000","-35,811,000","-22,665,000","15,798,000","166,000","-14,210,000",Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,9416.867%,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,787,341","2,186,954","1,647,183","604,234","56,422","47,835",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,787,341","2,186,954","1,647,183","1,440,163","106,194","47,835",Financials in USD,Fiscal year is January - December
Shares Change (YoY),68.043%,32.769%,14.375%,1256.162%,122.001%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-12.424,-16.375,-13.760,26.145,2.942,-297.063,Financials in USD,Fiscal year is January - December
EPS (Diluted),-12.424,-16.375,-13.760,11.000,2.816,-297.063,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,290.680%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-29,275,000","-29,647,000","-26,091,000","-24,930,000","13,681,000","-27,602,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-10.503,-13.556,-15.840,-17.311,128.830,-577.025,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,48.019%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-911.990%,-2230.559%,37.664%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-637.912%,1104.755%,0.395%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-734.337%,-1743.357%,32.574%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-32,593,000","-33,733,000","-32,350,000","-31,873,000","15,979,000","-28,298,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,38.045%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"111,000","111,000","53,000","24,000","160,000","307,000",Financials in USD,Fiscal year is January - December
EBIT,"-32,704,000","-33,844,000","-32,403,000","-31,897,000","15,819,000","-28,605,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,37.664%,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,2.410%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"42,000,000",-,Financials in USD,Fiscal year is January - December
