Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Sep '22 Sep 30, 2022","Sep '21 Sep 30, 2021","Sep '20 Sep 30, 2020",,
Revenue,"351,916","181,087","80,717",-,-,Financials in CAD,Fiscal year is October - September
Revenue Growth (YoY),72.595%,124.348%,-,-,-,Financials in CAD,Fiscal year is October - September
Cost of Revenue,"595,571","338,124","215,957",-,-,Financials in CAD,Fiscal year is October - September
Gross Profit,"-243,655","-157,037","-135,240",-,-,Financials in CAD,Fiscal year is October - September
"Selling, General & Admin","4,127,342","3,907,973","5,360,980","3,801,451","483,423",Financials in CAD,Fiscal year is October - September
Research & Development,"19,685","152,146","133,235","240,924",-,Financials in CAD,Fiscal year is October - September
Operating Expenses,"4,922,209","4,953,142","6,792,926","5,350,113","499,698",Financials in CAD,Fiscal year is October - September
Operating Income,"-5,165,864","-5,110,179","-6,928,166","-5,350,113","-499,698",Financials in CAD,Fiscal year is October - September
Interest Expense,"-132,591","-10,773","-20,597","-17,094","-7,908",Financials in CAD,Fiscal year is October - September
Interest & Investment Income,"11,142","136,410","66,943","55,038",-,Financials in CAD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-349,333","-195,050","-469,008","-707,360",-57,Financials in CAD,Fiscal year is October - September
EBT Excluding Unusual Items,"-5,636,646","-5,179,592","-7,350,828","-6,019,529","-507,663",Financials in CAD,Fiscal year is October - September
Gain (Loss) on Sale of Assets,-,"-14,956",-,-,-,Financials in CAD,Fiscal year is October - September
Pretax Income,"-5,636,646","-5,194,548","-7,350,828","-6,019,529","-507,663",Financials in CAD,Fiscal year is October - September
Net Income,"-5,636,646","-5,194,548","-7,350,828","-6,019,529","-507,663",Financials in CAD,Fiscal year is October - September
Net Income to Common,"-5,636,646","-5,194,548","-7,350,828","-6,019,529","-507,663",Financials in CAD,Fiscal year is October - September
Shares Outstanding (Basic),"92,507,809","86,983,020","77,939,707","51,922,761","13,650,795",Financials in CAD,Fiscal year is October - September
Shares Outstanding (Diluted),"92,507,809","86,983,020","77,939,707","51,922,761","13,650,795",Financials in CAD,Fiscal year is October - September
Shares Change (YoY),7.105%,11.603%,50.107%,280.364%,-,Financials in CAD,Fiscal year is October - September
EPS (Basic),-0.061,-0.060,-0.094,-0.116,-0.037,Financials in CAD,Fiscal year is October - September
EPS (Diluted),-0.061,-0.060,-0.094,-0.116,-0.037,Financials in CAD,Fiscal year is October - September
Free Cash Flow,"-4,950,778","-4,405,768","-11,730,827","-10,958,922","-2,686,911",Financials in CAD,Fiscal year is October - September
Free Cash Flow Per Share,-0.054,-0.051,-0.151,-0.211,-0.197,Financials in CAD,Fiscal year is October - September
Gross Margin,-69.237%,-86.719%,-167.548%,-,-,Financials in CAD,Fiscal year is October - September
Operating Margin,-1467.925%,-2821.947%,-8583.280%,-,-,Financials in CAD,Fiscal year is October - September
Profit Margin,-1601.702%,-2868.537%,-9106.914%,-,-,Financials in CAD,Fiscal year is October - September
Free Cash Flow Margin,-1406.807%,-2432.957%,-14533.279%,-,-,Financials in CAD,Fiscal year is October - September
EBITDA,"-4,557,002","-4,444,396","-6,732,212","-5,350,110","-499,695",Financials in CAD,Fiscal year is October - September
D&A For EBITDA,"608,862","665,783","195,954",3,3,Financials in CAD,Fiscal year is October - September
EBIT,"-5,165,864","-5,110,179","-6,928,166","-5,350,113","-499,698",Financials in CAD,Fiscal year is October - September
Advertising Expenses,-,"237,699","532,665","257,940",-,Financials in CAD,Fiscal year is October - September
