Fiscal Quarter,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2014,Q4 2013,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013",,
Revenue,"1,107,000","1,753,000","2,628,000","6,652,000","8,973,000","7,514,000","2,892,000","3,014,000","2,178,000","3,101,000","2,199,000","383,000","18,860,000",-,"37,000","1,176,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-87.663%,-76.670%,-9.129%,120.703%,311.983%,142.309%,31.514%,686.945%,-88.452%,-,5843.243%,-67.432%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"498,000","1,237,000","14,243,000","3,616,000","4,786,000","4,913,000","2,399,000","2,763,000","2,005,000","2,816,000","1,706,000","294,000","405,000","9,000","1,178,000","493,000",Financials in USD,Fiscal year is January - December
Gross Profit,"609,000","516,000","-11,615,000","3,036,000","4,187,000","2,601,000","493,000","251,000","173,000","285,000","493,000","89,000","18,455,000","-9,000","-1,141,000","683,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,456,000","8,287,000","11,947,000","17,032,000","32,450,000","37,706,000","20,399,000","24,725,000","13,972,000","11,945,000","10,713,000","6,995,000","5,781,000","5,381,000","2,160,000","652,000",Financials in USD,Fiscal year is January - December
Research & Development,"2,582,000","3,637,000","2,315,000","3,365,000","5,523,000","7,410,000","-339,000","3,238,000","5,592,000","4,376,000","5,161,000","2,775,000","2,906,000","5,273,000",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"10,605,000","12,491,000","14,829,000","20,964,000","38,539,000","45,683,000","20,627,000","28,530,000","20,130,000","16,888,000","16,441,000","10,337,000","9,253,000","11,221,000","2,160,000","652,000",Financials in USD,Fiscal year is January - December
Operating Income,"-9,996,000","-11,975,000","-26,444,000","-17,928,000","-34,352,000","-43,082,000","-20,134,000","-28,279,000","-19,957,000","-16,603,000","-15,948,000","-10,248,000","9,202,000","-11,230,000","-3,301,000","31,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-565,000","-891,000","-506,000","-164,000","-186,000","-135,000","-415,000","-361,000","-227,000","-361,000","-298,000","-15,000","-59,000","-60,000","-298,000",-,Financials in USD,Fiscal year is January - December
