Fiscal Quarter,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Currency,Fiscal_Year_period
Period Ending,"Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Dec '10 Dec 31, 2010","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010",,
Revenue,"4,452","31,520",484,"2,442","1,531",425,"2,531","6,817",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),190.790%,7316.471%,-80.877%,-64.178%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,040","1,109","2,590","2,983","2,128","1,331","2,517","2,383",Financials in USD,Fiscal year is January - December
Gross Profit,"2,412","30,411","-2,106",-541,-597,-906,14,"4,434",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,410","3,353","6,670","10,135","15,750","3,992","7,300","25,443",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,"1,250",Financials in USD,Fiscal year is January - December
Other Operating Expenses,128,60,19,110,64,18,87,18,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,538","3,413","6,689","10,245","15,814","4,010","7,387","26,711",Financials in USD,Fiscal year is January - December
Operating Income,874,"26,998","-8,795","-10,786","-16,411","-4,916","-7,373","-22,277",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-158,-271,"-1,402",-391,-422,-117,-65,-695,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,716,"26,727","-10,197","-11,177","-16,833","-5,033","-7,438","-22,972",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"7,000","29,750","14,000",-,-,"22,004",Financials in USD,Fiscal year is January - December
Pretax Income,716,"26,727","-3,197","18,573","-2,833","-5,033","-7,438",-968,Financials in USD,Fiscal year is January - December
Net Income,716,"26,727","-3,197","18,573","-2,833","-5,033","-7,438",-968,Financials in USD,Fiscal year is January - December
Net Income to Common,716,"26,727","-3,197","18,573","-2,833","-5,033","-7,438",-968,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,146,432","26,146,432","26,126,432","24,240,932","23,756,432","23,756,432","23,756,432","23,756,432",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,146,432","26,146,432","26,126,432","24,240,932","23,756,432","23,756,432","23,756,432","23,756,432",Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.060%,10.060%,9.976%,2.039%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.000,0.001,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.000,0.001,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,-,-,-,"-13,442","-8,407",-968,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-,-,-,-0.001,-0.000,-0.000,Financials in USD,Fiscal year is January - December
Gross Margin,54.178%,96.481%,-,-22.154%,-38.994%,-213.176%,0.553%,65.043%,Financials in USD,Fiscal year is January - December
Operating Margin,19.632%,85.654%,-1817.149%,-441.687%,-1071.914%,-1156.706%,-291.308%,-326.786%,Financials in USD,Fiscal year is January - December
Profit Margin,16.083%,84.794%,-660.537%,760.565%,-185.042%,-1184.235%,-293.876%,-14.200%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-3162.824%,-332.161%,-14.200%,Financials in USD,Fiscal year is January - December
EBIT,874,"26,998","-8,795","-10,786","-16,411","-4,916","-7,373","-22,277",Financials in USD,Fiscal year is January - December
EBIT Margin,19.632%,85.653%,-,-,-,-,-291.308%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,"4,452","31,520","7,484","32,192","15,407",443,"2,618","28,840",Financials in USD,Fiscal year is January - December
