Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+9 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+9 Quarters,,
Operating Revenue,"4,859,000","3,789,000","2,138,000","1,697,000","1,786,000","1,728,000","1,885,000","1,853,000","1,341,000",-,-,-,-,"673,000","5,683,000","2,655,000","1,295,000","1,488,000","3,634,000","785,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,"171,000","170,000","1,411,000","1,372,000","1,370,000","1,387,000","1,386,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"4,859,000","3,789,000","2,138,000","1,697,000","1,786,000","1,728,000","1,885,000","1,853,000","1,341,000",-,-,-,-,"844,000","5,853,000","4,066,000","2,667,000","2,858,000","5,021,000","2,171,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),172.060%,119.271%,13.422%,-8.419%,33.184%,-,-,-,-,-,-,-,-,-70.469%,16.570%,87.287%,24.568%,-,-40.069%,-90.672%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,019,000","5,354,000","1,525,000","1,646,000","1,393,000","1,516,000","1,102,000","964,000","819,000",-,-,-,-,"1,700,000","6,200,000","45,756,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-1,160,000","-1,565,000","613,000","51,000","393,000","212,000","783,000","889,000","522,000",-,-,-,-,"-856,000","-347,000","-41,690,000","2,667,000","2,858,000","5,021,000","2,171,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,568,000","3,591,000","3,903,000","4,065,000","4,612,000","4,654,000","4,731,000","4,840,000","5,529,000","2,363,000","1,731,000","4,035,000","2,029,000","2,704,000","1,435,000","1,526,000","1,627,000","2,226,000","2,657,000","4,292,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,039,000","4,048,000","4,361,000","4,501,000","5,040,000","4,988,000","4,731,000","4,840,000","5,529,000","2,363,000","1,731,000","4,035,000","2,029,000","3,299,000","4,402,000","10,988,000","2,674,000","3,753,000","3,860,000","6,192,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-5,199,000","-5,613,000","-3,748,000","-4,450,000","-4,647,000","-4,776,000","-3,948,000","-3,951,000","-5,007,000","-2,363,000","-1,731,000","-4,035,000","-2,029,000","-4,155,000","-4,749,000","-52,678,000","-7,000","-895,000","1,161,000","-4,021,000",Upgrade,Financials in USD,Fiscal year is January - December
