Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"7,000,693","1,397,521","1,703,447",-,-,-,-,-,-,"31,778",Upgrade,Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),310.972%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Cost of Revenue,"2,180,023","532,357","794,386",-,-,-,-,-,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Gross Profit,"4,820,670","865,164","909,061",-,-,-,-,-,-,"31,778",Upgrade,Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","3,391,674","4,643,348","2,048,659","1,800,344","939,921","1,382,741","709,301","534,671","466,065","609,852",Upgrade,Financials in GBP,Fiscal year is January - December
Research & Development,"609,294","1,226,514","819,474","2,221,370","1,909,854","2,581,678","1,192,591","1,000,856","926,802","5,311,183",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Expenses,"4,000,968","5,869,862","2,868,133","4,021,714","2,849,775","3,964,419","1,901,892","1,535,527","1,392,867","5,921,035",Upgrade,Financials in GBP,Fiscal year is January - December
Operating Income,"819,702","-5,004,698","-1,959,072","-4,021,714","-2,849,775","-3,964,419","-1,901,892","-1,535,527","-1,392,867","-5,889,257",Upgrade,Financials in GBP,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-14,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"46,939","71,797",-,-,-,-,-,-,938,"8,888",Upgrade,Financials in GBP,Fiscal year is January - December
Pretax Income,"866,641","-4,932,901","-1,959,072","-4,021,714","-2,849,775","-3,964,419","-1,901,892","-1,535,541","-1,391,929","-5,880,369",Upgrade,Financials in GBP,Fiscal year is January - December
Income Tax Expense,"-135,000","-179,074","-200,000","-674,994","-350,000","-593,600","-315,000","-189,093","-330,000","-1,422,194",Upgrade,Financials in GBP,Fiscal year is January - December
Net Income,"1,001,641","-4,753,827","-1,759,072","-3,346,720","-2,499,775","-3,370,819","-1,586,892","-1,346,448","-1,061,929","-4,458,175",Upgrade,Financials in GBP,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-1,-,-,Upgrade,Financials in GBP,Fiscal year is January - December
Net Income to Common,"1,001,641","-4,753,827","-1,759,072","-3,346,720","-2,499,775","-3,370,819","-1,586,892","-1,346,447","-1,061,929","-4,458,175",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"301,503,380","300,850,653","288,974,155","287,670,037","287,286,073","287,501,764","254,590,594","245,647,868","241,794,738","204,660,309",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"317,436,756","300,850,653","288,974,155","287,670,037","287,286,073","287,501,764","254,590,594","245,647,868","241,794,738","204,660,309",Upgrade,Financials in GBP,Fiscal year is January - December
Shares Change (YoY),9.850%,4.582%,0.588%,0.059%,12.842%,17.038%,5.292%,20.027%,18.147%,43.205%,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Basic),0.003,-0.016,-0.006,-0.012,-0.009,-0.012,-0.006,-0.005,-0.004,-0.022,Upgrade,Financials in GBP,Fiscal year is January - December
EPS (Diluted),0.003,-0.016,-0.006,-0.012,-0.009,-0.012,-0.006,-0.005,-0.004,-0.022,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow,"-3,874,021","-341,592","-594,004","-2,797,887","-3,718,156","-2,414,431","-1,878,561","-1,596,471","-2,955,255","-3,125,180",Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow Per Share,-0.012,-0.001,-0.002,-0.010,-0.013,-0.008,-0.007,-0.006,-0.012,-0.015,Upgrade,Financials in GBP,Fiscal year is January - December
Operating Margin,11.709%,-358.113%,-115.006%,-,-,-,-,-,-,-18532.497%,Upgrade,Financials in GBP,Fiscal year is January - December
Profit Margin,14.308%,-340.161%,-103.265%,-,-,-,-,-,-,-14029.124%,Upgrade,Financials in GBP,Fiscal year is January - December
Free Cash Flow Margin,-55.338%,-24.443%,-34.871%,-,-,-,-,-,-,-9834.414%,Upgrade,Financials in GBP,Fiscal year is January - December
EBITDA,"879,113","-4,939,708","-1,893,790","-4,009,349","-2,837,406","-3,956,066","-1,890,437","-1,522,872","-1,380,514","-5,876,413",Upgrade,Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"59,411","64,990","65,282","12,365","12,369","8,353","11,455","12,655","12,353","12,844",Upgrade,Financials in GBP,Fiscal year is January - December
EBIT,"819,702","-5,004,698","-1,959,072","-4,021,714","-2,849,775","-3,964,419","-1,901,892","-1,535,527","-1,392,867","-5,889,257",Upgrade,Financials in GBP,Fiscal year is January - December
