Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"5,101,742","4,921,531","4,559,399","4,321,245","4,384,507","6,617,829",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),9.965%,7.943%,5.511%,-1.443%,-33.747%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,277,496","1,001,640","1,164,018","1,023,160","715,152","1,226,598",Financials in USD,Fiscal year is January - December
Gross Profit,"3,824,246","3,919,891","3,395,381","3,298,085","3,669,355","5,391,231",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,670,784","8,130,637","8,418,761","6,508,356","5,100,404","8,025,760",Financials in USD,Fiscal year is January - December
Research & Development,-,"13,800",-,-,750,936,Financials in USD,Fiscal year is January - December
Operating Expenses,"7,670,784","8,144,437","8,418,761","6,508,356","5,101,154","8,026,696",Financials in USD,Fiscal year is January - December
Operating Income,"-3,846,538","-4,224,546","-5,023,380","-3,210,271","-1,431,799","-2,635,465",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,611,372","-4,893,033","-4,097,843","-8,330,201","-158,741","-31,406",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-88,666","1,505,170","-3,215,343","4,429,363","-31,474","-84,653",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,546,576","-7,612,409","-12,336,566","-7,111,109","-1,622,014","-2,751,524",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"-105,709","-89,792",Financials in USD,Fiscal year is January - December
Other Unusual Items,"306,459","2,180,430","3,799,356",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,240,117","-5,431,979","-8,537,210","-7,111,109","-1,727,723","-2,841,316",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"95,618",-,-65,"28,637",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-5,240,117","-5,431,979","-8,632,828","-7,111,109","-1,727,658","-2,869,953",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"2,335","1,734","87,905","33,646","810,961","78,725",Financials in USD,Fiscal year is January - December
Net Income,"-5,237,782","-5,430,245","-8,544,923","-7,077,463","-916,697","-2,791,228",Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,237,782","-5,430,245","-8,544,923","-7,077,463","-916,697","-2,791,228",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"112,262,814","83,469,544","46,014,138","35,311,381","9,315,185","5,370,760",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"112,262,814","83,469,544","46,014,138","35,311,381","9,315,185","5,370,760",Financials in USD,Fiscal year is January - December
Shares Change (YoY),61.662%,81.400%,30.310%,279.073%,73.443%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.047,-0.065,-0.186,-0.200,-0.098,-0.520,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.049,-0.070,-0.190,-0.200,-0.098,-0.520,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-713,495","-2,036,012","-1,216,948","-1,914,093","-278,315","-1,012,155",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.006,-0.024,-0.026,-0.054,-0.030,-0.188,Financials in USD,Fiscal year is January - December
Gross Margin,74.960%,79.648%,74.470%,76.323%,83.689%,81.465%,Financials in USD,Fiscal year is January - December
Operating Margin,-75.397%,-85.838%,-110.176%,-74.290%,-32.656%,-39.824%,Financials in USD,Fiscal year is January - December
Profit Margin,-102.667%,-110.336%,-187.413%,-163.783%,-20.908%,-42.177%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-13.985%,-41.369%,-26.691%,-44.295%,-6.348%,-15.294%,Financials in USD,Fiscal year is January - December
EBITDA,"-3,346,324","-3,636,749","-3,118,452","-2,781,685","-1,001,519","-2,181,577",Financials in USD,Fiscal year is January - December
EBITDA Margin,-65.592%,-73.895%,-68.396%,-64.372%,-22.842%,-32.965%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"500,214","587,797","1,904,928","428,586","430,280","453,888",Financials in USD,Fiscal year is January - December
EBIT,"-3,846,538","-4,224,546","-5,023,380","-3,210,271","-1,431,799","-2,635,465",Financials in USD,Fiscal year is January - December
EBIT Margin,-75.397%,-85.838%,-110.176%,-74.290%,-32.656%,-39.824%,Financials in USD,Fiscal year is January - December
