Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Other Revenue,-,"1,645,114",-,"1,431,283","1,558,525",-,"1,411,945","50,000","803,026",-,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,-,"1,645,114",-,"1,431,283","1,558,525",-,"1,411,945","50,000","803,026",-,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-,14.940%,-,-,10.381%,-,75.828%,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,-,"1,645,114",-,"1,431,283","1,558,525",-,"1,411,945","50,000","803,026",-,Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","648,621","747,191","693,494","932,661","391,750","724,598","361,875","770,307","447,436","693,591",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"1,426,430","2,198,443","2,017,906","1,214,468","1,673,180","1,147,962","1,501,694","1,634,932","1,501,557","1,355,826",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"40,224","49,770","57,562","79,889","312,406","42,499","322,702","27,504","359,014","35,656",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"2,134,071","3,017,106","2,789,790","2,249,534","2,399,722","1,937,928","2,209,967","2,456,383","2,331,096","2,112,103",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-2,134,071","-1,371,992","-2,789,790","-818,251","-841,197","-1,937,928","-798,022","-2,406,383","-1,528,070","-2,112,103",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,-532,-554,"-1,768","-2,621","-2,809","-2,240",-,"-1,399","-2,187","-2,931",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"21,888","48,737","92,381","27,283","1,786","1,305","2,226","9,231","26,689","42,643",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-2,112,715","-1,323,809","-2,699,177","-793,589","-842,220","-1,938,863","-795,796","-2,398,551","-1,503,568","-2,072,391",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-2,112,715","-1,323,809","-2,699,177","-793,589","-842,220","-1,938,863","-795,796","-2,398,551","-1,503,568","-2,072,391",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-2,112,715","-1,323,809","-2,699,177","-793,589","-842,220","-1,938,863","-795,796","-2,398,551","-1,503,568","-2,072,391",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"902,274,931","902,065,199","900,620,764","741,063,148","701,932,713","701,932,713","701,932,713","701,932,713","701,671,680","606,655,546",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"902,274,931","902,065,199","900,620,764","741,063,148","701,932,713","701,932,713","701,932,713","701,932,713","701,671,680","606,655,546",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),0.184%,21.726%,28.306%,5.575%,-,-,0.037%,15.705%,17.926%,15.871%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.002,-0.001,-0.003,-0.001,-0.001,-0.003,-0.001,-0.003,-0.002,-0.003,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.002,-0.001,-0.003,-0.001,-0.001,-0.003,-0.001,-0.003,-0.002,-0.003,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-307,478","-3,261,088","-2,468,061","-821,974","-597,374","-1,838,674","-921,881","-2,491,439","-993,036","-2,088,786",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.000,-0.004,-0.003,-0.001,-0.001,-0.003,-0.001,-0.004,-0.001,-0.003,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-,-83.398%,-,-57.169%,-53.974%,-,-56.519%,-4812.766%,-190.289%,-,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-,-80.469%,-,-55.446%,-54.040%,-,-56.362%,-4797.102%,-187.238%,-,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-,-198.229%,-,-57.429%,-38.329%,-,-65.292%,-4982.878%,-123.662%,-,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-2,154,199","-1,350,290","-2,805,820","-795,735","-853,538","-1,915,059","-809,252","-2,382,743","-1,540,520","-2,085,073",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"-20,128","21,702","-16,030","22,516","-12,341","22,869","-11,230","23,640","-12,450","27,030",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-2,134,071","-1,371,992","-2,789,790","-818,251","-841,197","-1,937,928","-798,022","-2,406,383","-1,528,070","-2,112,103",Upgrade,Financials in AUD,Fiscal year is July - June
