Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+3 Quarters,,
Revenue,-,-,-,-,-,"73,900","379,560","324,677","460,216","450,456","376,168","464,504","649,892","19,500","1,016,776","1,848,454","2,742,442","2,431,721","1,324,240","1,002,321",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-83.594%,0.902%,-30.102%,-29.186%,2210.031%,-63.004%,-74.871%,-76.302%,-99.198%,-23.218%,84.417%,78.429%,-0.380%,-54.381%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,999,-,"30,097","86,505","151,251","138,786","216,018","198,649","158,878","161,252","70,011","376,816","513,703","550,139","492,145","559,319","387,441",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-999,-,"43,803","293,055","173,426","321,430","234,438","177,519","305,626","488,640","-50,511","639,960","1,334,751","2,192,303","1,939,576","764,921","614,880",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","395,038","375,533","379,456","787,332","489,380","674,264","857,130","661,930","1,386,345","1,285,749","1,580,687","1,869,997","1,200,254","1,655,280","2,599,106","2,137,121","5,407,516","6,950,337","4,156,055","2,015,372",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,407,"201,658","200,000","750,000","106,214",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"421,270","408,832","420,684","837,563","609,828","863,218","1,083,209","822,474","1,548,704","2,147,749","1,580,687","1,800,314","1,432,007","1,872,524","3,371,214","2,445,904","5,619,401","7,158,956","4,367,273","2,026,358",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-421,270","-408,832","-420,684","-838,562","-609,828","-819,415","-790,154","-649,048","-1,227,274","-1,913,311","-1,403,168","-1,494,688","-943,367","-1,923,035","-2,731,254","-1,111,153","-3,427,098","-5,219,380","-3,602,352","-1,411,478",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-99,587","-98,647","-150,213","-89,474","-91,186","-111,758","-72,352","-66,390","-50,516","-54,145",-,"-4,229","-1,039,349","-363,023","-56,149","-39,895","-80,092","-87,085","-92,259","-62,983",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,446,"1,495",-,"1,149","1,756","501,670",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"9,844","19,742",-199,"226,055","-334,238",-52,"-3,029,277","-31,580","-7,641","2,255","-4,506","-61,633","5,834,598","-5,356,563","177,516","-189,375","883,527","9,194",-205,"-17,920",Upgrade,Financials in USD,Fiscal year is January - December
