Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Cost of Revenue,-,-,-,"536,047",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"-536,047",-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,863,352","1,657,152","1,489,608","1,274,203","497,072","9,300",Financials in USD,Fiscal year is January - December
Research & Development,"895,116","798,165","657,657","734,014","419,362",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,758,468","2,455,317","2,147,265","2,008,217","916,434","9,300",Financials in USD,Fiscal year is January - December
Operating Income,"-2,758,468","-2,455,317","-2,147,265","-2,544,264","-916,434","-9,300",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,336,242","-2,043,584","-782,552","-460,355","-343,156",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,346,409","-4,498,901","-2,929,817","-3,004,619","-1,259,590","-9,300",Financials in USD,Fiscal year is January - December
Other Unusual Items,"352,965","352,965",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,993,444","-4,145,936","-2,929,817","-3,004,619","-1,259,590","-9,300",Financials in USD,Fiscal year is January - December
Net Income,"-3,993,444","-4,145,936","-2,929,817","-3,004,619","-1,259,590","-9,300",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,993,444","-4,145,936","-2,929,817","-3,004,619","-1,259,590","-9,300",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,246,699","1,100,372","934,915","909,915","183,782","12,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,246,699","1,100,372","934,915","909,915","183,782","12,500",Financials in USD,Fiscal year is January - December
Shares Change (YoY),21.783%,17.698%,2.748%,395.106%,1370.256%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.203,-3.768,-3.134,-3.302,-6.854,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.203,-3.770,-3.134,-3.302,-6.854,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-710,112","-1,383,210","-1,831,102","-1,803,446","-829,809",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.570,-1.257,-1.959,-1.982,-4.515,-,Financials in USD,Fiscal year is January - December
EBITDA,"-2,750,510","-2,446,461","-2,136,811","-2,525,113","-905,134",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,958","8,856","10,454","19,151","11,300",-,Financials in USD,Fiscal year is January - December
EBIT,"-2,758,468","-2,455,317","-2,147,265","-2,544,264","-916,434","-9,300",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,392,457,-,705,-,Financials in USD,Fiscal year is January - December
