Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"8,006,000","8,006,000","6,943,000","404,000","1,822,000","7,917,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),15.310%,15.310%,1618.564%,-77.827%,-76.986%,-27.287%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,182,000","3,182,000","14,043,000","28,231,000","11,216,000","20,214,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,824,000","4,824,000","-7,100,000","-27,827,000","-9,394,000","-12,297,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,184,000","11,184,000","14,434,000","12,417,000","11,582,000","11,730,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,184,000","11,184,000","14,434,000","12,417,000","11,582,000","11,730,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,360,000","-6,360,000","-21,534,000","-40,244,000","-20,976,000","-24,027,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,000","-5,000","-9,000","-69,000",-,"-2,096,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"63,000","157,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"671,000","671,000","441,000","402,000",-,"212,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,694,000","-5,694,000","-21,102,000","-39,911,000","-20,913,000","-25,754,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-441,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"437,000",-,"2,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,694,000","-5,694,000","-21,102,000","-39,474,000","-20,913,000","-23,877,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,694,000","-5,694,000","-21,102,000","-39,474,000","-20,913,000","-23,877,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"-10,274,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,694,000","-5,694,000","-21,102,000","-39,474,000","-20,913,000","-13,603,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,394,551","5,394,551","2,808,075","1,784,791","544,759","67,178",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,394,551","5,394,551","2,808,075","1,784,791","544,759","67,178",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),92.109%,92.109%,57.334%,227.629%,710.919%,415.011%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.056,-1.056,-7.515,-22.117,-38.389,-202.492,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.056,-1.056,-7.515,-22.117,-38.389,-202.492,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-4,343,000","-4,343,000","-19,382,000","-36,184,000","-20,057,000","-35,988,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.805,-0.805,-6.902,-20.274,-36.818,-535.711,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,60.255%,60.255%,-102.261%,-,-,-155.324%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-79.440%,-79.440%,-310.154%,-9961.386%,-1151.262%,-303.486%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-71.122%,-71.122%,-303.932%,-9770.792%,-1147.805%,-171.820%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-54.247%,-54.247%,-279.159%,-8956.436%,-1100.823%,-454.566%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,319,000","-6,319,000","-21,504,000","-40,222,000","-20,966,000","-23,999,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-78.928%,-78.928%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"41,000","41,000","30,000","22,000","10,000","28,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,360,000","-6,360,000","-21,534,000","-40,244,000","-20,976,000","-24,027,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-79.440%,-79.440%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"8,006,000","8,006,000","6,943,000","404,000","1,822,000","7,917,000",Upgrade,Financials in USD,Fiscal year is January - December
