Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"26,303,000","27,283,000","25,962,000","25,211,000","30,326,000","31,555,000","28,633,000","28,731,000","27,686,000","23,046,000","20,263,000","21,270,000","17,901,000","17,267,000","17,639,000","24,256,000","17,768,000","19,997,000","21,128,542","16,204,000",Upgrade,Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),-13.266%,-13.538%,-9.328%,-12.252%,9.536%,36.922%,41.307%,35.078%,54.662%,33.468%,14.876%,-12.310%,0.749%,-13.652%,-16.516%,49.691%,8.361%,23.997%,65.779%,12.364%,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,"10,658,000","11,097,000","11,268,000","11,131,000","12,657,000","12,929,000","12,197,000","11,373,000","10,103,000","8,657,000","8,721,000","8,362,000","7,050,000","8,894,000","7,434,000","10,222,000","6,752,000","7,775,000","8,918,729","6,060,000",Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,"15,645,000","16,186,000","14,694,000","14,080,000","17,669,000","18,626,000","16,436,000","17,358,000","17,583,000","14,389,000","11,542,000","12,908,000","10,851,000","8,373,000","10,205,000","14,034,000","11,016,000","12,222,000","12,209,813","10,144,000",Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","9,688,000","10,349,000","10,367,000","10,692,000","11,911,000","11,899,000","11,389,000","11,878,000","12,861,000","12,125,000","9,892,000","10,679,000","11,736,000","11,725,000","10,252,000","9,379,000","8,274,000","8,267,000","9,182,192","9,369,000",Upgrade,Financials in USD,Fiscal year is April - March
Research & Development,"281,000","97,000","53,000","372,000","741,000","441,000","733,000","693,000","856,000","661,000","834,000","1,035,000","1,773,000","2,231,000","2,016,000","1,155,000","780,000","645,000","431,338","442,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"11,545,000","11,856,000","11,869,000","12,512,000","14,115,000","13,786,000","13,609,000","14,086,000","15,254,000","14,328,000","12,243,000","13,214,000","15,058,000","15,535,000","13,792,000","12,042,000","10,534,000","10,378,000","10,916,492","11,146,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"4,100,000","4,330,000","2,825,000","1,568,000","3,554,000","4,840,000","2,827,000","3,272,000","2,329,000","61,000","-701,000","-306,000","-4,207,000","-7,162,000","-3,587,000","1,992,000","482,000","1,844,000","1,293,321","-1,002,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-2,163,000","-2,031,000","-2,224,000","-2,656,000","-4,229,000","-4,255,000","-3,612,000","-3,552,000","-3,293,000","-3,149,000","-3,107,000","-3,160,000","-3,072,000","-2,884,000","-2,547,000","-2,500,000","-2,440,000","-2,329,000","-2,267,865","-2,312,000",Upgrade,Financials in USD,Fiscal year is April - March
