Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,"313,000","310,000","8,000","285,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),3812.500%,3775.000%,-97.193%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"197,000","197,000",-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"116,000","113,000","8,000","285,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","9,526,000","10,064,000","5,156,000","5,727,000",Financials in USD,Fiscal year is January - December
Research & Development,"5,960,000","4,706,000","7,776,000","11,472,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"15,486,000","14,770,000","12,932,000","17,199,000",Financials in USD,Fiscal year is January - December
Operating Income,"-15,370,000","-14,657,000","-12,924,000","-16,914,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"4,828,000","3,393,000","-2,521,000","862,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,542,000","-11,264,000","-15,445,000","-16,052,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"1,038,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-10,542,000","-11,264,000","-14,407,000","-16,052,000",Financials in USD,Fiscal year is January - December
Net Income,"-10,542,000","-11,264,000","-14,407,000","-16,052,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-10,542,000","-11,264,000","-14,407,000","-16,052,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"7,435,173","3,302,818","655,665","5,651,101",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"7,435,173","3,302,818","655,665","5,651,101",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-51.812%,403.736%,-88.398%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.418,-3.410,-21.973,-2.841,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.418,-3.410,-21.973,-2.841,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,203,000","-13,781,000","-11,683,000","-15,494,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.045,-4.172,-17.819,-2.742,Financials in USD,Fiscal year is January - December
Gross Margin,37.061%,36.452%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-4910.543%,-4728.065%,-161550.000%,-5934.737%,Financials in USD,Fiscal year is January - December
Profit Margin,-3368.051%,-3633.548%,-180087.500%,-5632.281%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-4857.188%,-4445.484%,-146037.500%,-5436.491%,Financials in USD,Fiscal year is January - December
EBITDA,"-15,116,000","-14,400,000","-12,601,000","-16,588,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"254,000","257,000","323,000","326,000",Financials in USD,Fiscal year is January - December
EBIT,"-15,370,000","-14,657,000","-12,924,000","-16,914,000",Financials in USD,Fiscal year is January - December
