Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"40,229","54,723","224,172","76,949","812,925","727,699","572,813","90,503",-,-,Financials in AUD,Fiscal year is July - June
Revenue,"40,229","54,723","224,172","76,949","812,925","727,699","572,813","90,503",-,-,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-82.054%,-28.884%,-72.424%,-89.426%,41.918%,704.061%,-,-,-,-,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"202,884","126,002","232,233","396,842","304,779","634,275","228,222",-,-,-,Financials in AUD,Fiscal year is July - June
Gross Profit,"-162,655","-71,279","-8,061","-319,893","508,146","93,424","344,591","90,503",-,-,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","958,661","1,370,951","3,250,744","2,642,551","4,095,177","3,295,242","3,186,531","2,661,226","1,856,823","1,280,206",Financials in AUD,Fiscal year is July - June
Research & Development,"1,566,563","1,243,637","-73,139","1,409,567","633,291","763,403","515,997","1,565,088","2,101,698","1,589,960",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"-21,397","30,907","-16,977","133,806","-3,406","233,922","9,812","98,492","-154,910","253,185",Financials in AUD,Fiscal year is July - June
Operating Expenses,"2,513,157","3,150,978","2,242,878","4,593,348","8,333,458","5,474,416","4,745,655","5,069,368","4,440,948","3,300,042",Financials in AUD,Fiscal year is July - June
Operating Income,"-2,675,812","-3,222,257","-2,250,939","-4,913,241","-7,825,312","-5,380,992","-4,401,064","-4,978,865","-4,440,948","-3,300,042",Financials in AUD,Fiscal year is July - June
Interest Expense,"-528,137","-211,135",-,"-251,618","-26,457","-27,391","-20,857","-21,770","-16,953",-,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,309,-,"175,091",-,"10,594",1,266,457,-,"13,210",Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"786,500","-142,144","1,027,260",72,"1,041,341","-138,255","-208,518","1,256,356","-13,436","849,409",Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-2,417,140","-3,575,536","-1,048,588","-5,164,787","-6,799,834","-5,546,637","-4,630,173","-3,743,822","-4,471,337","-2,437,423",Financials in AUD,Fiscal year is July - June
Impairment of Goodwill,-,"-30,747,083","-1,500,000","1,500,000",-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,"-55,357",-,-264,"-66,783","-324,280","149,196","31,451","-137,736",Financials in AUD,Fiscal year is July - June
Pretax Income,"-2,417,140","-34,322,619","-2,603,945","-3,664,787","-6,800,098","-5,613,420","-4,954,453","-3,594,626","-4,439,886","-2,575,159",Financials in AUD,Fiscal year is July - June
Earnings From Continuing Operations,"-2,417,140","-34,322,619","-2,603,945","-3,664,787","-6,800,098","-5,613,420","-4,954,453","-3,594,626","-4,439,886","-2,575,159",Financials in AUD,Fiscal year is July - June
Minority Interest in Earnings,"-16,916","187,771","308,306","387,419","121,248","346,967",-,-,-,-,Financials in AUD,Fiscal year is July - June
Net Income,"-2,434,056","-34,134,848","-2,295,639","-3,277,368","-6,678,850","-5,266,453","-4,954,453","-3,594,626","-4,439,886","-2,575,159",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-2,434,056","-34,134,848","-2,295,639","-3,277,368","-6,678,850","-5,266,453","-4,954,453","-3,594,626","-4,439,886","-2,575,159",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"11,347,155","11,347,155","10,559,390","9,577,116","9,120,717","6,964,147","7,041,596","6,224,460","5,367,600","4,327,998",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"11,347,155","11,347,155","10,559,390","9,577,116","9,120,717","6,964,147","7,041,596","6,224,460","5,368,674","4,327,998",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),7.460%,18.482%,15.774%,37.520%,29.526%,11.884%,31.161%,43.818%,25.932%,-0.876%,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.215,-3.008,-0.217,-0.342,-0.732,-0.756,-0.704,-0.578,-0.827,-0.595,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.215,-3.008,-0.217,-0.342,-0.732,-0.756,-0.704,-0.578,-0.832,-0.595,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-2,656,240","-1,732,350","-3,644,487","-3,604,591","-4,801,904","-4,625,320","-3,976,160","-4,640,424","-3,839,049","-3,113,194",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.234,-0.153,-0.345,-0.376,-0.526,-0.664,-0.565,-0.746,-0.715,-0.719,Financials in AUD,Fiscal year is July - June
Operating Margin,-6651.450%,-5888.305%,-1004.112%,-6385.062%,-962.612%,-739.453%,-768.325%,-5501.326%,-,-,Financials in AUD,Fiscal year is July - June
Profit Margin,-6050.501%,-62377.516%,-1024.053%,-4259.143%,-821.583%,-723.713%,-864.934%,-3971.831%,-,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-6602.799%,-3165.671%,-1625.755%,-4684.390%,-590.695%,-635.609%,-694.146%,-5127.370%,-,-,Financials in AUD,Fiscal year is July - June
EBITDA,"-2,535,365","-3,008,304","-2,130,278","-4,609,876","-7,674,467","-5,058,271","-4,277,762","-4,737,963","-7,509,925",-,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"140,447","213,953","120,661","303,365","150,845","322,721","123,302","240,902",-,-,Financials in AUD,Fiscal year is July - June
EBIT,"-2,675,812","-3,222,257","-2,250,939","-4,913,241","-7,825,312","-5,380,992","-4,401,064","-4,978,865","-4,440,948","-3,300,042",Financials in AUD,Fiscal year is July - June
