Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters,,
Operating Revenue,"94,032","91,179","13,808","74,688","39,452","38,230","51,938","-53,776","2,744","155,680",-,-,"195,535",-,136,"5,474",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue,"94,032","91,179","13,808","74,688","39,452","38,230","51,938","-53,776","2,744","155,680",-,-,"195,535",-,136,"5,474",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),138.345%,138.501%,-73.414%,-,1337.755%,-75.443%,-,-,-98.597%,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"11,921","8,525",177,32,190,"7,998","27,500","37,086",360,"1,551,007",-,269,"143,905",-,144,"3,369",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"82,111","82,654","13,631","74,656","39,262","30,232","24,438","-90,862","2,384","-1,395,327",-,-269,"51,630",-,-8,"2,105",-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","216,373","236,521","88,569","232,238","150,996","125,339","152,659","1,944,472","649,641","358,113","298,066","160,415","98,689","34,639","1,174","34,635","1,482","9,986","2,153","8,844",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"216,373","236,521","88,569","232,238","150,996","125,339","152,659","1,944,472","649,641","358,113","298,066","160,415","98,689","34,639","1,174","34,635","1,482","9,986","2,153","8,844",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"-134,262","-153,867","-74,938","-157,582","-111,734","-95,107","-128,221","-2,035,334","-647,257","-1,753,440","-298,066","-160,684","-47,059","-34,639","-1,182","-32,530","-1,482","-9,986","-2,153","-8,844",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-94,267","-95,486","-82,049","-85,246","-101,919","-68,001","-64,539","-54,774","-55,283","-47,618","-33,241","-14,769","-2,156","-1,629","-1,489","-1,334","-1,259","-1,176","-1,196","-4,494",Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,-,-,-,26,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,"-5,450",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Other Non Operating Income (Expenses),22,8,7,-16,6,"34,987",6,"-92,972","93,010",-,35,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"-228,507","-249,345","-156,980","-242,818","-213,647","-128,121","-192,754","-2,183,075","-609,530","-1,801,058","-331,272","-180,903","-49,215","-36,268","-2,671","-33,864","-2,741","-11,162","-3,349","-13,338",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"-228,507","-249,345","-156,980","-242,818","-213,647","-128,121","-192,754","-2,183,075","-609,530","-1,801,058","-331,272","-180,903","-49,215","-36,268","-2,671","-33,864","-2,741","-11,162","-3,349","-13,338",Upgrade,Financials in USD,Fiscal year is July - June
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800,-,Upgrade,Financials in USD,Fiscal year is July - June
Earnings From Continuing Operations,"-228,507","-249,345","-156,980","-242,818","-213,647","-128,121","-192,754","-2,183,075","-609,530","-1,801,058","-331,272","-180,903","-49,215","-36,268","-2,671","-33,864","-2,741","-11,162","-4,149","-13,338",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Company,"-228,507","-249,345","-156,980","-242,818","-213,647","-128,121","-192,754","-2,183,075","-609,530","-1,801,058","-331,272","-180,903","-49,215","-36,268","-2,671","-33,864","-2,741","-11,162","-4,149","-13,338",Upgrade,Financials in USD,Fiscal year is July - June
Minority Interest in Earnings,"1,957","1,648",603,"1,032",918,"3,552","10,418","58,783",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"-226,550","-247,697","-156,377","-241,786","-212,729","-124,569","-182,336","-2,124,292","-609,530","-1,801,058","-331,272","-180,903","-49,215","-36,268","-2,671","-33,864","-2,741","-11,162","-4,149","-13,338",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"-226,550","-247,697","-156,377","-241,786","-212,729","-124,569","-182,336","-2,124,292","-609,530","-1,801,058","-331,272","-180,903","-49,215","-36,268","-2,671","-33,864","-2,741","-11,162","-4,149","-13,338",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"21,173,184,947","21,111,461,611","21,093,818,148","21,102,247,292","21,090,938,148","21,090,218,148","21,090,218,148","21,139,705,507","21,089,355,704","21,073,788,938","21,070,866,399","20,990,605,098","20,292,390,328","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"21,173,184,947","21,111,461,611","21,093,818,148","21,102,247,292","21,090,938,148","21,090,218,148","21,090,218,148","21,139,705,507","21,089,355,704","21,073,788,938","21,070,866,399","20,990,605,098","20,292,390,328","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836","20,236,021,836",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),0.390%,0.101%,0.017%,-0.177%,0.008%,0.078%,0.092%,0.710%,3.927%,4.140%,4.126%,3.729%,0.279%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-,-0.000,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-,-0.000,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"103,918","-304,277","-120,808","-141,114","-202,285","-116,814","-143,244","-160,925","-707,122","-156,715","-471,947","-244,887","-94,180",-595,"-2,250","-22,451","-1,749","-12,552","-2,807","-1,029",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is July - June
Gross Margin,87.322%,90.650%,98.718%,99.957%,99.518%,79.079%,47.052%,-,86.880%,-,-,-,26.404%,-,-5.882%,38.455%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,-142.783%,-168.753%,-542.714%,-210.987%,-283.215%,-248.776%,-246.873%,-,-23588.083%,-1126.310%,-,-,-24.067%,-,-869.118%,-594.264%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,-240.929%,-271.660%,-1132.510%,-323.728%,-539.210%,-325.841%,-351.065%,-,-22213.192%,-1156.897%,-,-,-25.169%,-,-1963.971%,-618.634%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,110.513%,-333.714%,-874.913%,-188.938%,-512.737%,-305.556%,-275.798%,-,-25769.752%,-100.665%,-,-,-48.165%,-,-1654.412%,-410.139%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"-130,564","-150,170","-71,241","-153,885","-108,037","-93,631","-126,745","-2,033,858",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA Margin,-138.851%,-164.698%,-,-206.037%,-273.844%,-244.915%,-244.031%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"3,698","3,697","3,697","3,697","3,697","1,476","1,476","1,476",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"-134,262","-153,867","-74,938","-157,582","-111,734","-95,107","-128,221","-2,035,334","-647,257","-1,753,440","-298,066","-160,684","-47,059","-34,639","-1,182","-32,530","-1,482","-9,986","-2,153","-8,844",Upgrade,Financials in USD,Fiscal year is July - June
EBIT Margin,-142.783%,-168.753%,-,-210.987%,-283.215%,-248.776%,-246.873%,-,-,-,-,-,-24.067%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
