Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"26,000",-,"26,000","701,000","52,000","207,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"26,000",-,"26,000","701,000","52,000","207,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0%,-,-96.291%,1248.077%,-74.879%,-97.008%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"26,000",-,"26,000","701,000","52,000","207,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,244,000","1,044,000","1,058,000","1,170,000","1,357,000","1,180,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,244,000","1,044,000","1,058,000","1,170,000","1,357,000","1,180,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,218,000","-1,044,000","-1,032,000","-469,000","-1,305,000","-973,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,545,000","2,261,000","646,000","7,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"1,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"1,327,000","1,217,000","-386,000","-462,000","-1,304,000","-973,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"1,327,000","1,217,000","-386,000","-462,000","-1,304,000","-973,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-195,000","-156,000","-200,000","7,000","7,000","6,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"1,522,000","1,373,000","-186,000","-469,000","-1,311,000","-979,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,275,000","1,275,000","1,275,000","2,023,000","460,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"247,000","98,000","-1,461,000","-2,492,000","-1,771,000","-979,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,47.195%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"74,215,000","74,215,000","74,215,000","74,215,000","51,100,000","44,215,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"74,215,000","74,215,000","74,215,000","74,215,000","51,100,000","44,215,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-,-,45.235%,15.572%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.003,0.001,-0.020,-0.034,-0.035,-0.022,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.001,0.001,-0.020,-0.034,-0.035,-0.022,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"1,351,000","1,305,000","-659,000","-501,000","-380,000","6,905,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.018,0.018,-0.009,-0.007,-0.007,0.156,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,-,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-4684.615%,-,-3969.231%,-66.904%,-2509.615%,-470.048%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,950.000%,-,-5619.231%,-355.492%,-3405.769%,-472.947%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,5196.154%,-,-2534.615%,-71.469%,-730.769%,3335.749%,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,218,000","-1,044,000","-1,032,000","-469,000","-1,305,000","-973,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-66.904%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"26,000",-,"26,000","701,000","52,000","207,000",Upgrade,Financials in USD,Fiscal year is January - December
