Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"265,809","288,272","235,449","138,747","65,978",-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-6.949%,22.435%,69.697%,110.293%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"132,446","204,047","253,169","384,200","3,579",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"133,363","84,225","-17,720","-245,453","62,399",-,Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","1,124,076","1,290,012","1,360,839","670,368","2,552,981","5,485,144",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"1,257,803","1,460,539","1,622,866","1,543,755","4,187,037","6,798,847",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-1,124,440","-1,376,314","-1,640,586","-1,789,208","-4,124,638","-6,798,847",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,-,"-263,839","-360,077","-269,417","-119,688",-,Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"119,594","147,089","-123,113","-169,947","-41,064","12,887",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"36,249","20,850","509,528","384,484","-654,717","-1,347",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-958,621","-1,472,214","-1,614,248","-1,844,088","-4,940,107","-6,787,307",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-572,156",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-1,297","17,476","16,994",-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,"-180,636","-180,636",-,"-2,816,362",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,"129,378","85,594",-,"-4,000,569",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-1,140,554","-1,635,374","-1,467,876","-5,147,012","-4,940,107","-10,787,876",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-1,140,554","-1,635,374","-1,467,876","-5,147,012","-4,940,107","-10,787,876",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-1,140,554","-1,635,374","-1,467,876","-5,147,012","-4,940,107","-10,787,876",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"354,836,378","219,299,378","168,886,872","148,504,538","123,931,339","108,918,229",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"354,836,378","219,299,378","168,886,872","148,504,538","123,931,339","108,918,229",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),69.162%,29.850%,13.725%,19.828%,13.784%,126.633%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.003,-0.007,-0.009,-0.035,-0.040,-0.099,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.003,-0.007,-0.009,-0.035,-0.040,-0.099,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-776,015","-1,354,893","-1,468,547","-1,689,800","-3,222,336","-8,816,762",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.002,-0.006,-0.009,-0.011,-0.026,-0.081,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,50.172%,29.217%,-7.526%,-176.907%,94.575%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-423.026%,-477.436%,-696.790%,-1289.547%,-6251.535%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-429.088%,-567.302%,-623.437%,-3709.638%,-7487.506%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-291.945%,-470.005%,-623.722%,-1217.900%,-4883.955%,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-1,013,371","-1,228,445","-1,348,973","-1,084,832","-3,571,027","-6,533,099",Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"111,069","147,869","291,613","704,376","553,611","265,748",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-1,124,440","-1,376,314","-1,640,586","-1,789,208","-4,124,638","-6,798,847",Upgrade,Financials in CAD,Fiscal year is January - December
