Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","May '24 May 31, 2024","Feb '24 Feb 29, 2024","Nov '23 Nov 30, 2023","Aug '23 Aug 31, 2023","May '23 May 31, 2023","Feb '23 Feb 28, 2023","Nov '22 Nov 30, 2022","Aug '22 Aug 31, 2022","May '22 May 31, 2022","Feb '22 Feb 28, 2022","Nov '21 Nov 30, 2021","Aug '21 Aug 31, 2021","May '21 May 31, 2021","Feb '21 Feb 28, 2021","Nov '20 Nov 30, 2020","Aug '20 Aug 31, 2020","May '20 May 31, 2020",,
Revenue,"36,499","6,306","-473,249","74,939","262,213","197,579","-512,573","161,728","295,247","324,837",-,98,53,-,534,-,-,-,Financials in CAD,Fiscal year is March - February
Revenue Growth (YoY),-86.080%,-96.808%,-,-53.664%,-11.189%,-39.176%,-,164928.571%,556969.811%,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Cost of Revenue,"44,586","156,448","-273,871","259,383","209,985","118,096","-559,414","208,452","257,568","534,340","1,083",48,2,-,261,-,-,-,Financials in CAD,Fiscal year is March - February
Gross Profit,"-8,087","-150,142","-199,378","-184,444","52,228","79,483","46,841","-46,724","37,679","-209,503","-1,083",50,51,-,273,-,-,-,Financials in CAD,Fiscal year is March - February
"Selling, General & Admin","117,014","130,465","266,006","133,575","215,215","192,052","210,449","144,731","181,957","140,671","165,655","102,523","48,846","30,063","-64,916","31,387","6,901",-,Financials in CAD,Fiscal year is March - February
Research & Development,-,-,-,-,-,-,-,-,-,754,-,"13,565","7,875",-,-,-,-,-,Financials in CAD,Fiscal year is March - February
Operating Expenses,"120,443","95,071","329,937","140,915","231,050","222,468","559,290","111,177","216,674","287,899","588,616","124,528","59,554","30,063","-64,916","31,387","6,901",-,Financials in CAD,Fiscal year is March - February
Operating Income,"-128,530","-245,213","-529,315","-325,359","-178,822","-142,985","-512,449","-157,901","-178,995","-497,402","-589,699","-124,478","-59,503","-30,063","65,189","-31,387","-6,901",-,Financials in CAD,Fiscal year is March - February
Interest Expense,"-4,590","-4,523","-4,409","-4,347","-3,532","-2,036","-1,952","-1,935","-1,918","-1,880","-1,803","-3,558",-,"-1,474","-1,119",-,-,-,Financials in CAD,Fiscal year is March - February
