Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2017,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Jul '23 Jul 31, 2023","Jul '22 Jul 31, 2022","Jul '21 Jul 31, 2021","Jul '20 Jul 31, 2020",2019 - 2017,,
Revenue,"17,297,813","17,954,677","22,222,453","11,668,969","6,866,305","4,428,831",Upgrade,Financials in CAD,Fiscal year is August - July
Revenue Growth (YoY),-24.193%,-19.205%,90.441%,69.945%,55.037%,-,Upgrade,Financials in CAD,Fiscal year is August - July
Cost of Revenue,"8,903,874","9,133,334","10,438,762","6,096,748","4,349,746","3,272,146",Upgrade,Financials in CAD,Fiscal year is August - July
Gross Profit,"8,393,939","8,821,343","11,783,691","5,572,221","2,516,559","1,156,685",Upgrade,Financials in CAD,Fiscal year is August - July
"Selling, General & Admin","7,394,979","7,308,316","6,713,071","4,174,276","4,021,475","2,905,695",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Expenses,"8,002,881","7,987,559","7,106,802","4,534,667","4,802,207","5,876,722",Upgrade,Financials in CAD,Fiscal year is August - July
Operating Income,"391,058","833,784","4,676,889","1,037,554","-2,285,648","-4,720,037",Upgrade,Financials in CAD,Fiscal year is August - July
Interest Expense,"-490,522","-509,846","-446,108","-492,635","-399,545","-323,560",Upgrade,Financials in CAD,Fiscal year is August - July
Other Non Operating Income (Expenses),"365,931","357,827","21,154","63,032","4,283","-347,483",Upgrade,Financials in CAD,Fiscal year is August - July
EBT Excluding Unusual Items,"266,467","681,765","4,251,935","607,951","-2,680,910","-5,391,080",Upgrade,Financials in CAD,Fiscal year is August - July
Other Unusual Items,-,-,"-127,398",-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Pretax Income,"266,467","681,765","4,563,722","607,951","-2,680,910","-5,391,080",Upgrade,Financials in CAD,Fiscal year is August - July
Income Tax Expense,"51,730","81,480","119,228",-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Earnings From Continuing Operations,"214,737","600,285","4,444,494","607,951","-2,680,910","-5,391,080",Upgrade,Financials in CAD,Fiscal year is August - July
Minority Interest in Earnings,-,-,-,381,"4,137","2,296",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income,"214,737","600,285","4,444,494","608,332","-2,676,773","-5,388,784",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income to Common,"214,737","600,285","4,444,494","608,332","-2,676,773","-5,388,784",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income Growth,-95.176%,-86.494%,630.603%,-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Basic),"138,269,552","138,275,055","137,217,339","136,747,550","135,220,903","124,944,727",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Diluted),"138,269,552","138,275,055","137,217,339","136,747,550","135,220,903","124,944,727",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Change (YoY),0.322%,0.771%,0.344%,1.129%,8.225%,30.838%,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Basic),0.002,0.004,0.032,0.004,-0.020,-0.043,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Diluted),0.002,0.004,0.032,0.004,-0.020,-0.043,Upgrade,Financials in CAD,Fiscal year is August - July
EPS Growth,-94.338%,-86.598%,628.192%,-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow,"-2,260,058","-594,478","4,567,317","-292,540","-1,958,987","-8,583,738",Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow Per Share,-0.016,-0.004,0.033,-0.002,-0.014,-0.069,Upgrade,Financials in CAD,Fiscal year is August - July
Gross Margin,48.526%,49.131%,53.026%,47.752%,36.651%,26.117%,Upgrade,Financials in CAD,Fiscal year is August - July
Operating Margin,2.261%,4.644%,21.046%,8.892%,-33.288%,-106.575%,Upgrade,Financials in CAD,Fiscal year is August - July
Profit Margin,1.241%,3.343%,20.000%,5.213%,-38.984%,-121.675%,Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow Margin,-13.066%,-3.311%,20.553%,-2.507%,-28.530%,-193.815%,Upgrade,Financials in CAD,Fiscal year is August - July
EBITDA,"746,253","1,301,687","5,132,666","1,435,018","-1,896,240","-4,438,318",Upgrade,Financials in CAD,Fiscal year is August - July
EBITDA Margin,4.314%,7.250%,23.097%,12.298%,-27.617%,-100.214%,Upgrade,Financials in CAD,Fiscal year is August - July
D&A For EBITDA,"355,195","467,903","455,777","397,464","389,408","281,719",Upgrade,Financials in CAD,Fiscal year is August - July
EBIT,"391,058","833,784","4,676,889","1,037,554","-2,285,648","-4,720,037",Upgrade,Financials in CAD,Fiscal year is August - July
EBIT Margin,2.261%,4.644%,21.046%,8.892%,-33.288%,-106.575%,Upgrade,Financials in CAD,Fiscal year is August - July
Effective Tax Rate,19.413%,11.951%,2.612%,-,-,-,Upgrade,Financials in CAD,Fiscal year is August - July
Revenue as Reported,"17,297,813","17,954,677","22,222,453","11,668,969","6,866,305",-,Upgrade,Financials in CAD,Fiscal year is August - July
