Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+8 Quarters,,
Revenue,"27,769,677","25,406,431","25,057,639","25,485,700","25,340,493","24,658,096","25,535,363","30,847,158","34,597,845","17,267,361","15,060,286","17,445,607","15,354,127","12,440,915","12,595,320","18,405,627","15,283,941","13,668,829","11,310,989","12,891,009",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),9.586%,3.035%,-1.871%,-17.381%,-26.757%,42.802%,69.554%,76.819%,125.333%,38.795%,19.570%,-5.216%,0.459%,-8.983%,11.355%,42.779%,25.765%,24.416%,-,12.088%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"12,915,047","13,675,575","14,607,280","14,230,036","13,195,123","13,686,681","18,046,296","21,379,427","18,476,578","10,791,693","12,799,960","10,663,348","6,643,301","7,852,402","5,872,738","9,790,283","7,687,465","7,009,023","8,255,088","8,002,897",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"14,854,630","11,730,856","10,450,359","11,255,664","12,145,370","10,971,415","7,489,067","9,467,731","16,121,267","6,475,668","2,260,326","6,782,259","8,710,826","4,588,513","6,722,582","8,615,344","7,596,476","6,659,806","3,055,901","4,888,112",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","10,991,972","10,857,620","10,675,950","11,772,817","12,338,709","13,411,443","13,457,719","16,180,472","18,935,411","8,752,058","6,543,415","8,749,660","8,636,150","7,508,954","7,765,779","6,783,987","6,764,781","5,786,573","7,621,971","6,285,972",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,507,952","13,287,482","12,309,323","14,809,200","14,070,574","16,774,802","16,398,302","21,036,216","23,245,562","11,335,876","8,009,305","10,051,330","9,019,857","7,799,104","8,505,658","7,829,586","6,868,922","6,182,951","8,013,047","7,157,161",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"3,346,678","-1,556,626","-1,858,964","-3,553,536","-1,925,204","-5,803,387","-8,909,235","-11,568,485","-7,124,295","-4,860,208","-5,748,979","-3,269,071","-309,031","-3,210,591","-1,783,076","785,758","727,554","476,855","-4,957,146","-2,269,049",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-4,182,111","-4,454,141","-5,737,102","-4,158,938","-4,747,422","-4,192,404","-3,192,895","-5,262,056","-4,535,237","-1,364,123","-683,577","-722,290","-903,129","-915,562","-1,129,958","-1,399,243","-1,075,333","-1,103,130","-1,145,888","-1,030,157",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"1,026,252","-924,761","3,146,407","-1,495,351","-1,887,382","1,940,514","-433,530","-996,295","17,847","-49,576","-16,428","-185,616","391,736","-45,199","1,365,452","-73,825","161,442","-408,782","-68,587","-57,486",Upgrade,Financials in USD,Fiscal year is January - December
