Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Currency,Fiscal_Year_period
Period Ending,"Aug '24 Aug 31, 2024","May '24 May 31, 2024","Feb '24 Feb 29, 2024","Nov '23 Nov 30, 2023","Aug '23 Aug 31, 2023","May '23 May 31, 2023","Feb '23 Feb 28, 2023","Nov '22 Nov 30, 2022","Aug '22 Aug 31, 2022","May '22 May 31, 2022","Feb '22 Feb 28, 2022","Nov '21 Nov 30, 2021","Aug '21 Aug 31, 2021","May '21 May 31, 2021","Feb '21 Feb 28, 2021",,
Revenue,"178,887","75,862","36,411","63,748","72,821","46,412","51,252","82,581","143,752","72,999","32,492","24,813","84,676","49,812","90,138",Financials in USD,Fiscal year is June - May
Revenue Growth (YoY),145.653%,63.453%,-28.957%,-22.805%,-49.343%,-36.421%,57.737%,232.813%,69.767%,46.549%,-63.953%,-,-,-,-,Financials in USD,Fiscal year is June - May
Cost of Revenue,"8,362","9,878","11,809","15,092","8,820","16,007","24,120","7,090","33,170","15,248","7,407","9,799","14,309","21,585","7,092",Financials in USD,Fiscal year is June - May
Gross Profit,"170,525","65,984","24,602","48,656","64,001","30,405","27,132","75,491","110,582","57,751","25,085","15,014","70,367","28,227","83,046",Financials in USD,Fiscal year is June - May
"Selling, General & Admin","168,129","95,619","184,573","143,168","240,785","305,303","311,998","259,099","302,388","327,616","260,486","201,344","266,829","198,193","186,947",Financials in USD,Fiscal year is June - May
Operating Expenses,"268,129","95,619","184,573","143,168","240,785","305,303","311,998","259,099","302,388","327,616","260,486","201,344","266,829","198,193","186,947",Financials in USD,Fiscal year is June - May
Operating Income,"-97,604","-29,635","-159,971","-94,512","-176,784","-274,898","-284,866","-183,608","-191,806","-269,865","-235,401","-186,330","-196,462","-169,966","-103,901",Financials in USD,Fiscal year is June - May
Interest Expense,"-2,339","-95,302","-49,221","-29,916","-5,005","-1,206","-39,789","-36,278","-12,235","-5,371","-26,484","-12,606","-6,575","-42,449",-,Financials in USD,Fiscal year is June - May
Other Non Operating Income (Expenses),-,"-10,998",-,-,-,-,-,-,-,-,-,-,-,"-1,215",50,Financials in USD,Fiscal year is June - May
EBT Excluding Unusual Items,"-99,943","-135,935","-209,192","-124,428","-181,789","-276,104","-324,655","-219,886","-204,041","-275,236","-261,885","-198,936","-203,037","-213,630","-103,851",Financials in USD,Fiscal year is June - May
Other Unusual Items,"23,638",-,-,-,-,99,-,-,"41,666","20,215","1,958",-,"31,750",-,-,Financials in USD,Fiscal year is June - May
Pretax Income,"-76,305","-135,935","-209,192","-124,428","-181,789","-276,005","-324,655","-219,886","-162,375","-255,021","-259,927","-198,936","-171,287","-213,630","-103,851",Financials in USD,Fiscal year is June - May
Net Income,"-76,305","-135,935","-209,192","-124,428","-181,789","-276,005","-324,655","-219,886","-162,375","-255,021","-259,927","-198,936","-171,287","-213,630","-103,851",Financials in USD,Fiscal year is June - May
Net Income to Common,"-76,305","-135,935","-209,192","-124,428","-181,789","-276,005","-324,655","-219,886","-162,375","-255,021","-259,927","-198,936","-171,287","-213,630","-103,851",Financials in USD,Fiscal year is June - May
Shares Outstanding (Basic),"10,458,923,260","10,317,612,225","10,372,408,688","10,331,749,347","10,331,749,347","9,832,368,135","7,858,525,520","8,090,501,599","8,559,051,075","8,715,690,274","7,937,417,764","7,858,410,258","7,850,488,100","6,776,961,732","8,735,827,844",Financials in USD,Fiscal year is June - May
Shares Outstanding (Diluted),"10,458,923,260","10,317,612,225","10,372,408,688","10,331,749,347","10,331,749,347","9,832,368,135","7,858,525,520","8,090,501,599","8,559,051,075","8,715,690,274","7,937,417,764","7,858,410,258","7,850,488,100","6,776,961,732","8,735,827,844",Financials in USD,Fiscal year is June - May
Shares Change (YoY),1.231%,4.935%,31.989%,27.702%,20.711%,12.812%,-0.994%,2.953%,9.026%,28.608%,-9.139%,-,-,-,-,Financials in USD,Fiscal year is June - May
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is June - May
Free Cash Flow,"-30,413","-174,439","-9,076","-221,247","-74,620","-187,851","-201,179","-313,368","-195,969","-270,976","-251,083","-145,906","-187,739","-205,684",-,Financials in USD,Fiscal year is June - May
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-,Financials in USD,Fiscal year is June - May
Gross Margin,95.326%,86.979%,67.567%,76.326%,87.888%,65.511%,52.938%,91.414%,76.925%,79.112%,77.204%,60.509%,83.101%,56.667%,92.132%,Financials in USD,Fiscal year is June - May
Operating Margin,-54.562%,-39.064%,-439.348%,-148.259%,-242.765%,-592.299%,-555.814%,-222.337%,-133.428%,-369.683%,-724.489%,-750.937%,-232.016%,-341.215%,-115.269%,Financials in USD,Fiscal year is June - May
Profit Margin,-42.655%,-179.187%,-574.530%,-195.187%,-249.638%,-594.685%,-633.448%,-266.267%,-112.955%,-349.349%,-799.972%,-801.741%,-202.285%,-428.873%,-115.213%,Financials in USD,Fiscal year is June - May
