Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters,,
Revenue,"74,168,000","77,523,000","80,633,000","86,566,000","89,240,000","72,124,000","69,398,000","69,041,000","66,243,000","63,960,000","48,585,000",-,"49,139,000","58,723,000","53,354,000","49,616,000","38,128,000","34,214,000","25,875,000","18,336,214",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-16.889%,7.486%,16.189%,25.383%,34.716%,12.764%,42.838%,-,34.807%,8.918%,-8.938%,-,28.879%,71.634%,106.199%,170.590%,42.104%,94.707%,77.445%,264.465%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"37,952,000","39,840,000","41,902,000","44,893,000","41,435,000","35,898,000","35,498,000","38,481,000","34,697,000","33,566,000","29,023,000",-,"26,479,000","23,321,000","18,412,000","68,518,000","-3,226,000","12,025,000","8,117,000","23,666,847",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"36,216,000","37,683,000","38,731,000","41,673,000","47,805,000","36,226,000","33,900,000","30,560,000","31,546,000","30,394,000","19,562,000",-,"22,660,000","35,402,000","34,942,000","-18,902,000","41,354,000","22,189,000","17,758,000","-5,330,633",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","31,552,000","24,060,000","28,008,000","27,684,000","29,299,000","30,476,000","27,730,000","33,835,000","27,404,000","32,925,000","21,424,000",-,"21,320,000","20,750,000","20,392,000","33,009,000","10,324,000","11,345,000","10,856,000","14,815,251",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"25,000","17,000","121,000","154,000","201,131",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"8,000","-1,186,000",-,-,"-1,879,000","10,000",-,-,-,-,-,-,-,-,-,"-33,896,000","15,505,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"33,762,000","25,064,000","30,223,000","30,182,000","30,084,000","32,728,000","29,759,000","36,137,000","30,004,000","35,506,000","23,599,000",-,"23,267,000","22,594,000","22,265,000","-8,439,000","30,887,000","16,249,000","14,325,000","11,793,211",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"2,454,000","12,619,000","8,508,000","11,491,000","17,721,000","3,498,000","4,141,000","-5,577,000","1,542,000","-5,112,000","-4,037,000",-,"-607,000","12,808,000","12,677,000","-10,463,000","10,467,000","5,940,000","3,433,000","-17,123,844",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-8,610,000","-9,132,000","-8,872,000","-9,065,000","-10,203,000","-7,965,000","-7,875,000","-13,300,000","-10,347,000","-8,515,000","-6,926,000",-,"-6,643,000","-6,464,000","-6,282,000","-581,000","-2,476,000","-2,266,000","-2,457,000","-878,518",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"214,000","-104,000","-285,000","-122,000","43,000","101,000","31,000","-88,000","-583,000","315,000","-356,000",-,"1,256,000","-3,055,000","-2,783,000","-67,000","-34,000","-37,000","-40,000","-209,687",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"871,000","3,163,000","-700,000","5,741,000","-3,097,000","9,000","461,000","-2,318,000","6,599,000","42,197,000","5,984,000",-,"68,906,000","-23,507,000","-6,284,000","-93,098,000","-17,833,000",-,-,"568,000",Upgrade,Financials in USD,Fiscal year is January - December
