Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",,
Revenue,"118,599","2,834,378","320,369","1,190,582","418,151","254,686","274,591","234,421","120,801","146,507","148,786","151,089","200,060","486,825","311,906","192,345","680,908",Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-71.637%,1012.891%,16.671%,407.882%,246.149%,73.839%,84.554%,55.154%,-39.618%,-69.906%,-52.298%,-21.449%,-70.619%,-,-,-,-,Financials in USD,Fiscal year is October - September
Cost of Revenue,"114,472","2,440,187","78,046","396,249","211,359","78,956","258,336","41,653","385,097","318,434","249,409","-786,899","56,593","1,392,478","146,305","1,130,362","352,911",Financials in USD,Fiscal year is October - September
Gross Profit,"4,127","394,191","242,323","794,333","206,792","175,730","16,255","192,768","-264,296","-171,927","-100,623","937,988","143,467","-905,653","165,601","-938,017","327,997",Financials in USD,Fiscal year is October - September
"Selling, General & Admin","751,466","807,347","715,189","1,819,543","830,409","729,991","1,432,746","1,624,961","1,827,865","729,869","814,011","530,557","639,426","2,066,483","791,679","2,422,582","912,253",Financials in USD,Fiscal year is October - September
Research & Development,700,"1,487","3,062","5,391","2,738","16,586","2,351","3,124","3,637",380,"3,004","6,070","4,932",-,"4,264","16,684","2,016",Financials in USD,Fiscal year is October - September
Operating Expenses,"754,334","811,200","720,817","1,828,702","839,785","751,677","1,440,197","1,633,185","1,836,602","735,349","822,115","536,828","649,425","2,070,549","802,061","2,455,365","914,929",Financials in USD,Fiscal year is October - September
Operating Income,"-750,207","-417,009","-478,494","-1,034,369","-632,993","-575,947","-1,423,942","-1,440,417","-2,100,898","-907,276","-922,738","401,160","-505,958","-2,976,202","-636,460","-3,393,382","-586,932",Financials in USD,Fiscal year is October - September
Interest Expense,"-327,009","-271,025","-282,994","-313,189","-450,287","-236,123","-242,254","-229,528","-228,660","-224,313","-268,048","-2,247,545","-458,256","-222,014","-204,535","-1,073,283","-407,756",Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-944,326","-837,759","-423,399","12,023,844","-9,967,271","-2,075,291","-95,487","-228,292","-76,886","-281,657","192,135","960,444","-901,106","-933,764","-905,727","535,076","-3,022,619",Financials in USD,Fiscal year is October - September
