Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Cost of Revenue,-,-,"63,960",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"-63,960",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","580,568","718,176","1,393,848","2,671,587","3,930,677","27,257,643",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"594,203","770,568","1,505,274","2,801,376","4,076,474","27,417,066",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-594,203","-770,568","-1,569,234","-2,801,376","-4,076,474","-27,417,066",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-9,248","-45,374","-117,124","-39,244","-40,828","-11,672",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-203,010","-203,010",-719,"-1,230",-,-941,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-806,461","-1,018,952","-1,687,077","-2,841,850","-4,117,302","-27,429,679",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-480,801",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"35,000","988,375","639,773",-,"46,948",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"5,277","-100,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-771,461","-30,577","-1,528,105","-2,841,850","-4,065,077","-27,529,679",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,379",980,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-772,840","-31,557","-1,528,105","-2,841,850","-4,065,077","-27,529,679",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-772,840","-31,557","-1,528,105","-2,841,850","-4,065,077","-27,529,679",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"125,358,168","123,709,123","122,076,877","116,733,164","112,215,827","107,649,127",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"125,358,168","123,709,123","122,076,877","116,733,164","112,215,827","107,649,127",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.607%,1.337%,4.578%,4.026%,4.242%,4.344%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.006,-0.000,-0.013,-0.024,-0.036,-0.256,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.006,-0.000,-0.013,-0.024,-0.036,-0.256,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-619,039","-1,084,087","-812,975","-840,147","-430,987","-1,113,576",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.005,-0.009,-0.007,-0.007,-0.004,-0.010,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-580,568","-718,176","-1,457,808","-2,671,587","-3,930,677","-27,257,643",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"13,635","52,392","111,426","129,789","145,797","159,423",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-594,203","-770,568","-1,569,234","-2,801,376","-4,076,474","-27,417,066",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"2,911","14,491","1,500",-,"3,450",Upgrade,Financials in USD,Fiscal year is January - December
