Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Mar '23 Mar 31, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"458,542","458,542","648,088","431,616",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),-18.651%,-29.247%,50.154%,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,-,-,-,"40,000",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"458,542","458,542","648,088","391,616",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","2,672,167","2,672,167","2,548,895","5,992,834","4,221,965","3,801,325",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"80,345","80,345","70,181","627,287","97,913","134,117",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"8,221,882","8,221,882","8,567,533","12,639,750","6,487,421","10,028,771",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-7,763,341","-7,763,341","-7,919,445","-12,248,134","-6,487,421","-10,028,771",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,"-1,374","-1,374","-5,492","-22,251","-16,472","-103,307",Upgrade,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"81,165","81,165","88,083","20,744","-37,753","-89,920",Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-73,554","-73,554","-8,055,849","34,480","-36,596,835",-,Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-7,757,105","-7,757,105","-15,892,703","-12,215,161","-43,138,481","-10,221,998",Upgrade,Financials in CAD,Fiscal year is April - March
Merger & Restructuring Charges,-,-,-,"-14,196,657",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Impairment of Goodwill,-,-,-,"-574,322",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,-,-,-,"566,911","-3,818,856","1,089,360",Upgrade,Financials in CAD,Fiscal year is April - March
Asset Writedown,-,-,-,"-400,000","-269,025",-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Unusual Items,"-8,224,714","-8,224,714","-83,657","-10,235,678","322,253","-1,581,718",Upgrade,Financials in CAD,Fiscal year is April - March
Pretax Income,"-15,981,819","-15,981,819","-15,976,360","-37,054,907","-46,904,109","-10,714,356",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Continuing Operations,"-15,981,819","-15,981,819","-15,976,360","-37,054,907","-46,904,109","-10,714,356",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Discontinued Operations,-,-,-,-,"-7,895,166","-10,938,087",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Company,"-15,981,819","-15,981,819","-15,976,360","-37,054,907","-54,799,275","-21,652,443",Upgrade,Financials in CAD,Fiscal year is April - March
Minority Interest in Earnings,-,-,-,-,"180,293","189,252",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income,"-15,981,819","-15,981,819","-15,976,360","-37,054,907","-54,618,982","-21,463,191",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Common,"-15,981,819","-15,981,819","-15,976,360","-37,054,907","-54,618,982","-21,463,191",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"32,709,344","32,709,344","30,750,688","14,419,549","5,319,010","1,407,820",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"32,709,344","32,709,344","30,750,688","14,419,549","5,319,010","1,407,820",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),84.626%,6.369%,113.257%,171.095%,277.819%,20.954%,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.489,-0.489,-0.520,-2.570,-10.269,-15.246,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.489,-0.489,-0.520,-2.570,-10.269,-15.246,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-2,239,954","-2,239,954","-2,009,023","-4,650,781","-3,706,613","-8,118,281",Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.068,-0.068,-0.065,-0.323,-0.697,-5.767,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Margin,100.000%,100.000%,100.000%,90.733%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Margin,-1693.049%,-1693.049%,-1221.971%,-2837.739%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Profit Margin,-3485.356%,-3485.356%,-2465.153%,-8585.156%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-488.495%,-488.495%,-309.992%,-1077.527%,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
EBITDA,"-7,721,143","-7,721,143","-7,868,255","-12,209,365","-4,589,713","-6,712,348",Upgrade,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"42,198","42,198","51,190","38,769","1,897,708","3,316,423",Upgrade,Financials in CAD,Fiscal year is April - March
EBIT,"-7,763,341","-7,763,341","-7,919,445","-12,248,134","-6,487,421","-10,028,771",Upgrade,Financials in CAD,Fiscal year is April - March
Advertising Expenses,-,-,"222,994","3,711,357","1,031,248","1,311,917",Upgrade,Financials in CAD,Fiscal year is April - March
