Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"2,763,922","2,384,956","1,626,978","2,059,627","9,017,720","2,198,408",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),50.378%,46.588%,-21.006%,-77.160%,310.193%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"6,629,424","6,474,698","6,185,856","6,478,108","11,469,536","3,881,501",Financials in USD,Fiscal year is January - December
Gross Profit,"-3,865,502","-4,089,742","-4,558,878","-4,418,481","-2,451,816","-1,683,093",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,448,037","1,456,412","1,093,364","1,518,687","2,806,026","986,131",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,448,037","1,456,412","1,093,364","1,518,687","2,806,026","986,131",Financials in USD,Fiscal year is January - December
Operating Income,"-5,313,539","-5,546,154","-5,652,242","-5,937,168","-5,257,842","-2,669,224",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,605,392","-1,555,877","-2,048,171","-1,105,243","-1,511,579","-434,294",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"154,348","178,411","259,781","236,560","251,587","655,240",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,764,583","-6,923,620","-7,440,632","-6,805,851","-6,517,834","-2,448,278",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-905,497","-1,092,429","-2,637,289","1,168,342","1,426,718","129,702",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-297,351","-140,714","-492,700",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,748,"935,337","1,152,461",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,670,080","-8,015,301","-9,142,584","-4,782,399","-5,231,830","-2,811,276",Financials in USD,Fiscal year is January - December
Net Income,"-7,670,080","-8,015,301","-9,142,584","-4,782,399","-5,231,830","-2,811,276",Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,670,080","-8,015,301","-9,142,584","-4,782,399","-5,231,830","-2,811,276",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"17,009,276","16,627,458","14,862,077","17,820,545","16,915,706","17,786,852",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"17,009,276","16,627,458","14,862,077","17,820,545","16,915,706","17,786,852",Financials in USD,Fiscal year is January - December
Shares Change (YoY),18.330%,11.878%,-16.601%,5.349%,-4.898%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.451,-0.482,-0.615,-0.268,-0.309,-0.158,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.451,-0.482,-0.615,-0.268,-0.309,-0.160,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,622,804","-1,589,785","-2,643,383","-4,085,036","-10,846,734","-10,869,316",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.095,-0.096,-0.178,-0.229,-0.641,-0.611,Financials in USD,Fiscal year is January - December
Gross Margin,-139.856%,-171.481%,-280.205%,-214.528%,-27.189%,-76.560%,Financials in USD,Fiscal year is January - December
Operating Margin,-192.246%,-232.547%,-347.407%,-288.264%,-58.306%,-121.416%,Financials in USD,Fiscal year is January - December
Profit Margin,-277.507%,-336.078%,-561.937%,-232.197%,-58.017%,-127.878%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-58.714%,-66.659%,-162.472%,-198.339%,-120.282%,-494.418%,Financials in USD,Fiscal year is January - December
EBITDA,"-3,639,626","-3,833,185","-3,921,151","-4,199,982","-3,565,840","-1,874,749",Financials in USD,Fiscal year is January - December
EBITDA Margin,-131.683%,-160.724%,-241.008%,-203.919%,-39.542%,-85.278%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,673,913","1,712,969","1,731,091","1,737,186","1,692,002","794,475",Financials in USD,Fiscal year is January - December
EBIT,"-5,313,539","-5,546,154","-5,652,242","-5,937,168","-5,257,842","-2,669,224",Financials in USD,Fiscal year is January - December
EBIT Margin,-192.246%,-232.547%,-,-288.264%,-58.306%,-121.416%,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"17,947","209,254","377,916","1,504,592","254,869",Financials in USD,Fiscal year is January - December
