Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
"Selling, General & Admin","5,012,000","5,488,000","7,237,000","7,150,000","4,021,000","6,593,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"7,187,000","8,845,000","16,034,000","19,665,000","9,921,000","9,089,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"12,199,000","14,333,000","23,271,000","26,815,000","13,942,000","15,682,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-12,199,000","-14,333,000","-23,271,000","-26,815,000","-13,942,000","-15,682,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-1,485,000","-1,424,000","-2,417,000","-669,000","-1,270,000","-1,445,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,-,-,"990,000","20,000","34,000",-,Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"103,000","43,000","-31,000","14,000","-29,000","14,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-2,084,000","-1,312,000","588,000","-2,019,000","-10,310,000","-1,913,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,665,000","-17,026,000","-24,141,000","-29,469,000","-25,517,000","-19,026,000",Upgrade,Financials in EUR,Fiscal year is January - December
Legal Settlements,-,-,"-75,000","-1,695,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-15,079,000","-17,026,000","-24,216,000","-31,164,000","-25,517,000","-19,026,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"-80,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"-15,079,000","-17,026,000","-24,216,000","-31,164,000","-25,517,000","-18,946,000",Upgrade,Financials in EUR,Fiscal year is January - December
Minority Interest in Earnings,"5,000",-,-,"1,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-15,074,000","-17,026,000","-24,216,000","-31,163,000","-25,517,000","-18,946,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-15,074,000","-17,026,000","-24,216,000","-31,163,000","-25,517,000","-18,946,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"2,698,235","1,357,686","437,098","295,707","149,936","42,207",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"2,698,235","1,357,686","437,098","295,707","149,936","42,207",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),307.723%,210.614%,47.815%,97.222%,255.240%,26.232%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-5.587,-12.540,-55.402,-105.385,-170.186,-448.883,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-5.587,-12.540,-56.000,-105.385,-172.000,-448.883,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-10,803,000","-13,093,000","-19,129,000","-24,139,000","-9,957,000","-15,333,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-4.004,-9.644,-43.764,-81.631,-66.408,-363.281,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-11,804,000","-13,804,000","-23,039,000","-26,504,000","-13,662,000","-15,420,000",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"395,000","529,000","232,000","311,000","280,000","262,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-12,199,000","-14,333,000","-23,271,000","-26,815,000","-13,942,000","-15,682,000",Upgrade,Financials in EUR,Fiscal year is January - December
