Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Period Ending,"Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017,,
"Selling, General & Admin","4,077,925","9,033,132","12,611,169","2,732,060","2,226,837","408,425",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"5,265,089","2,681,745","15,023,450","7,423,786","463,112","277,539",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"9,343,014","11,714,877","27,634,619","10,155,846","2,689,949","685,964",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-9,343,014","-11,714,877","-27,634,619","-10,155,846","-2,689,949","-685,964",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-774,679","-706,446",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"1,455,889",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,343,014","-11,714,877","-26,953,409","-10,862,292","-2,689,949","-685,964",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-9,343,014","-11,714,877","-26,953,409","-10,862,292","-2,689,949","-685,964",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"647,190","105,050",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,695,824","-11,609,827","-26,953,409","-10,862,292","-2,689,949","-685,964",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,695,824","-11,609,827","-26,953,409","-10,862,292","-2,689,949","-685,964",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"28,088,104","21,094,264","17,252,391","13,362,959","12,021,650","10,570,933",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"28,088,104","21,094,264","17,252,391","13,362,959","12,021,650","10,570,933",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),41.032%,22.269%,29.106%,11.157%,13.724%,27.371%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.310,-0.550,-1.562,-0.813,-0.224,-0.065,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.310,-0.550,-1.562,-0.813,-0.224,-0.065,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,042,627","-8,128,180","-11,426,636","-2,525,289","-2,124,653","-747,317",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.108,-0.385,-0.662,-0.189,-0.177,-0.071,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-9,341,912","-11,713,149","-27,633,119","-10,154,406","-2,689,285",-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,102","1,728","1,500","1,440",664,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-9,343,014","-11,714,877","-27,634,619","-10,155,846","-2,689,949","-685,964",Upgrade,Financials in USD,Fiscal year is January - December
