Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"23,565,000,000","21,141,000,000","21,559,000,000","19,150,000,000","19,225,000,000","19,381,000,000",-,"18,633,000,000",-,"15,984,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Revenue Growth (YoY),9.305%,10.397%,12.140%,-1.192%,-,4.014%,-,16.573%,-,-10.594%,Upgrade,Financials in ZAR,Fiscal year is July - June
Cost of Revenue,"13,461,000,000","11,829,000,000","11,656,000,000","10,184,000,000","10,364,000,000","9,986,000,000",-,"9,447,000,000",-,"7,557,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Gross Profit,"10,104,000,000","9,312,000,000","9,903,000,000","8,966,000,000","8,861,000,000","9,395,000,000",-,"9,186,000,000",-,"8,427,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
"Selling, General & Admin","5,102,000,000","4,998,000,000","4,773,000,000","4,621,000,000","4,235,000,000","4,287,000,000",-,"4,605,000,000",-,"4,406,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Other Operating Expenses,"-390,000,000","814,000,000","97,000,000","449,000,000","441,000,000","550,000,000",-,"1,061,000,000",-,"945,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Operating Expenses,"4,712,000,000","5,812,000,000","4,870,000,000","5,070,000,000","4,679,000,000","4,837,000,000",-,"5,666,000,000",-,"5,351,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Operating Income,"5,392,000,000","3,500,000,000","5,033,000,000","3,896,000,000","4,182,000,000","4,558,000,000",-,"3,520,000,000",-,"3,076,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Interest Expense,"-1,263,000,000","-1,016,000,000","-934,000,000","-428,000,000","-352,000,000","-477,000,000",-,"-642,000,000",-,"-832,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Interest & Investment Income,"591,000,000","468,000,000","465,000,000","64,000,000","45,000,000","60,000,000",-,"54,000,000",-,"79,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Currency Exchange Gain (Loss),"14,000,000","-63,000,000","-418,000,000","-270,000,000","12,000,000","34,000,000",-,"-154,000,000",-,"2,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Other Non Operating Income (Expenses),"-34,000,000","19,000,000","218,000,000","36,000,000","122,000,000","16,000,000",-,"50,000,000",-,"-13,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
EBT Excluding Unusual Items,"4,700,000,000","2,908,000,000","4,364,000,000","3,298,000,000","4,009,000,000","4,191,000,000",-,"2,828,000,000",-,"2,312,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Merger & Restructuring Charges,"-227,000,000",-,"-278,000,000",-,"-174,000,000","3,000,000",-,"-5,000,000",-,"33,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Impairment of Goodwill,"-145,000,000",-,-,-,"-11,000,000",-,-,-,-,-,Upgrade,Financials in ZAR,Fiscal year is July - June
Gain (Loss) on Sale of Assets,-,-,-,-,"1,212,000,000",-,-,-,-,-,Upgrade,Financials in ZAR,Fiscal year is July - June
Asset Writedown,"-1,522,000,000",-,"-1,064,000,000",-,"-1,194,000,000",-,-,-,-,-,Upgrade,Financials in ZAR,Fiscal year is July - June
Legal Settlements,-,-,-,-,"-75,000,000",-,-,-,-,-,Upgrade,Financials in ZAR,Fiscal year is July - June
Pretax Income,"2,806,000,000","2,908,000,000","3,257,000,000","3,298,000,000","3,940,000,000","4,194,000,000",-,"2,823,000,000",-,"2,345,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Income Tax Expense,"716,000,000","594,000,000","703,000,000","624,000,000","812,000,000","834,000,000",-,"546,000,000",-,"470,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Earnings From Continuing Operations,"2,090,000,000","2,314,000,000","2,554,000,000","2,674,000,000","3,128,000,000","3,360,000,000",-,"2,277,000,000",-,"1,875,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Earnings From Discontinued Operations,-,-,-,-,-,-,-,"272,000,000",-,"754,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Net Income to Company,"2,090,000,000","2,314,000,000","2,554,000,000","2,674,000,000","3,128,000,000","3,360,000,000",-,"2,549,000,000",-,"2,629,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Net Income,"2,090,000,000","2,314,000,000","2,554,000,000","2,674,000,000","3,128,000,000","3,360,000,000",-,"2,549,000,000",-,"2,629,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Net Income to Common,"2,090,000,000","2,314,000,000","2,554,000,000","2,674,000,000","3,128,000,000","3,360,000,000",-,"2,549,000,000",-,"2,629,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Net Income Growth,-18.168%,-13.463%,-18.350%,-20.417%,-,31.816%,-,-3.043%,-,-10.487%,Upgrade,Financials in ZAR,Fiscal year is July - June
Shares Outstanding (Basic),"444,100,000","444,300,000","444,200,000","444,200,000","449,500,000","456,500,000",-,"456,500,000",-,"456,500,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Shares Outstanding (Diluted),"444,100,000","444,300,000","444,200,000","444,200,000","449,500,000","456,500,000",-,"456,500,000",-,"456,500,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Shares Change (YoY),-0.023%,0.023%,-1.179%,-2.694%,-,-,-,-,-,-,Upgrade,Financials in ZAR,Fiscal year is July - June
EPS (Basic),4.706,5.208,5.750,6.020,6.959,7.360,-,5.584,-,5.759,Upgrade,Financials in ZAR,Fiscal year is July - June
EPS (Diluted),4.706,5.208,5.749,6.020,6.958,7.360,-,5.584,-,5.759,Upgrade,Financials in ZAR,Fiscal year is July - June
EPS Growth,-18.144%,-13.486%,-17.374%,-18.213%,-,31.816%,-,-3.043%,-,-10.480%,Upgrade,Financials in ZAR,Fiscal year is July - June
Free Cash Flow,"2,142,000,000","966,000,000","2,419,000,000","871,000,000","2,376,000,000","1,035,000,000",-,"741,000,000",-,"1,583,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
Free Cash Flow Per Share,4.823,2.174,5.446,1.961,5.286,2.267,-,1.623,-,3.468,Upgrade,Financials in ZAR,Fiscal year is July - June
Operating Margin,22.881%,16.556%,23.345%,20.345%,21.753%,23.518%,-,18.891%,-,19.244%,Upgrade,Financials in ZAR,Fiscal year is July - June
Profit Margin,8.869%,10.946%,11.847%,13.963%,16.270%,17.337%,-,13.680%,-,16.448%,Upgrade,Financials in ZAR,Fiscal year is July - June
Free Cash Flow Margin,9.090%,4.569%,11.220%,4.548%,12.359%,5.340%,-,3.977%,-,9.904%,Upgrade,Financials in ZAR,Fiscal year is July - June
EBITDA,"5,857,000,000","4,444,000,000","5,433,000,000","4,756,000,000","4,523,000,000","5,410,000,000",-,"4,354,000,000",-,"3,800,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
D&A For EBITDA,"465,000,000","944,000,000","400,000,000","860,000,000","341,000,000","852,000,000","242,000,000","834,000,000","329,000,000","724,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
EBIT,"5,392,000,000","3,500,000,000","5,033,000,000","3,896,000,000","4,182,000,000","4,558,000,000",-,"3,520,000,000",-,"3,076,000,000",Upgrade,Financials in ZAR,Fiscal year is July - June
