Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,"26,967,000","26,581,000","37,504,000","37,538,000","44,555,000","41,599,000","42,264,000","44,294,000","40,487,000","47,055,000","42,352,000","54,057,000","53,362,000","48,469,000","46,817,000","42,264,000","39,084,000","36,436,000","40,625,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-39.475%,-36.102%,-11.263%,-15.253%,10.048%,-11.595%,-0.208%,-18.061%,-24.128%,-2.917%,-9.537%,27.903%,36.532%,33.025%,15.242%,-,-15.261%,-6.592%,18.172%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"23,172,000","22,322,000","30,787,000","39,560,000","36,609,000","37,559,000","33,856,000","37,638,000","30,950,000","36,110,000","33,516,000","47,432,000","40,780,000","35,580,000","33,272,000","47,600,000","20,238,000","29,715,000","18,277,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"3,795,000","4,259,000","6,717,000","-2,022,000","7,946,000","4,040,000","8,408,000","6,656,000","9,537,000","10,945,000","8,836,000","6,625,000","12,582,000","12,889,000","13,545,000","-5,336,000","18,846,000","6,721,000","22,348,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,284,000","8,147,000","8,121,000","8,874,000","8,603,000","10,690,000","11,808,000","12,016,000","10,332,000","12,506,000","10,354,000","9,431,000","10,603,000","9,348,000","8,555,000","11,277,000","8,188,000","9,098,000","8,581,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-330,000",-,-,"55,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,271,000","12,032,000","12,094,000","12,970,000","12,684,000","13,044,000","16,230,000","17,438,000","15,459,000","17,852,000","16,138,000","15,425,000","15,881,000","14,423,000","13,869,000","16,120,000","14,243,000","15,182,000","14,040,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,476,000","-7,773,000","-5,377,000","-14,992,000","-4,738,000","-9,004,000","-7,822,000","-10,782,000","-5,922,000","-6,907,000","-7,302,000","-8,800,000","-3,299,000","-1,534,000","-324,000","-21,456,000","4,603,000","-8,461,000","8,308,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,683,000","-6,792,000","-6,043,000","-5,072,000","-6,369,000","-5,530,000","-4,092,000","-3,514,000","-4,150,000","-3,796,000","-2,781,000","-2,743,000","-2,849,000","-2,320,000","-2,455,000","-1,847,000","-2,981,000","-2,662,000","-2,846,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"1,000","2,000",-,-,-,"64,000","47,000","94,000","56,000","18,000","6,000",-,-,"587,000","1,595,000","767,000","633,000","840,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"-4,000","6,000","-17,000","-1,000",-,-,-,-,-,"37,000","12,000","-35,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"105,000","510,000","204,000","5,628,000","2,000","-5,197,000","97,000","1,188,000","479,000","3,413,000","-2,160,000","8,787,000","5,206,000","5,938,000","-13,856,000","830,000","142,000","-86,000","61,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-14,054,000","-14,054,000","-11,218,000","-14,430,000","-11,122,000","-19,732,000","-11,753,000","-13,061,000","-9,499,000","-7,234,000","-12,225,000","-2,713,000","-930,000","2,049,000","-16,048,000","-20,878,000","2,531,000","-10,576,000","6,363,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,"-3,030,000",-,-,-,"-43,126,000",-,"-6,668,000",-,"-29,528,000",-,-,-,"-19,424,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"-1,000",-,"-1,000","-6,400,000",-,"-4,000","-198,000","-49,000","-45,000","-62,000","-71,000","-53,000","-705,000","-127,000","-301,000","91,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"8,399,000","483,000",-,"8,401,000","-697,000","-1,000",-,"1,000","95,000","127,000","8,000","-67,000","32,000","-102,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-15,728,000","-12,000","-12,836,000",-,"-4,947,000","-188,000","-10,779,000","-175,000","-1,000","-697,000","-676,000","-194,000",-,-,"-14,652,000","-138,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"72,000",-,"-74,000","-259,000","370,000","-71,000",-,"-267,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-14,054,000","-29,782,000","-11,231,000","-21,897,000","-10,640,000","-31,079,000","-3,540,000","-67,667,000","-9,873,000","-13,952,000","-12,966,000","-32,812,000","-1,068,000","1,930,000","-17,079,000","-54,679,000","1,919,000","-10,485,000","6,096,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-1,405,000","6,165,000","-1,580,000","54,000","-1,977,000","-2,742,000","1,326,000","5,418,000","5,818,000","-6,898,000","-1,332,000","-12,683,000","-2,094,000","896,000","-22,000","-9,313,000","3,640,000","-1,677,000","2,308,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-12,649,000","-35,947,000","-9,651,000","-21,951,000","-8,663,000","-28,337,000","-4,866,000","-73,085,000","-15,691,000","-7,054,000","-11,634,000","-20,129,000","1,026,000","1,034,000","-17,057,000","-45,366,000","-1,721,000","-8,808,000","3,788,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-46,781,000","-2,896,000","-236,000","-3,737,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-12,649,000","-35,947,000","-9,651,000","-21,951,000","-8,663,000","-28,337,000","-4,866,000","-73,085,000","-15,691,000","-7,054,000","-11,634,000","-20,129,000","1,026,000","1,034,000","-17,057,000","-92,147,000","-4,617,000","-9,044,000","51,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"1,442,000","-9,000","1,000",-,"3,000","5,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,649,000","-35,947,000","-9,651,000","-21,951,000","-8,663,000","-26,895,000","-4,875,000","-73,084,000","-15,691,000","-7,051,000","-11,629,000","-20,129,000","1,026,000","1,034,000","-17,057,000","-92,147,000","-4,617,000","-9,044,000","51,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,649,000","-35,947,000","-9,651,000","-21,951,000","-8,663,000","-26,895,000","-4,875,000","-73,084,000","-15,691,000","-7,051,000","-11,629,000","-20,129,000","1,026,000","1,034,000","-17,057,000","-92,147,000","-4,617,000","-9,044,000","51,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"389,524,790","388,483,846","385,723,847","382,687,784","379,610,460","378,296,093","377,697,175","376,075,508","375,776,275","375,538,599","374,607,212","374,803,293","371,055,001","363,622,232","359,652,786","368,253,319","365,956,264","363,622,232","360,450,692",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"389,524,790","388,483,846","385,723,847","382,687,784","379,610,460","378,296,093","377,697,175","376,075,508","375,776,275","375,538,599","374,607,212","374,803,293","409,696,936","461,116,729","359,652,786","368,253,319","365,956,264","467,251,921","449,093,147",-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.612%,2.693%,2.125%,1.758%,1.020%,0.734%,0.825%,0.339%,-8.279%,-18.559%,4.158%,1.779%,11.952%,-1.313%,-19.916%,-,20.277%,53.682%,47.809%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.032,-0.093,-0.025,-0.057,-0.023,-0.071,-0.013,-0.194,-0.042,-0.019,-0.031,-0.054,0.003,0.003,-0.047,-0.250,-0.013,-0.025,0.000,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.032,-0.093,-0.025,-0.057,-0.023,-0.071,-0.013,-0.194,-0.042,-0.019,-0.031,-0.054,0.003,0.002,-0.047,-0.250,-0.013,-0.025,0.002,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"1,923,000","484,000","-2,660,000","3,614,000","926,000","-3,535,000","3,649,000","34,000","3,652,000","-13,928,000","3,712,000","-5,378,000","-7,209,000","-395,000","1,319,000","2,972,000","-5,442,000","5,966,000","4,249,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.005,0.001,-0.007,0.009,0.002,-0.009,0.010,0.000,0.010,-0.037,0.010,-0.014,-0.018,-0.001,0.004,0.008,-0.015,0.013,0.009,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,14.073%,16.023%,17.910%,-5.386%,17.834%,9.712%,19.894%,15.027%,23.556%,23.260%,20.863%,12.255%,23.578%,26.592%,28.932%,-12.625%,48.219%,18.446%,55.010%,-,Upgrade,Financials in USD,Fiscal year is January - December
