Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","17,283,000","15,590,000","15,138,000","20,879,000","16,291,000","14,551,000","16,088,000","15,711,000","8,889,000","6,461,000","7,146,000","7,049,000","2,129,000","2,681,500","2,681,500",Financials in USD,Fiscal year is January - December
Research & Development,"9,018,000","9,454,000","10,831,000","8,366,000","8,258,000","28,591,000","12,329,000","6,325,000","4,655,000","93,030,000","53,353,000","2,155,000","116,915,000","629,000","629,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"26,301,000","25,044,000","25,969,000","29,245,000","24,549,000","43,142,000","28,417,000","22,036,000","13,544,000","99,491,000","60,499,000","9,204,000","119,044,000","3,310,500","3,310,500",Financials in USD,Fiscal year is January - December
Operating Income,"-26,301,000","-25,044,000","-25,969,000","-29,245,000","-24,549,000","-43,142,000","-28,417,000","-22,036,000","-13,544,000","-99,491,000","-60,499,000","-9,204,000","-119,044,000","-3,310,500","-3,310,500",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-3,574,000","-1,293,000",-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,707,000","2,754,000","2,406,000","957,000","1,405,000","553,000","280,000","49,000","32,000","106,000","33,000",-,-,"6,500","6,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"141,000","869,000","-44,000","8,536,000","1,253,000","203,000","417,000","-266,000","3,000","-68,000","-124,000","42,000","99,000","-9,000","-9,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,453,000","-21,421,000","-23,607,000","-19,752,000","-21,891,000","-42,386,000","-27,720,000","-22,253,000","-13,509,000","-99,453,000","-60,590,000","-12,736,000","-120,238,000","-3,313,000","-3,313,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"1,126,000",-,-,-,"23,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-23,453,000","-21,421,000","-23,607,000","-18,626,000","-21,891,000","-42,386,000","-27,720,000","-22,230,000","-13,509,000","-99,453,000","-60,590,000","-12,736,000","-120,238,000","-3,313,000","-3,313,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"586,000","200,000","438,000","-350,000","6,000","5,000","6,000","-1,035,000","-397,000","975,000","975,000","2,000",-,"1,000","1,000",Financials in USD,Fiscal year is January - December
Net Income,"-24,039,000","-21,621,000","-24,045,000","-18,276,000","-21,897,000","-42,391,000","-27,726,000","-21,195,000","-13,112,000","-100,428,000","-61,565,000","-12,738,000","-120,238,000","-3,314,000","-3,314,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-24,039,000","-21,621,000","-24,045,000","-18,276,000","-21,897,000","-42,391,000","-27,726,000","-21,195,000","-13,112,000","-100,428,000","-61,565,000","-12,738,000","-120,238,000","-3,314,000","-3,314,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"107,167,691","107,164,401","107,162,025","108,127,303","108,353,831","107,922,501","107,275,458","75,479,076","20,690,908","20,477,338","20,477,338","17,408,299","10,265,811","10,265,813","10,265,813",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"107,167,691","107,164,401","107,162,025","108,127,303","108,353,831","107,922,501","107,275,458","75,479,076","20,690,908","20,477,338","20,477,338","17,408,299","10,265,811","10,265,813","10,265,813",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.095%,-0.702%,-0.106%,43.255%,423.678%,427.034%,423.874%,333.581%,101.552%,99.471%,99.471%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.224,-0.202,-0.224,-0.169,-0.202,-0.393,-0.258,-0.281,-0.634,-4.904,-3.006,-0.732,-11.712,-0.323,-0.323,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.224,-0.202,-0.224,-0.169,-0.202,-0.393,-0.258,-0.281,-0.634,-4.904,-3.006,-0.732,-11.712,-0.323,-0.323,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,024,000","-19,368,000","-17,651,000","-30,948,000","-16,901,000","-39,736,000","-13,445,000","-31,168,000","-38,889,000","-92,903,000","-1,940,000","-49,420,000","-42,600,000","-3,504,000","-3,504,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.150,-0.181,-0.165,-0.286,-0.156,-0.368,-0.125,-0.413,-1.880,-4.537,-0.095,-2.839,-4.150,-0.341,-0.341,Financials in USD,Fiscal year is January - December
EBITDA,"-25,976,000","-24,710,000","-25,645,000","-28,928,000","-24,269,000","-43,004,000","-28,146,000","-21,789,000","-13,403,000","-99,420,000","-60,433,000","-9,158,000","-119,016,000","-3,309,500","-3,309,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"325,000","334,000","324,000","317,000","280,000","138,000","271,000","247,000","141,000","71,000","66,000","46,000","28,000","1,000","1,000",Financials in USD,Fiscal year is January - December
EBIT,"-26,301,000","-25,044,000","-25,969,000","-29,245,000","-24,549,000","-43,142,000","-28,417,000","-22,036,000","-13,544,000","-99,491,000","-60,499,000","-9,204,000","-119,044,000","-3,310,500","-3,310,500",Financials in USD,Fiscal year is January - December
